ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1950,1950-09-17,1,24.255,NYY,@,SFO,W 21-17,13,11,0.85,0,2,6,3.00,0,0,0,,0,0,,,,,,
2,1950,1950-09-22,2,24.260,NYY,@,RAM,L 28-45,4,5,1.25,0,1,21,21.00,0,0,0,,0,0,,,,,,
3,1950,1950-09-29,3,24.267,NYY,,DET,W 44-21,1,-3,-3.00,0,0,0,,0,0,0,,0,0,,,,,,
4,1950,1950-10-08,4,24.276,NYY,@,GNB,W 44-31,5,28,5.60,0,3,40,13.33,0,0,0,,0,0,,,,,,
5,1950,1950-10-12,5,24.280,NYY,,SFO,W 29-24,4,22,5.50,1,0,0,,0,0,0,,0,0,,,,,,
6,1950,1950-10-19,6,24.287,NYY,,GNB,W 35-17,5,18,3.60,0,2,92,46.00,1,0,0,,0,0,,,,,,
7,1950,1950-11-12,8,24.311,NYY,@,CHI,L 20-28,7,25,3.57,0,0,0,,0,0,0,,0,0,,,,,,
8,1950,1950-11-19,9,24.318,NYY,,RAM,L 35-43,10,80,8.00,0,3,27,9.00,0,0,0,,0,0,,,,,,
9,1950,1950-11-23,10,24.322,NYY,@,DET,L 14-49,4,31,7.75,0,5,93,18.60,0,0,0,,0,0,,,,,,
10,1951,1951-09-28,1,25.266,NYY,@,RAM,L 14-54,3,16,5.33,0,3,17,5.67,0,0,0,,0,0,,,,,,
11,1951,1951-10-08,2,25.276,NYY,@,DET,L 10-37,7,20,2.86,0,2,42,21.00,1,0,0,,0,0,,,,,,
12,1951,1951-10-14,3,25.282,NYY,@,CHI,L 21-24,0,0,,0,3,62,20.67,0,0,0,,0,0,,,,,,
13,1951,1951-10-21,4,25.289,NYY,@,DET,T 24-24,3,0,0.00,0,1,48,48.00,1,0,0,,0,0,,,,,,
14,1951,1951-10-28,5,25.296,NYY,,GNB,L 27-29,0,0,,0,1,20,20.00,0,0,0,,0,0,,,,,,
15,1951,1951-11-11,7,25.310,NYY,@,SFO,L 14-19,2,8,4.00,1,2,22,11.00,0,0,0,,0,0,,,,,,
16,1951,1951-11-18,8,25.317,NYY,@,RAM,L 21-48,2,0,0.00,0,1,30,30.00,0,0,0,,0,0,,,,,,
17,1951,1951-11-25,9,25.324,NYY,,SFO,T 10-10,8,24,3.00,0,4,85,21.25,0,0,0,,0,0,,,,,,
18,1951,1951-12-02,10,25.331,NYY,@,GNB,W 31-28,4,16,4.00,0,5,98,19.60,1,0,0,,0,0,,,,,,
19,1952,1952-09-28,1,26.267,DTX,,NYG,L 6-24,0,0,,0,3,41,13.67,1,0,0,,0,0,,,,,,
20,1952,1952-10-05,2,26.274,DTX,,SFO,L 14-37,8,51,6.38,1,0,0,,0,0,0,,0,0,,,,,,
21,1952,1952-10-12,3,26.281,DTX,@,CHI,L 20-38,1,2,2.00,1,0,0,,0,0,0,,0,0,,,,,,
22,1952,1952-10-18,4,26.287,DTX,,GNB,L 14-24,3,6,2.00,0,2,18,9.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
23,1952,1952-10-26,5,26.295,DTX,@,SFO,L 21-48,2,-6,-3.00,0,2,56,28.00,1,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50
24,1952,1952-11-02,6,26.302,DTX,@,RAM,L 20-42,4,7,1.75,0,1,12,12.00,0,0,0,,0,0,,,,,,
25,1952,1952-11-09,7,26.309,DTX,,RAM,L 6-27,9,62,6.89,0,2,10,5.00,0,0,0,,0,0,,,,,,
26,1952,1952-11-16,8,26.316,DTX,@,DET,L 13-43,9,21,2.33,0,1,3,3.00,0,0,0,,0,0,,,,,,
27,1952,1952-11-23,9,26.323,DTX,@,GNB,L 14-42,7,12,1.71,0,1,-4,-4.00,0,0,0,,0,0,,,,,,
28,1952,1952-12-07,11,26.337,DTX,@,PHI,L 21-38,5,6,1.20,1,0,0,,0,0,0,,0,0,,,,,,
29,1952,1952-12-13,12,26.343,DTX,@,DET,L 6-41,5,25,5.00,0,2,18,9.00,0,0,0,,0,0,,,,,,
30,1953,1953-10-11,3,27.279,BAL,@,CHI,W 16-14,0,0,,0,3,52,17.33,1,0,0,,0,0,,,,,,
31,1953,1953-10-18,4,27.286,BAL,@,GNB,L 14-37,1,5,5.00,0,0,0,,0,0,0,,0,0,,,,,,
32,1953,1953-10-25,5,27.293,BAL,,WAS,W 27-17,10,50,5.00,0,2,27,13.50,0,0,0,,0,0,,,,,,
33,1953,1953-10-31,6,27.299,BAL,,GNB,L 24-35,5,18,3.60,0,1,49,49.00,1,0,0,,0,0,,,,,,
34,1953,1953-11-07,7,27.306,BAL,@,DET,L 7-17,4,13,3.25,0,2,48,24.00,0,0,0,,0,0,,,,,,
35,1953,1953-11-15,8,27.314,BAL,@,PHI,L 14-45,1,1,1.00,0,0,0,,0,0,0,,0,0,,,,,,
36,1953,1953-11-22,9,27.321,BAL,,RAM,L 13-21,2,5,2.50,0,0,0,,0,0,0,,0,0,,,,,,
37,1953,1953-11-29,10,27.328,BAL,,SFO,L 21-38,10,37,3.70,0,2,17,8.50,0,0,0,,0,0,,,,,,
38,1953,1953-12-05,11,27.334,BAL,@,RAM,L 2-45,4,0,0.00,0,0,0,,0,0,0,,0,0,,,,,,
