ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1961,1961-10-15,5,28.266,NYG,@,DAL,W 31-10,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
2,1961,1961-10-22,6,28.273,NYG,,RAM,W 24-14,4,37,9.25,0,0,0,,0,1,0,0.00,0,0,0,0
3,1961,1961-10-29,7,28.280,NYG,,DAL,L 16-17,0,0,,0,2,33,16.50,0,0,0,,0,0,0,0
4,1961,1961-11-05,8,28.287,NYG,,WAS,W 53-0,2,14,7.00,0,1,1,1.00,0,2,43,21.50,0,0,0,0
5,1961,1961-11-12,9,28.294,NYG,,PHI,W 38-21,0,0,,0,4,82,20.50,0,1,18,18.00,0,0,0,0
6,1961,1961-11-26,11,28.308,NYG,@,CLE,W 37-21,0,0,,0,1,40,40.00,0,0,0,,0,0,0,0
7,1961,1961-12-03,12,28.315,NYG,@,GNB,L 17-20,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
8,1962,1962-09-30,3,29.251,NYG,@,PIT,W 31-27,0,0,,0,0,0,,0,0,0,,0,1,0,0
9,1962,1962-11-11,9,29.293,NYG,@,DAL,W 41-10,0,0,,0,0,0,,0,0,0,,0,1,3,0
10,1962,1962-11-25,11,29.307,NYG,@,WAS,W 42-24,0,0,,0,0,0,,0,0,0,,0,1,21,0
11,1963,1963-09-15,1,30.236,NYG,@,BAL,W 37-28,0,0,,0,2,46,23.00,0,1,23,23.00,0,1,21,0
12,1963,1963-09-22,2,30.243,NYG,@,PIT,L 0-31,0,0,,0,1,16,16.00,0,2,22,11.00,0,0,0,0
13,1963,1963-11-03,8,30.285,NYG,@,STL,W 38-21,0,0,,0,0,0,,0,0,0,,0,2,13,0
14,1964,1964-10-25,7,31.277,NYG,@,CLE,L 20-42,0,0,,0,0,0,,0,0,0,,0,1,0,0
15,1965,1965-12-19,14,32.331,NYG,,DAL,L 20-38,0,0,,0,2,48,24.00,0,0,0,,0,0,0,0
