ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1994,1994-09-04,1,22.138,PHI,@,NYG,L 23-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1994,1994-09-12,2,22.146,PHI,,CHI,W 30-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1994,1994-09-18,3,22.152,PHI,,GNB,W 13-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1994,1994-10-02,4,22.166,PHI,@,SFO,W 40-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1994,1994-10-09,5,22.173,PHI,,WAS,W 21-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1994,1994-10-16,6,22.180,PHI,@,DAL,L 13-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1994,1994-10-24,7,22.188,PHI,,HOU,W 21-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1994,1994-10-30,8,22.194,PHI,@,WAS,W 31-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1994,1994-11-06,9,22.201,PHI,,ARI,W 17-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1994,1994-11-13,10,22.208,PHI,,CLE,L 7-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1994,1994-11-20,11,22.215,PHI,@,ARI,L 6-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1994,1994-11-27,12,22.222,PHI,@,ATL,L 21-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1994,1994-12-04,13,22.229,PHI,,DAL,L 19-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1994,1994-12-11,14,22.236,PHI,@,PIT,L 3-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1994,1994-12-18,15,22.243,PHI,,NYG,L 13-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1994,1994-12-24,16,22.249,PHI,@,CIN,L 30-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1995,1995-11-12,10,23.207,SFO,@,DAL,W 38-20,,0,0,,0,0,0,,0,0,0,,,,,,5,5,100.0,1,1,100.0,0,8,0,0,,0
18,1995,1995-11-20,11,23.215,SFO,@,MIA,W 44-20,,0,0,,0,0,0,,0,0,0,,,,,,5,5,100.0,3,3,100.0,0,14,0,0,,0
19,1995,1995-11-26,12,23.221,SFO,,STL,W 41-13,,0,0,,0,0,0,,0,0,0,,,,,,5,5,100.0,2,2,100.0,0,11,0,0,,0
20,1995,1995-12-03,13,23.228,SFO,,BUF,W 27-17,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,3,66.7,0,9,0,0,,0
21,1995,1995-12-10,14,23.235,SFO,@,CAR,W 31-10,,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,0,7,0,0,,0
22,1995,1995-12-18,15,23.243,SFO,,MIN,W 37-30,,0,0,,0,0,0,,0,0,0,,,,,,2,4,50.0,1,1,100.0,0,5,0,0,,0
23,1995,1995-12-24,16,23.249,SFO,@,ATL,L 27-28,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0,0,,0
24,1996,1996-09-01,1,24.135,SFO,,NOR,W 27-11,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,0,9,0,0,,0
25,1996,1996-09-08,2,24.142,SFO,,STL,W 34-0,,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,3,4,75.0,0,12,0,0,,0
26,1996,1996-09-22,3,24.156,SFO,@,CAR,L 7-23,,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,,,,
