ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,def_int,def_int_yds,def_int_td
1,1998,1998-09-06,1,24.206,GNB,,DET,W 38-19,,,,,,,0.0%,,,,,
2,1998,1998-09-13,2,24.213,GNB,,TAM,W 23-15,,,,,,,0.0%,,,,,
3,1998,1998-09-20,3,24.220,GNB,@,CIN,W 13-6,,,,,,,0.0%,,,,,
4,1998,1998-09-27,4,24.227,GNB,@,CAR,W 37-30,,,,,,,0.0%,,,,,
5,1998,1998-10-05,5,24.235,GNB,,MIN,L 24-37,,,,,,,0.0%,,,,,
6,1998,1998-10-15,6,24.245,GNB,@,DET,L 20-27,,,,,,,0.0%,,,,,
7,1998,1998-11-01,8,24.262,GNB,,SFO,W 36-22,,,,,,,0.0%,,,,,
8,1998,1998-11-15,10,24.276,GNB,@,NYG,W 37-3,,,,,,,0.0%,,,,,
9,1998,1998-11-22,11,24.283,GNB,@,MIN,L 14-28,,,,,,,0.0%,,,,,
10,1998,1998-11-29,12,24.290,GNB,,PHI,W 24-16,,,,,,,0.0%,,,,,
11,1998,1998-12-07,13,24.298,GNB,@,TAM,L 22-24,,,,,,,0.0%,,,,,
12,1998,1998-12-13,14,24.304,GNB,,CHI,W 26-20,,,,,,,0.0%,,,,,
13,1998,1998-12-20,15,24.311,GNB,,TEN,W 30-22,,,,,,,0.0%,,,,,
14,1998,1998-12-27,16,24.318,GNB,@,CHI,W 16-13,,,,,,,0.0%,,,,,
15,1999,1999-09-12,1,25.212,GNB,,OAK,W 28-24,,,,,,,0.0%,,,,,
16,1999,1999-09-19,2,25.219,GNB,@,DET,L 15-23,,0,,,,,0.0%,,,,,
17,1999,1999-09-26,3,25.226,GNB,,MIN,W 23-20,,0,,,,,0.0%,,,,,
18,1999,1999-10-10,4,25.240,GNB,,TAM,W 26-23,,,,,,,0.0%,,,,,
19,1999,1999-10-17,5,25.247,GNB,@,DEN,L 10-31,,0,,,,,0.0%,,,,,
20,1999,1999-10-24,6,25.254,GNB,@,SDG,W 31-3,,0,,,,,0.0%,,,,,
21,1999,1999-11-01,7,25.262,GNB,,SEA,L 7-27,,,,,,,0.0%,,,,,
22,1999,1999-11-07,8,25.268,GNB,,CHI,L 13-14,,,,,,,0.0%,,,,,
23,1999,1999-11-14,9,25.275,GNB,@,DAL,L 13-27,,,,,,,0.0%,,,,,
24,1999,1999-11-21,10,25.282,GNB,,DET,W 26-17,,0,,,,,0.0%,,,,,
25,1999,1999-11-29,11,25.290,GNB,@,SFO,W 20-3,,,,,,,0.0%,,,,,
26,1999,1999-12-05,12,25.296,GNB,@,CHI,W 35-19,,,,,,,0.0%,,,,,
27,1999,1999-12-12,13,25.303,GNB,,CAR,L 31-33,,,,,,,0.0%,,,,,
28,2000,2000-09-03,1,26.204,GNB,,NYJ,L 16-20,,0,,,,,0.0%,,,,,
29,2000,2000-09-10,2,26.211,GNB,@,BUF,L 18-27,,0,,,,,0.0%,,,,,
30,2000,2000-09-17,3,26.218,GNB,,PHI,W 6-3,,0,0,0,,0,0.0%,,0.5,0,0,0
31,2000,2000-09-24,4,26.225,GNB,@,ARI,W 29-3,,0,,,,,0.0%,,,,,
32,2000,2000-10-01,5,26.232,GNB,,CHI,L 24-27,,,,,,,0.0%,,,,,
33,2000,2000-10-08,6,26.239,GNB,@,DET,L 24-31,,0,,,,,0.0%,,,,,
34,2000,2000-10-15,7,26.246,GNB,,SFO,W 31-28,,0,,,,,0.0%,,,,,
35,2000,2000-10-29,8,26.260,GNB,@,MIA,L 20-28,,0,,,,,0.0%,,,,,
36,2000,2000-11-06,9,26.268,GNB,,MIN,W 26-20,,,,,,,0.0%,,,,,
37,2000,2000-11-12,10,26.274,GNB,@,TAM,L 15-20,,0,,,,,0.0%,,,,,
38,2000,2000-11-19,11,26.281,GNB,,IND,W 26-24,,0,,,,,0.0%,,,,,
39,2000,2000-11-27,12,26.289,GNB,@,CAR,L 14-31,,,,,,,0.0%,,,,,
40,2000,2000-12-03,13,26.295,GNB,@,CHI,W 28-6,,0,,,,,0.0%,,,,,
41,2000,2000-12-10,14,26.302,GNB,,DET,W 26-13,,,,,,,0.0%,,,,,
42,2000,2000-12-17,15,26.309,GNB,@,MIN,W 33-28,,,,,,,0.0%,,,,,
43,2000,2000-12-24,16,26.316,GNB,,TAM,W 17-14,,,,,,,0.0%,,,,,
44,2001,2001-09-09,1,27.209,MIA,@,TEN,W 31-23,,1,,,,,0.0%,,,,,
45,2001,2001-09-23,2,27.223,MIA,,OAK,W 18-15,,,,,,,0.0%,,,,,
46,2001,2001-09-30,3,27.230,MIA,@,STL,L 10-42,,0,,,,,0.0%,,,,,
47,2001,2001-10-07,4,27.237,MIA,,NWE,W 30-10,,0,,,,,0.0%,,,,,
48,2001,2001-10-14,5,27.244,MIA,@,NYJ,L 17-21,,,,,,,0.0%,,,,,
49,2001,2001-10-28,6,27.258,MIA,@,SEA,W 24-20,,,,,,,0.0%,,,,,
50,2001,2001-11-04,7,27.265,MIA,,CAR,W 23-6,,,,,,,0.0%,,,,,
51,2001,2001-11-11,8,27.272,MIA,@,IND,W 27-24,,0,,,,,0.0%,,,,,
52,2001,2001-11-18,9,27.279,MIA,,NYJ,L 0-24,,,,,,,0.0%,,,,,
53,2001,2001-11-25,10,27.286,MIA,@,BUF,W 34-27,,,,,,,0.0%,,,,,
54,2001,2001-12-02,11,27.293,MIA,,DEN,W 21-10,,,,,,,0.0%,,,,,
55,2001,2001-12-10,12,27.301,MIA,,IND,W 41-6,,,,,,,0.0%,,,,,
56,2001,2001-12-16,13,27.307,MIA,@,SFO,L 0-21,,,,,,,0.0%,,,,,
57,2001,2001-12-22,14,27.313,MIA,@,NWE,L 13-20,,,,,,,0.0%,,,,,
58,2001,2001-12-30,15,27.321,MIA,,ATL,W 21-14,,,,,,,0.0%,,,,,
59,2001,2002-01-06,16,27.328,MIA,,BUF,W 34-7,,0,,,,,0.0%,,,,,
60,2002,2002-09-15,2,28.215,MIA,@,IND,W 21-13,,,,,,,0.0%,,,,,
61,2002,2002-09-29,4,28.229,MIA,@,KAN,L 30-48,,0,,,,,0.0%,,,,,
62,2002,2002-10-06,5,28.236,MIA,,NWE,W 26-13,,,,,,,0.0%,,,,,
63,2002,2002-10-13,6,28.243,MIA,@,DEN,W 24-22,,,,,,,0.0%,,,,,
64,2002,2002-10-20,7,28.250,MIA,,BUF,L 10-23,,0,,,,,0.0%,,,,,
65,2002,2002-11-04,8,28.265,MIA,@,GNB,L 10-24,,0,0,0,,0,0.0%,,1.0,0,0,0
66,2002,2002-11-10,9,28.271,MIA,@,NYJ,L 10-13,,,,,,,0.0%,,,,,
67,2002,2002-11-17,10,28.278,MIA,,BAL,W 26-7,,,,,,,0.0%,,,,,
68,2002,2002-11-24,11,28.285,MIA,,SDG,W 30-3,,0,,,,,0.0%,,,,,
69,2002,2002-12-01,12,28.292,MIA,@,BUF,L 21-38,,,,,,,0.0%,,,,,
70,2002,2002-12-09,13,28.300,MIA,,CHI,W 27-9,,0,,,,,0.0%,,,,,
71,2002,2002-12-15,14,28.306,MIA,,OAK,W 23-17,,,,,,,0.0%,,,,,
72,2002,2002-12-21,15,28.312,MIA,@,MIN,L 17-20,,,,,,,0.0%,,,,,
73,2002,2002-12-29,16,28.320,MIA,@,NWE,L 24-27,,0,,,,,0.0%,,,,,
74,2003,2003-09-07,1,29.207,TEN,,OAK,W 25-20,*,0,,,,,0.0%,,,,,
75,2003,2003-09-14,2,29.214,TEN,@,IND,L 7-33,,1,1,10,10.00,0,100.0%,10.00,0.0,0,0,0
76,2003,2003-09-21,3,29.221,TEN,,NOR,W 27-12,,0,,,,,0.0%,,,,,
77,2003,2003-09-28,4,29.228,TEN,@,PIT,W 30-13,,0,,,,,0.0%,,,,,
78,2003,2003-10-05,5,29.235,TEN,@,NWE,L 30-38,,0,,,,,0.0%,,,,,
79,2003,2003-10-12,6,29.242,TEN,,HOU,W 38-17,,0,,,,,0.0%,,,,,
80,2003,2003-10-19,7,29.249,TEN,@,CAR,W 37-17,,0,,,,,0.0%,,,,,
81,2003,2003-10-26,8,29.256,TEN,@,JAX,W 30-17,,0,,,,,0.0%,,,,,
82,2003,2003-11-09,9,29.270,TEN,,MIA,W 31-7,,,,,,,0.0%,,,,,
83,2003,2003-11-16,10,29.277,TEN,,JAX,W 10-3,,1,,,,,0.0%,,,,,
84,2003,2003-11-23,11,29.284,TEN,@,ATL,W 38-31,,0,0,0,,0,0.0%,,1.0,0,0,0
85,2003,2003-12-01,12,29.292,TEN,@,NYJ,L 17-24,,0,,,,,0.0%,,,,,
86,2003,2003-12-07,13,29.298,TEN,,IND,L 27-29,*,0,,,,,0.0%,,,,,
87,2003,2003-12-14,14,29.305,TEN,,BUF,W 28-26,,0,,,,,0.0%,,,,,
88,2003,2003-12-21,15,29.312,TEN,@,HOU,W 27-24,,0,,,,,0.0%,,,,,
89,2003,2003-12-28,16,29.319,TEN,,TAM,W 33-13,,0,,,,,0.0%,,,,,
90,2004,2004-09-11,1,30.212,TEN,@,MIA,W 17-7,,0,,,,,0.0%,,,,,
91,2004,2004-09-19,2,30.220,TEN,,IND,L 17-31,,0,,,,,0.0%,,,,,
92,2004,2004-09-26,3,30.227,TEN,,JAX,L 12-15,,0,,,,,0.0%,,,,,
93,2004,2004-10-03,4,30.234,TEN,@,SDG,L 17-38,,0,,,,,0.0%,,,,,
94,2004,2004-10-11,5,30.242,TEN,@,GNB,W 48-27,,0,,,,,0.0%,,,,,
95,2004,2004-10-17,6,30.248,TEN,,HOU,L 10-20,,0,,,,,0.0%,,,,,
96,2004,2004-10-24,7,30.255,TEN,@,MIN,L 3-20,,,,,,,0.0%,,,,,
97,2004,2004-10-31,8,30.262,TEN,,CIN,W 27-20,,0,,,,,0.0%,,,,,
98,2004,2004-11-14,9,30.276,TEN,,CHI,L 17-19,,0,,,,,0.0%,,,,,
99,2004,2004-11-21,10,30.283,TEN,@,JAX,W 18-15,,0,,,,,0.0%,,,,,
100,2004,2004-11-28,11,30.290,TEN,@,HOU,L 21-31,,0,0,0,,0,0.0%,,0.0,1,11,0
101,2004,2004-12-05,12,30.297,TEN,@,IND,L 24-51,*,0,,,,,0.0%,,,,,
102,2004,2004-12-13,13,30.305,TEN,,KAN,L 38-49,,0,0,0,,0,0.0%,,0.5,0,0,0
103,2004,2004-12-19,14,30.311,TEN,@,OAK,L 35-40,,0,,,,,0.0%,,,,,
104,2004,2004-12-25,15,30.317,TEN,,DEN,L 16-37,,0,,,,,0.0%,,,,,
105,2004,2005-01-02,16,30.325,TEN,,DET,W 24-19,,0,,,,,0.0%,,,,,
106,2005,2005-12-11,13,31.302,SDG,,MIA,L 21-23,,0,,,,,0.0%,,,,,
107,2005,2005-12-18,14,31.309,SDG,@,IND,W 26-17,,,,,,,0.0%,,,,,
