ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,23.357,TEN,@,JAX,L 14-16,,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2011,2011-09-18,2,23.364,TEN,,BAL,W 26-13,,,,,,,,,,,,,,
3,2011,2011-09-25,3,24.006,TEN,,DEN,W 17-14,,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2011,2011-10-02,4,24.013,TEN,@,CLE,W 31-13,,0,0,,0,0,0,,0,0,0,0.0,0,1
5,2011,2011-10-09,5,24.020,TEN,@,PIT,L 17-38,,,,,,,,,,,,,,
6,2011,2011-10-23,6,24.034,TEN,,HOU,L 7-41,,,,,,,,,,,,,,
7,2011,2011-10-30,7,24.041,TEN,,IND,W 27-10,,0,0,,0,0,0,,0,0,0,0.0,0,2
8,2011,2011-11-06,8,24.048,TEN,,CIN,L 17-24,,0,0,,0,1,0,0.00,0,0,0,0.0,0,1
9,2011,2011-11-13,9,24.055,TEN,@,CAR,W 30-3,,,,,,,,,,,,,,
10,2011,2011-11-20,10,24.062,TEN,@,ATL,L 17-23,,,,,,,,,,,,,,
11,2011,2011-11-27,11,24.069,TEN,,TAM,W 23-17,,0,84,,1,0,0,,0,0,6,0.0,0,0
12,2011,2011-12-11,13,24.083,TEN,,NOR,L 17-22,,,,,,,,,,,,,,
13,2011,2011-12-18,14,24.090,TEN,@,IND,L 13-27,,,,,,,,,,,,,,
14,2011,2011-12-24,15,24.096,TEN,,JAX,W 23-17,,,,,,,,,,,,,,
15,2011,2012-01-01,16,24.104,TEN,@,HOU,W 23-22,,,,,,,,,,,,,,
16,2012,2012-09-09,1,24.356,TEN,,NWE,L 13-34,,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2012,2012-09-16,2,24.363,TEN,@,SDG,L 10-38,,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2012,2012-09-23,3,25.004,TEN,,DET,W 44-41,,0,0,,0,0,65,,1,0,6,0.0,0,0
19,2012,2012-09-30,4,25.011,TEN,@,HOU,L 14-38,,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2012,2012-10-07,5,25.018,TEN,@,MIN,L 7-30,,0,0,,0,0,0,,0,0,0,0.0,1,0
21,2012,2012-10-11,6,25.022,TEN,,PIT,W 26-23,,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2012,2012-11-04,9,25.046,TEN,,CHI,L 20-51,,,,,,,,,,,,,,
23,2012,2012-11-11,10,25.053,TEN,@,MIA,W 37-3,,0,0,,0,0,0,,0,0,0,0.0,0,0
24,2012,2012-11-25,11,25.067,TEN,@,JAX,L 19-24,,,,,,,,,,,,,,
25,2012,2012-12-02,12,25.074,TEN,,HOU,L 10-24,,,,,,,,,,,,,,
26,2012,2012-12-09,13,25.081,TEN,@,IND,L 23-27,,,,,,,,,,,,,,
27,2012,2012-12-17,14,25.089,TEN,,NYJ,W 14-10,,,,,,,,,,,,,,
28,2012,2012-12-23,15,25.095,TEN,@,GNB,L 7-55,,,,,,,,,,,,,,
29,2012,2012-12-30,16,25.102,TEN,,JAX,W 38-20,,0,0,,0,0,0,,0,0,0,0.0,5,0
30,2013,2013-09-08,1,25.354,TEN,@,PIT,W 16-9,,,,,,,,,,,,,,
31,2013,2013-09-15,2,25.361,TEN,@,HOU,L 24-30,,0,0,,0,0,0,,0,0,0,0.0,4,0
32,2013,2013-09-22,3,26.003,TEN,,SDG,W 20-17,,0,0,,0,0,0,,0,0,0,0.0,1,0
33,2013,2013-09-29,4,26.010,TEN,,NYJ,W 38-13,,0,0,,0,0,0,,0,0,0,0.0,1,0
34,2013,2013-10-06,5,26.017,TEN,,KAN,L 17-26,,0,0,,0,0,0,,0,0,0,0.0,2,3
35,2013,2013-10-13,6,26.024,TEN,@,SEA,L 13-20,,,,,,,,,,,,,,
36,2013,2013-10-20,7,26.031,TEN,,SFO,L 17-31,,,,,,,,,,,,,,
37,2013,2013-11-03,8,26.045,TEN,@,STL,W 28-21,,,,,,,,,,,,,,
38,2014,2014-11-02,9,27.044,JAX,@,CIN,L 23-33,,,,,,,,,,,,,,
39,2014,2014-11-23,11,27.065,JAX,@,IND,L 3-23,,,,,,,,,,,,,,
40,2014,2014-11-30,12,27.072,JAX,,NYG,W 25-24,,,,,,,,,,,,,,
41,2014,2014-12-07,13,27.079,JAX,,HOU,L 13-27,,0,0,,0,0,0,,0,0,0,0.0,1,0
42,2014,2014-12-14,14,27.086,JAX,@,BAL,L 12-20,,,,,,,,,,,,,,
43,2014,2014-12-18,15,27.090,JAX,,TEN,W 21-13,,0,0,,0,0,0,,0,0,0,0.0,2,2
44,2014,2014-12-28,16,27.100,JAX,@,HOU,L 17-23,,,,,,,,,,,,,,
