ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1978,1978-09-03,1,22.158,GNB,@,DET,W 13-7,,,,,,,,,,,,,,
2,1978,1978-09-10,2,22.165,GNB,,NOR,W 28-17,,,,,,,,,,,,,,
3,1978,1978-09-17,3,22.172,GNB,,OAK,L 3-28,,,,,,,,,,,,,,
4,1978,1978-09-24,4,22.179,GNB,@,SDG,W 24-3,,,,,,,,,,,,,,
5,1978,1978-10-01,5,22.186,GNB,,DET,W 35-14,,,,,,,,,,,,,,
6,1978,1978-10-08,6,22.193,GNB,,CHI,W 24-14,,,,,,,,,,,,,,
7,1978,1978-10-15,7,22.200,GNB,,SEA,W 45-28,,,,,,,,,,,,,,
8,1978,1978-10-22,8,22.207,GNB,@,MIN,L 7-21,,,,,,,,,,,,,,
9,1978,1978-10-29,9,22.214,GNB,,TAM,W 9-7,,,,,,,,,,,,,,
10,1978,1978-11-05,10,22.221,GNB,@,PHI,L 3-10,,,,,,,,,,,,,,
11,1978,1978-11-12,11,22.228,GNB,,DAL,L 14-42,,,,,,,,,,,,,,
12,1978,1978-11-19,12,22.235,GNB,@,DEN,L 3-16,,,,,,,,,,,,,,
13,1978,1978-11-26,13,22.242,GNB,,MIN,T 10-10,,,,,,,,,,,,,,
14,1978,1978-12-03,14,22.249,GNB,@,TAM,W 17-7,,,,,,,,,,,,,,
15,1978,1978-12-10,15,22.256,GNB,@,CHI,L 0-14,,,,,,,,,,,,,,
16,1978,1978-12-17,16,22.263,GNB,@,RAM,L 14-31,,,,,,,,,,,,,,
17,1979,1979-09-02,1,23.157,GNB,@,CHI,L 3-6,2,26,13.00,0,0,0,,0,0,0,,0,0,0
18,1979,1979-09-09,2,23.164,GNB,,NOR,W 28-19,,,,,,,,,,,,,,
19,1979,1979-09-16,3,23.171,GNB,,TAM,L 10-21,2,7,3.50,0,0,0,,0,0,0,,0,0,0
20,1979,1979-09-23,4,23.178,GNB,@,MIN,L 21-27,3,17,5.67,0,0,0,,0,0,0,,0,0,0
21,1979,1979-10-01,5,23.186,GNB,,NWE,W 27-14,6,43,7.17,0,0,0,,0,0,0,,0,0,0
