ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1950,1950-10-29,6,23.042,CHI,@,NYY,L 27-38,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,,,,,,0,
2,1952,1952-10-12,3,25.025,CHI,,DTX,W 38-20,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,,,,,,0,
3,1952,1952-10-19,4,25.032,CHI,,SFO,L 16-40,,1,5,20.00,-7,0,0,39.6,0,0,-1.40,-1.40,1,11,11.00,0,0,0,,0,,,,,,,0,
4,1952,1952-11-09,7,25.053,CHI,,GNB,L 28-41,,2,5,40.00,9,0,0,47.9,0,0,1.80,1.80,1,12,12.00,0,0,0,,0,,,,,,,0,
5,1952,1952-11-16,8,25.060,CHI,,RAM,L 24-40,,10,24,41.67,128,1,3,33.3,0,0,5.33,0.54,2,4,2.00,1,0,0,,0,,,,,,,1,
6,1952,1952-11-23,9,25.067,CHI,,DET,W 24-23,*,11,33,33.33,216,3,0,87.4,0,0,6.55,8.36,7,21,3.00,0,0,0,,0,,,,,,,0,
7,1952,1952-11-27,10,25.071,CHI,@,DTX,L 23-27,,9,16,56.25,138,2,1,98.4,0,0,8.63,8.31,0,0,,0,0,0,,0,,,,,,,0,
8,1952,1952-12-07,11,25.081,CHI,@,DET,L 21-45,*,5,19,26.32,69,1,4,20.2,0,0,3.63,-4.79,1,-1,-1.00,0,0,0,,0,,,,,,,0,
9,1952,1952-12-14,12,25.088,CHI,,CRD,W 10-7,,9,27,33.33,111,1,3,19.8,0,0,4.11,-0.15,0,0,,0,0,0,,0,,,,,,,0,
10,1953,1953-09-27,1,26.010,CHI,@,BAL,L 9-13,*,4,10,40.00,33,0,1,9.6,0,0,3.30,-1.20,3,-13,-4.33,0,0,0,,0,,,,,,,0,
11,1953,1953-10-04,2,26.017,CHI,@,GNB,W 17-13,*,4,12,33.33,49,1,1,39.9,0,0,4.08,2.00,1,6,6.00,0,0,0,,0,,,,,,,0,
12,1953,1953-10-11,3,26.024,CHI,,BAL,L 14-16,*,12,22,54.55,115,2,2,61.7,0,0,5.23,2.95,1,7,7.00,0,0,0,,0,,,,,,,0,
13,1953,1953-10-18,4,26.031,CHI,,SFO,L 28-35,*,9,23,39.13,194,1,0,84.3,0,0,8.43,9.30,5,13,2.60,0,0,0,,0,,,,,,,0,
14,1953,1953-10-25,5,26.038,CHI,@,RAM,L 24-38,*,23,47,48.94,334,1,4,44.1,0,0,7.11,3.70,0,0,,0,0,0,,0,,,,,,,0,
15,1953,1953-11-01,6,26.045,CHI,@,SFO,L 14-24,*,29,46,63.04,233,1,2,64.9,0,0,5.07,3.54,0,0,,0,0,0,,0,,,,,,,0,
16,1953,1953-11-08,7,26.052,CHI,,GNB,T 21-21,*,17,37,45.95,216,2,1,71.5,0,0,5.84,5.70,3,23,7.67,0,0,0,,0,,,,,,,0,
17,1953,1953-11-15,8,26.059,CHI,@,WAS,W 27-24,*,10,25,40.00,128,1,2,36.7,0,0,5.12,2.32,2,10,5.00,0,0,0,,0,,,,,,,0,
18,1953,1953-11-22,9,26.066,CHI,,DET,L 16-20,*,16,39,41.03,225,1,4,29.3,0,0,5.77,1.67,1,2,2.00,0,0,0,,0,,,,,,,0,
19,1953,1953-11-29,10,26.073,CHI,,RAM,W 24-21,*,12,27,44.44,177,2,0,91.1,0,0,6.56,8.04,3,9,3.00,0,0,0,,0,,,,,,,0,
20,1953,1953-12-06,11,26.080,CHI,@,DET,L 7-13,*,13,37,35.14,154,0,5,9.1,0,0,4.16,-1.92,1,3,3.00,0,0,7,,0,,,,,,,0,
21,1953,1953-12-13,12,26.087,CHI,,CRD,L 17-24,*,20,37,54.05,306,2,1,88.3,0,0,8.27,8.14,4,2,0.50,0,0,0,,0,,,,,,,0,
22,1954,1954-09-26,1,27.009,CHI,@,DET,L 23-48,,12,33,36.36,230,0,2,36.2,0,0,6.97,4.24,6,12,2.00,0,0,0,,0,,,,,,,0,
23,1954,1954-10-03,2,27.016,CHI,@,GNB,W 10-3,*,13,36,36.11,126,1,3,21.3,0,0,3.50,0.31,3,21,7.00,0,0,0,,0,,,,,,,0,
24,1954,1954-10-10,3,27.023,CHI,,BAL,W 28-9,*,8,21,38.10,193,2,2,64.3,0,0,9.19,6.81,3,2,0.67,0,0,0,,0,,,,,,,0,
25,1954,1954-10-17,4,27.030,CHI,,SFO,L 24-31,*,21,47,44.68,359,3,5,52.8,0,0,7.64,4.13,3,2,0.67,0,0,0,,0,,,,,,,0,
26,1954,1954-10-24,5,27.037,CHI,@,RAM,L 38-42,*,28,46,60.87,338,4,2,94.3,0,0,7.35,7.13,0,0,,0,0,0,,0,,,,,,,0,
27,1954,1954-10-31,6,27.044,CHI,@,SFO,W 31-27,*,20,34,58.82,292,3,1,104.0,0,0,8.59,9.03,1,1,1.00,0,0,0,,0,,,,,,,0,
28,1954,1954-11-07,7,27.051,CHI,,GNB,W 28-23,*,24,46,52.17,279,2,2,67.2,0,0,6.07,4.98,1,3,3.00,0,0,0,,0,,,,,,,0,
29,1954,1954-11-14,8,27.058,CHI,,CLE,L 10-39,*,5,18,27.78,112,0,0,53.0,0,0,6.22,6.22,2,0,0.00,0,0,0,,0,,,,,,,0,
30,1955,1955-09-25,1,28.008,CHI,@,BAL,L 17-23,,9,21,42.86,86,1,0,70.7,0,0,4.10,5.05,1,9,9.00,0,0,0,,0,,,,,,,0,
31,1955,1955-10-02,2,28.015,CHI,@,GNB,L 3-24,,1,3,33.33,-8,0,0,42.4,0,0,-2.67,-2.67,3,7,2.33,0,0,0,,0,,,,,,,0,
32,1955,1955-10-09,3,28.022,CHI,,SFO,L 19-20,,2,8,25.00,25,0,0,40.1,0,0,3.13,3.13,3,7,2.33,1,0,0,,0,,,,,,,1,
33,1955,1955-10-16,4,28.029,CHI,,BAL,W 38-10,,3,9,33.33,84,1,1,66.2,0,0,9.33,6.56,2,8,4.00,0,0,0,,0,,,,,,,0,
34,1955,1955-10-23,5,28.036,CHI,@,SFO,W 34-23,,4,6,66.67,25,0,1,35.4,0,0,4.17,-3.33,0,0,,0,0,0,,0,,,,,,,0,
35,1955,1955-10-30,6,28.043,CHI,@,RAM,W 31-20,,8,12,66.67,99,1,1,85.1,0,0,8.25,6.17,1,10,10.00,0,0,0,,0,,,,,,,0,
36,1955,1955-11-06,7,28.050,CHI,,GNB,W 52-31,,2,5,40.00,11,0,2,8.3,0,0,2.20,-15.80,2,7,3.50,0,0,0,,0,,,,,,,0,
37,1955,1955-11-13,8,28.057,CHI,,RAM,W 24-3,,1,3,33.33,9,0,0,42.4,0,0,3.00,3.00,1,3,3.00,0,0,0,,0,,,,,,,0,
38,1955,1955-11-20,9,28.064,CHI,@,DET,W 24-14,,4,6,66.67,43,0,0,87.5,0,0,7.17,7.17,0,0,,0,0,0,,0,,,,,,,0,
39,1955,1955-11-27,10,28.071,CHI,@,CRD,L 14-53,,6,19,31.58,75,0,1,22.9,0,0,3.95,1.58,1,1,1.00,1,0,0,,0,,,,,,,1,
40,1955,1955-12-04,11,28.078,CHI,,DET,W 21-20,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,,,,,,0,
41,1955,1955-12-11,12,28.085,CHI,,PHI,W 17-10,,2,3,66.67,10,1,1,71.5,0,0,3.33,-5.00,1,2,2.00,0,0,0,,0,,,,,,,0,
42,1956,1956-09-30,1,29.013,CHI,@,BAL,L 21-28,,6,12,50.00,47,0,0,60.1,0,0,3.92,3.92,1,12,12.00,0,0,0,,0,,,,,,,0,
43,1956,1956-10-14,3,29.027,CHI,,SFO,W 31-7,,3,5,60.00,40,0,0,85.4,0,0,8.00,8.00,0,0,,0,0,0,,0,,,,,,,0,
44,1956,1956-10-21,4,29.034,CHI,,BAL,W 58-27,,6,6,100.00,65,3,0,151.4,0,0,10.83,20.83,1,9,9.00,0,0,0,,0,,,,,,,0,
45,1956,1956-10-28,5,29.041,CHI,@,SFO,W 38-21,,5,11,45.45,72,0,0,67.2,0,0,6.55,6.55,1,15,15.00,0,0,0,,0,,,,,,,0,
46,1956,1956-11-04,6,29.048,CHI,@,RAM,W 35-24,,2,2,100.00,21,1,0,150.0,0,0,10.50,20.50,0,0,,0,0,0,,0,,,,,,,0,
47,1956,1956-11-11,7,29.055,CHI,,GNB,W 38-14,,5,8,62.50,126,2,1,106.2,0,0,15.75,15.13,1,-4,-4.00,0,0,0,,0,,,,,,,0,
48,1956,1956-11-18,8,29.062,CHI,,RAM,W 30-21,,2,4,50.00,6,0,0,56.2,0,0,1.50,1.50,0,0,,0,0,0,,0,,,,,,,0,
49,1956,1956-11-25,9,29.069,CHI,@,NYG,T 17-17,,3,9,33.33,33,0,1,5.6,0,0,3.67,-1.33,1,-2,-2.00,0,0,0,,0,,,,,,,0,
50,1956,1956-12-02,10,29.076,CHI,@,DET,L 10-42,,5,11,45.45,29,1,1,44.9,0,0,2.64,0.36,1,17,17.00,0,0,0,,0,,,,,,,0,
51,1956,1956-12-09,11,29.083,CHI,,CRD,W 10-3,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,,0,,,,,,,0,
52,1957,1957-10-13,3,30.026,CHI,,SFO,L 17-21,,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50,3,-1,-0.33,1,0,0,,0,,,,,,,1,
53,1957,1957-12-01,10,30.075,CHI,,WAS,L 3-14,,3,7,42.86,16,0,1,10.7,0,0,2.29,-4.14,0,0,,0,0,0,,0,,,,,,,0,
54,1957,1957-12-15,12,30.089,CHI,,DET,L 13-21,,5,10,50.00,49,0,1,24.6,0,0,4.90,0.40,2,-4,-2.00,0,0,0,,0,,,,,,,0,
55,1958,1958-11-09,7,31.053,CHI,,GNB,W 24-10,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,,,,,,0,
56,1958,1958-11-16,8,31.060,CHI,,BAL,L 0-17,,2,5,40.00,19,0,0,51.2,0,0,3.80,3.80,0,0,,0,0,0,,0,,,,,,,0,
57,1960,1960-09-11,1,32.360,HOU,@,OAK,W 37-22,*,19,37,51.35,279,4,1,101.1,0,0,7.54,8.49,2,-2,-1.00,0,0,0,,0,4,4,100.0,1,1,100.0,0,7
58,1960,1960-09-18,2,33.001,HOU,,LAC,W 38-28,*,6,17,35.29,101,0,0,56.2,0,0,5.94,5.94,5,20,4.00,3,0,0,,0,5,5,100.0,1,1,100.0,3,26
59,1960,1960-09-25,3,33.008,HOU,,OAK,L 13-14,*,17,36,47.22,222,1,3,41.7,0,0,6.17,2.97,1,0,0.00,0,0,0,,0,1,1,100.0,2,4,50.0,0,7
60,1960,1960-10-09,4,33.022,HOU,,NYT,W 27-21,*,13,29,44.83,176,1,0,76.2,0,0,6.07,6.76,4,3,0.75,0,0,0,,0,3,3,100.0,2,5,40.0,0,9
61,1960,1960-10-16,5,33.029,HOU,,DTX,W 20-10,*,17,36,47.22,233,1,2,54.5,0,0,6.47,4.53,1,0,0.00,0,0,0,,0,2,2,100.0,2,4,50.0,0,8
62,1960,1960-10-23,6,33.036,HOU,@,NYT,W 42-28,*,18,34,52.94,287,4,2,96.1,0,0,8.44,8.15,1,0,0.00,1,0,0,,0,6,6,100.0,,1,0.0,1,12
63,1960,1960-10-30,7,33.043,HOU,@,BUF,L 24-25,*,9,32,28.13,124,3,4,34.9,0,0,3.88,0.13,0,0,,0,0,0,,0,3,3,100.0,1,1,100.0,0,6
64,1960,1960-11-06,8,33.050,HOU,@,DEN,W 45-25,*,18,34,52.94,276,4,0,119.2,0,0,8.12,10.47,0,0,,0,0,0,,0,6,6,100.0,1,4,25.0,0,9
65,1960,1960-11-13,9,33.057,HOU,@,LAC,L 21-24,*,31,55,56.36,366,3,4,64.7,0,0,6.65,4.47,0,0,,0,0,0,,0,3,3,100.0,,1,0.0,0,3
