ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
66,1960,1960-11-20,10,33.064,HOU,,DEN,W 20-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,3,66.7,,1,0.0,0,2
67,1960,1960-11-25,11,33.069,HOU,@,BOS,W 24-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,4,25.0,0,6
68,1960,1960-12-04,12,33.078,HOU,@,DTX,L 0-24,,6,12,50.00,47,0,0,60.1,0,0,3.92,3.92,1,-4,-4.00,0,0,0,,0,,,,,1,0.0,0,0
69,1960,1960-12-11,13,33.085,HOU,,BUF,W 31-23,*,7,20,35.00,175,3,3,67.7,0,0,8.75,5.00,1,-1,-1.00,0,0,0,,0,4,4,100.0,1,1,100.0,0,7
70,1960,1960-12-18,14,33.092,HOU,,BOS,W 37-21,*,8,21,38.10,127,0,3,19.4,0,0,6.05,-0.38,0,0,,0,0,0,,0,4,4,100.0,3,3,100.0,0,13
71,1961,1961-09-09,1,33.357,HOU,,OAK,W 55-0,*,11,24,45.83,233,3,1,103.0,0,0,9.71,10.33,0,0,,0,0,0,,0,6,6,100.0,2,2,100.0,0,12
72,1961,1961-09-24,2,34.007,HOU,@,SDG,L 24-34,*,15,29,51.72,131,0,4,24.4,0,0,4.52,-1.69,0,0,,0,1,-16,-16.00,0,3,3,100.0,1,1,100.0,0,6
73,1961,1961-10-01,3,34.014,HOU,@,DTX,L 21-26,*,15,36,41.67,275,3,2,73.3,0,0,7.64,6.81,3,-4,-1.33,0,0,0,,0,3,3,100.0,,,,0,3
74,1961,1961-10-08,4,34.021,HOU,,BUF,L 12-22,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,5,20.0,0,4
75,1961,1961-10-13,5,34.026,HOU,@,BOS,T 31-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,1,3,33.3,0,7
76,1961,1961-10-22,6,34.035,HOU,,DTX,W 38-7,,11,24,45.83,215,3,0,117.2,0,0,8.96,11.46,1,6,6.00,0,0,0,,0,5,5,100.0,1,3,33.3,0,8
77,1961,1961-10-29,7,34.042,HOU,@,BUF,W 28-16,*,18,32,56.25,464,4,4,101.0,0,0,14.50,11.38,2,3,1.50,0,0,0,,0,4,4,100.0,,2,0.0,0,4
78,1961,1961-11-05,8,34.049,HOU,@,DEN,W 55-14,*,17,35,48.57,263,3,1,90.5,0,0,7.51,7.94,0,0,,0,0,0,,0,7,7,100.0,2,2,100.0,0,13
79,1961,1961-11-12,9,34.056,HOU,,BOS,W 27-15,*,9,25,36.00,134,1,2,34.4,0,0,5.36,2.56,0,0,,0,0,0,,0,3,3,100.0,2,2,100.0,0,9
80,1961,1961-11-19,10,34.063,HOU,,NYT,W 49-13,*,20,32,62.50,418,7,1,132.8,0,0,13.06,16.03,0,0,,0,0,0,,0,7,7,100.0,,1,0.0,0,7
81,1961,1961-11-26,11,34.070,HOU,,DEN,W 45-14,*,15,28,53.57,209,1,3,50.1,0,0,7.46,3.36,0,0,,0,0,0,,0,6,6,100.0,1,1,100.0,0,9
82,1961,1961-12-03,12,34.077,HOU,,SDG,W 33-13,*,20,33,60.61,351,4,1,123.9,0,0,10.64,11.70,1,7,7.00,0,0,0,,0,3,4,75.0,2,3,66.7,0,9
83,1961,1961-12-10,13,34.084,HOU,@,NYT,W 48-21,*,18,33,54.55,287,3,1,101.5,0,0,8.70,9.15,0,0,,0,0,0,,0,6,6,100.0,2,3,66.7,0,12
84,1961,1961-12-17,14,34.091,HOU,@,OAK,W 47-16,*,18,31,58.06,350,4,2,110.2,0,0,11.29,10.97,0,0,,0,0,0,,0,6,6,100.0,1,1,100.0,0,9
85,1962,1962-09-09,1,34.357,HOU,@,BUF,W 28-23,*,15,30,50.00,188,1,6,41.4,0,0,6.27,-2.07,0,0,,0,0,0,,0,4,4,100.0,,3,0.0,0,4
86,1962,1962-09-16,2,34.364,HOU,@,BOS,L 21-34,*,20,36,55.56,386,3,4,81.2,0,0,10.72,7.39,1,-3,-3.00,0,0,0,,0,3,3,100.0,,2,0.0,0,3
87,1962,1962-09-23,3,35.006,HOU,@,SDG,W 42-17,*,11,20,55.00,164,2,1,94.6,0,0,8.20,7.95,0,0,,0,0,0,,0,6,6,100.0,,1,0.0,0,6
88,1962,1962-10-07,4,35.020,HOU,,BUF,W 17-14,*,8,27,29.63,182,2,3,40.3,0,0,6.74,3.22,0,0,,0,0,0,,0,2,2,100.0,1,2,50.0,0,5
89,1962,1962-10-14,5,35.027,HOU,,NYT,W 56-17,*,13,24,54.17,190,6,1,102.4,0,0,7.92,11.04,0,0,,0,0,0,,0,8,8,100.0,,1,0.0,0,8
90,1962,1962-10-21,6,35.034,HOU,@,DEN,L 10-20,*,24,46,52.17,201,0,0,63.8,0,0,4.37,4.37,0,0,,0,0,0,,0,1,1,100.0,1,1,100.0,0,4
91,1962,1962-10-28,7,35.041,HOU,,DTX,L 7-31,*,8,18,44.44,104,0,6,23.6,0,0,5.78,-9.22,0,0,,0,0,0,,0,1,1,100.0,,,,0,1
92,1962,1962-11-04,8,35.048,HOU,@,DTX,W 14-6,*,13,19,68.42,194,2,1,114.8,0,0,10.21,9.95,1,10,10.00,0,0,0,,0,2,2,100.0,,2,0.0,0,2
93,1962,1962-11-11,9,35.055,HOU,@,OAK,W 28-20,*,17,43,39.53,211,1,4,24.5,0,0,4.91,1.19,0,0,,0,0,0,,0,4,4,100.0,,1,0.0,0,4
94,1962,1962-11-18,10,35.062,HOU,,BOS,W 21-17,*,16,28,57.14,228,2,4,67.9,0,0,8.14,3.14,0,0,,0,0,0,,0,3,3,100.0,,,,0,3
95,1962,1962-11-25,11,35.069,HOU,,SDG,W 33-27,*,5,18,27.78,76,1,2,23.6,0,0,4.22,0.33,1,-1,-1.00,0,0,0,,0,2,2,100.0,3,5,60.0,0,11
96,1962,1962-12-02,12,35.076,HOU,,DEN,W 34-17,*,21,44,47.73,280,3,5,51.5,0,0,6.36,2.61,0,0,,0,0,0,,0,4,4,100.0,2,2,100.0,0,10
97,1962,1962-12-09,13,35.083,HOU,,OAK,W 32-17,*,11,33,33.33,181,1,2,37.6,0,0,5.48,3.36,0,0,,0,0,0,,0,3,3,100.0,3,4,75.0,0,12
98,1962,1962-12-15,14,35.089,HOU,@,NYT,W 44-10,*,15,32,46.88,225,3,3,62.6,0,0,7.03,4.69,0,0,,0,0,0,,0,5,6,83.3,1,2,50.0,0,8
99,1963,1963-09-07,1,35.355,HOU,,OAK,L 13-24,*,7,24,29.17,90,0,5,3.1,0,0,3.75,-5.63,0,0,,0,0,0,,0,1,1,100.0,2,4,50.0,0,7
100,1963,1963-09-14,2,35.362,HOU,,DEN,W 20-14,*,15,30,50.00,218,1,1,71.3,0,0,7.27,6.43,0,0,,0,0,0,,0,2,2,100.0,2,6,33.3,0,8
101,1963,1963-09-22,3,36.005,HOU,@,NYJ,L 17-24,*,25,37,67.57,308,1,2,79.6,0,0,8.32,6.43,0,0,,0,0,0,,0,2,2,100.0,1,2,50.0,0,5
102,1963,1963-09-28,4,36.011,HOU,@,BUF,W 31-20,*,18,25,72.00,242,3,1,125.3,0,0,9.68,10.28,1,-2,-2.00,0,0,0,,0,4,4,100.0,1,1,100.0,0,7
103,1963,1963-10-06,5,36.019,HOU,@,KAN,L 7-28,*,20,39,51.28,249,1,4,40.4,0,0,6.38,2.28,0,0,,0,0,0,,0,1,1,100.0,,1,0.0,0,1
104,1963,1963-10-13,6,36.026,HOU,@,DEN,W 33-24,*,21,43,48.84,279,3,0,93.1,0,0,6.49,7.88,0,0,,0,0,0,,0,4,4,100.0,1,3,33.3,0,7
105,1963,1963-10-20,7,36.033,HOU,,BUF,W 28-14,*,12,31,38.71,233,3,0,97.9,0,0,7.52,9.45,0,0,,0,0,0,,0,4,4,100.0,,,,0,4
106,1963,1963-10-27,8,36.040,HOU,,KAN,W 28-7,*,20,31,64.52,226,3,1,105.0,0,0,7.29,7.77,0,0,,0,0,0,,0,4,4,100.0,,1,0.0,0,4
107,1963,1963-11-01,9,36.045,HOU,@,BOS,L 3-45,*,7,21,33.33,76,0,3,5.4,0,0,3.62,-2.81,0,0,,0,0,0,,0,,,,1,1,100.0,0,3
108,1963,1963-11-10,10,36.054,HOU,,NYJ,W 31-27,*,19,32,59.38,205,1,0,88.7,0,0,6.41,7.03,3,3,1.00,0,0,0,,0,4,4,100.0,1,2,50.0,0,7
109,1963,1963-12-01,11,36.075,HOU,@,SDG,L 0-27,*,9,26,34.62,110,0,2,16.5,0,0,4.23,0.77,0,0,,0,0,0,,0,,,,,2,0.0,0,0
110,1963,1963-12-08,12,36.082,HOU,,BOS,L 28-46,*,14,20,70.00,178,2,2,91.2,0,0,8.90,6.40,0,0,,0,0,0,,0,4,4,100.0,,,,0,4
111,1963,1963-12-15,13,36.089,HOU,,SDG,L 14-20,,17,32,53.13,247,1,2,62.9,0,0,7.72,5.53,0,0,,0,0,0,,0,2,2,100.0,,1,0.0,0,2
112,1963,1963-12-22,14,36.096,HOU,@,OAK,L 49-52,*,20,32,62.50,342,5,2,112.2,0,0,10.69,11.00,0,0,,0,0,0,,0,7,7,100.0,,,,0,7
113,1964,1964-09-12,1,36.361,HOU,@,SDG,L 21-27,*,28,48,58.33,254,2,0,86.6,0,0,5.29,6.13,0,0,,0,0,-7,,0,3,3,100.0,,1,0.0,0,3
114,1964,1964-09-19,2,37.002,HOU,,OAK,W 42-28,*,10,22,45.45,191,1,3,51.7,0,0,8.68,3.45,0,0,,0,0,0,,0,6,6,100.0,,,,0,6
115,1964,1964-09-27,3,37.010,HOU,@,DEN,W 38-17,*,19,35,54.29,285,2,0,100.3,0,0,8.14,9.29,3,-8,-2.67,0,0,0,,0,5,5,100.0,1,1,100.0,0,8
116,1964,1964-10-04,4,37.017,HOU,@,KAN,L 7-28,*,16,42,38.10,175,1,5,19.5,0,0,4.17,-0.71,0,0,,0,0,0,,0,1,1,100.0,,,,0,1
117,1964,1964-10-11,5,37.024,HOU,,BUF,L 17-48,*,7,18,38.89,55,1,2,26.2,0,0,3.06,-0.83,0,0,,0,0,0,,0,2,2,100.0,1,2,50.0,0,5
118,1964,1964-10-17,6,37.030,HOU,@,NYJ,L 21-24,*,20,41,48.78,238,2,1,73.0,0,0,5.80,5.68,0,0,,0,0,0,,0,3,3,100.0,,,,0,3
119,1964,1964-10-25,7,37.038,HOU,,SDG,L 17-20,*,22,37,59.46,312,1,2,73.3,0,0,8.43,6.54,0,0,,0,0,0,,0,2,2,100.0,1,3,33.3,0,5
120,1964,1964-11-01,8,37.045,HOU,@,BUF,L 10-24,*,37,68,54.41,393,1,3,58.0,0,0,5.78,4.09,0,0,,0,0,0,,0,1,1,100.0,1,4,25.0,0,4
121,1964,1964-11-06,9,37.050,HOU,@,BOS,L 24-25,*,20,44,45.45,328,2,1,76.7,0,0,7.45,7.34,0,0,,0,0,0,,0,3,3,100.0,1,3,33.3,0,6
122,1964,1964-11-15,10,37.059,HOU,@,OAK,L 10-20,*,20,37,54.05,278,1,1,76.2,0,0,7.51,6.84,0,0,,0,0,0,,0,1,1,100.0,1,4,25.0,0,4
123,1964,1964-11-22,11,37.066,HOU,,KAN,L 19-28,,16,28,57.14,179,1,3,48.7,0,0,6.39,2.29,0,0,,0,0,0,,0,1,1,100.0,2,2,100.0,0,7
124,1964,1964-11-29,12,37.073,HOU,,BOS,L 17-34,*,16,28,57.14,233,1,3,56.7,0,0,8.32,4.21,0,0,,0,0,0,,0,2,2,100.0,1,3,33.3,0,5
125,1964,1964-12-13,13,37.087,HOU,,NYJ,W 33-17,*,15,31,48.39,157,0,1,50.1,0,0,5.06,3.61,0,0,,0,0,0,,0,3,4,75.0,2,3,66.7,0,9
126,1964,1964-12-20,14,37.094,HOU,,DEN,W 34-15,*,16,27,59.26,204,1,2,64.4,0,0,7.56,4.96,1,6,6.00,0,0,0,,0,4,4,100.0,2,3,66.7,0,10
127,1965,1965-09-12,1,37.360,HOU,,NYJ,W 27-21,*,3,6,50.00,21,0,2,18.7,0,0,3.50,-11.50,1,-3,-3.00,0,0,0,,0,3,3,100.0,2,2,100.0,0,9
128,1965,1965-09-19,2,38.002,HOU,,BOS,W 31-10,*,16,30,53.33,298,3,2,93.5,0,0,9.93,8.93,1,-2,-2.00,0,0,0,,0,4,4,100.0,1,3,33.3,0,7
129,1965,1965-09-26,3,38.009,HOU,@,OAK,L 17-21,*,11,27,40.74,166,1,1,58.6,0,0,6.15,5.22,0,0,,0,0,0,,0,2,2,100.0,1,2,50.0,0,5
130,1965,1965-10-03,4,38.016,HOU,@,SDG,L 14-31,*,10,24,41.67,68,0,0,49.3,0,0,2.83,2.83,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
131,1965,1965-10-17,5,38.030,HOU,@,DEN,L 17-28,*,19,54,35.19,287,0,5,15.0,0,0,5.31,1.15,0,0,,0,0,0,,0,2,2,100.0,1,1,100.0,0,5
132,1965,1965-10-24,6,38.037,HOU,,KAN,W 38-36,,19,33,57.58,304,5,0,128.0,0,0,9.21,12.24,0,0,,0,0,0,,0,,,,,1,0.0,0,0
133,1965,1965-10-31,7,38.044,HOU,@,BUF,W 19-17,*,13,35,37.14,158,1,1,49.5,0,0,4.51,3.80,2,-1,-0.50,0,0,0,,0,,,,4,4,100.0,0,12
134,1965,1965-11-07,8,38.051,HOU,,OAK,L 21-33,*,27,60,45.00,308,2,3,51.2,0,0,5.13,3.55,0,0,,0,0,0,,0,3,3,100.0,,,,0,3
135,1965,1965-11-14,9,38.058,HOU,,DEN,L 21-31,*,19,49,38.78,251,3,6,36.6,0,0,5.12,0.84,0,0,,0,0,0,,0,3,3,100.0,,,,0,3
136,1965,1965-11-21,10,38.065,HOU,@,NYJ,L 14-41,*,14,31,45.16,137,0,3,18.5,0,0,4.42,0.06,0,0,,0,0,0,,0,2,2,100.0,,1,0.0,0,2
137,1965,1965-11-28,11,38.072,HOU,@,KAN,L 21-52,*,3,8,37.50,33,0,1,10.9,0,0,4.13,-1.50,0,0,,0,0,0,,0,3,3,100.0,,2,0.0,0,3
138,1965,1965-12-05,12,38.079,HOU,,BUF,L 18-29,*,10,24,41.67,209,1,1,69.6,0,0,8.71,7.67,0,0,,0,0,0,,0,1,1,100.0,1,3,33.3,0,4
139,1965,1965-12-12,13,38.086,HOU,,SDG,L 26-37,,13,40,32.50,212,3,2,55.4,0,0,5.30,4.55,0,0,,0,0,0,,0,3,3,100.0,1,2,50.0,0,6
140,1965,1965-12-18,14,38.092,HOU,@,BOS,L 14-42,*,9,21,42.86,90,1,3,31.9,0,0,4.29,-1.19,0,0,,0,0,0,,0,,,,,,,0,0
141,1966,1966-09-03,1,38.351,HOU,,DEN,W 45-7,*,13,25,52.00,210,3,0,120.0,0,0,8.40,10.80,0,0,,0,0,0,,0,6,6,100.0,1,5,20.0,0,9
142,1966,1966-09-10,2,38.358,HOU,,OAK,W 31-0,*,17,34,50.00,202,2,2,63.6,0,0,5.94,4.47,0,0,,0,0,0,,0,4,4,100.0,1,2,50.0,0,7
