ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,2015,2015-09-13,1,23.281,CHI,,GNB,L 23-31,,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0
2,2015,2015-09-20,2,23.288,CHI,,ARI,L 23-48,,6,21,3.50,1,0,0,0,,0,0.0%,,,1,6
3,2015,2015-09-27,3,23.295,CHI,@,SEA,L 0-26,,0,0,,0,0,0,0,,0,0.0%,,,0,0
4,2015,2015-10-04,4,23.302,CHI,,OAK,W 22-20,,1,4,4.00,0,0,0,0,,0,0.0%,,,0,0
5,2015,2015-10-11,5,23.309,CHI,@,KAN,W 18-17,,2,-2,-1.00,0,2,1,14,14.00,0,50.0%,7.00,,0,0
6,2015,2015-10-18,6,23.316,CHI,@,DET,L 34-37,,5,10,2.00,1,2,1,17,17.00,0,50.0%,8.50,,1,6
7,2015,2015-11-01,7,23.330,CHI,,MIN,L 20-23,,12,46,3.83,0,1,0,0,,0,0.0%,0.00,,0,0
8,2015,2015-11-09,8,23.338,CHI,@,SDG,W 22-19,,18,72,4.00,1,4,3,70,23.33,0,75.0%,17.50,1,1,8
9,2015,2015-11-15,9,23.344,CHI,@,STL,W 37-13,*,20,73,3.65,1,9,7,109,15.57,1,77.8%,12.11,,2,12
10,2015,2015-11-22,10,23.351,CHI,,DEN,L 15-17,*,13,25,1.92,1,6,3,17,5.67,0,50.0%,2.83,,1,6
11,2015,2015-11-26,11,23.355,CHI,@,GNB,W 17-13,,12,48,4.00,1,3,1,5,5.00,0,33.3%,1.67,,1,6
12,2015,2015-12-06,12,24.000,CHI,,SFO,L 20-26,,12,59,4.92,0,3,2,9,4.50,0,66.7%,3.00,,0,0
13,2015,2015-12-13,13,24.007,CHI,,WAS,L 21-24,,11,37,3.36,0,7,3,27,9.00,0,42.9%,3.86,,0,0
14,2015,2015-12-20,14,24.014,CHI,@,MIN,L 17-38,,11,46,4.18,0,3,1,11,11.00,0,33.3%,3.67,,0,0
15,2015,2015-12-27,15,24.021,CHI,@,TAM,W 26-21,,19,83,4.37,0,2,0,0,,0,0.0%,0.00,,0,0
16,2015,2016-01-03,16,24.028,CHI,,DET,L 20-24,,5,14,2.80,0,0,0,0,,0,0.0%,,,0,0
17,2016,2016-09-11,1,24.280,CHI,@,HOU,L 14-23,*,17,57,3.35,1,4,2,6,3.00,0,50.0%,1.50,,1,6
18,2016,2016-09-19,2,24.288,CHI,,PHI,L 14-29,*,11,28,2.55,1,2,1,6,6.00,0,50.0%,3.00,,1,6
19,2016,2016-09-25,3,24.294,CHI,@,DAL,L 17-31,*,3,31,10.33,0,3,2,15,7.50,0,66.7%,5.00,,0,0
20,2016,2016-10-31,8,24.330,CHI,,MIN,W 20-10,,0,0,,0,1,1,11,11.00,0,100.0%,11.00,,0,0
21,2016,2016-11-13,9,24.343,CHI,@,TAM,L 10-36,,2,16,8.00,0,5,4,10,2.50,0,80.0%,2.00,,0,0
22,2016,2016-11-20,10,24.350,CHI,@,NYG,L 16-22,,6,8,1.33,1,3,3,30,10.00,0,100.0%,10.00,,1,6
23,2016,2016-11-27,11,24.357,CHI,,TEN,L 21-27,,1,5,5.00,0,2,0,0,,0,0.0%,0.00,,0,0
24,2016,2016-12-04,12,24.364,CHI,,SFO,W 26-6,,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0
25,2016,2016-12-11,13,25.005,CHI,@,DET,L 17-20,,3,4,1.33,0,1,1,1,1.00,0,100.0%,1.00,,0,0
26,2016,2016-12-18,14,25.012,CHI,,GNB,L 27-30,,1,4,4.00,0,1,1,18,18.00,0,100.0%,18.00,,0,0
27,2016,2016-12-24,15,25.018,CHI,,WAS,L 21-41,,7,19,2.71,1,2,1,4,4.00,0,50.0%,2.00,,1,6
28,2016,2017-01-01,16,25.026,CHI,@,MIN,L 10-38,,10,26,2.60,0,3,3,41,13.67,0,100.0%,13.67,,0,0
