ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks
1,2006,2006-09-10,1,23.009,JAX,,DAL,W 24-17,,,,,,
2,2006,2006-09-24,3,23.023,JAX,@,IND,L 14-21,,,,,,
3,2006,2006-10-01,4,23.030,JAX,@,WAS,L 30-36,,,,,,
4,2006,2006-10-08,5,23.037,JAX,,NYJ,W 41-0,,,,,,
5,2006,2006-10-22,6,23.051,JAX,@,HOU,L 7-27,,0,0,,0,1.0
6,2006,2006-10-29,7,23.058,JAX,@,PHI,W 13-6,,0,0,,0,1.0
7,2007,2007-09-09,1,24.008,JAX,,TEN,L 10-13,,,,,,
8,2007,2007-09-16,2,24.015,JAX,,ATL,W 13-7,,0,0,,0,1.5
9,2007,2007-09-23,3,24.022,JAX,@,DEN,W 23-14,,,,,,
10,2007,2007-10-07,4,24.036,JAX,@,KAN,W 17-7,,,,,,
11,2007,2007-10-14,5,24.043,JAX,,HOU,W 37-17,,1,0,0.00,0,0.0
12,2007,2007-10-28,7,24.057,JAX,@,TAM,W 24-23,,,,,,
13,2007,2007-11-04,8,24.064,JAX,@,NOR,L 24-41,,,,,,
14,2007,2007-11-18,10,24.078,JAX,,SDG,W 24-17,,,,,,
15,2007,2007-11-25,11,24.085,JAX,,BUF,W 36-14,,,,,,
16,2007,2007-12-02,12,24.092,JAX,@,IND,L 25-28,,,,,,
17,2007,2007-12-09,13,24.099,JAX,,CAR,W 37-6,,,,,,
18,2007,2007-12-16,14,24.106,JAX,@,PIT,W 29-22,,0,0,,0,2.0
19,2007,2007-12-23,15,24.113,JAX,,OAK,W 49-11,,,,,,
20,2007,2007-12-30,16,24.120,JAX,@,HOU,L 28-42,,,,,,
