ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,23.357,ATL,,DET,W 34-21,,0,0,0,,0,0.0%,,1,7,7.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
2,2008,2008-09-14,2,23.364,ATL,@,TAM,L 9-24,,4,2,34,17.00,0,50.0%,8.50,1,33,33.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
3,2008,2008-09-21,3,24.005,ATL,,KAN,W 38-14,,2,2,10,5.00,0,100.0%,5.00,1,-8,-8.00,0,1,0,0.00,0,0,0,,0,,0,0,0.0,0,0
4,2008,2008-09-28,4,24.012,ATL,@,CAR,L 9-24,,5,2,8,4.00,0,40.0%,1.60,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
5,2008,2008-10-05,5,24.019,ATL,@,GNB,W 27-24,,0,0,0,,0,0.0%,,1,18,18.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
6,2008,2008-10-12,6,24.026,ATL,,CHI,W 22-20,,6,5,96,19.20,0,83.3%,16.00,1,-11,-11.00,0,1,10,10.00,0,0,0,,0,,0,0,0.0,0,0
7,2008,2008-10-26,7,24.040,ATL,@,PHI,L 14-27,,2,0,0,,0,0.0%,0.00,2,10,5.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
8,2008,2008-11-02,8,24.047,ATL,@,OAK,W 24-0,,1,1,12,12.00,0,100.0%,12.00,1,2,2.00,0,0,0,,0,2,13,6.50,0,,0,0,0.0,0,0
9,2008,2008-11-09,9,24.054,ATL,,NOR,W 34-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,33,16.50,0,,0,0,0.0,0,0
10,2008,2008-11-16,10,24.061,ATL,,DEN,L 20-24,,1,0,0,,0,0.0%,0.00,0,0,,0,1,22,22.00,0,1,9,9.00,0,,0,0,0.0,0,0
11,2008,2008-11-23,11,24.068,ATL,,CAR,W 45-28,,6,4,92,23.00,0,66.7%,15.33,2,3,1.50,1,0,0,,0,3,93,31.00,1,,2,12,0.0,0,0
12,2008,2008-11-30,12,24.075,ATL,@,SDG,W 22-16,,3,3,13,4.33,1,100.0%,4.33,0,0,,0,1,14,14.00,0,2,32,16.00,0,,1,6,0.0,0,0
13,2008,2008-12-07,13,24.082,ATL,@,NOR,L 25-29,,3,2,45,22.50,0,66.7%,15.00,0,0,,0,0,0,,0,2,2,1.00,0,,0,0,0.0,0,0
14,2008,2008-12-14,14,24.089,ATL,,TAM,W 13-10,,1,0,0,,0,0.0%,0.00,1,11,11.00,0,0,0,,0,4,37,9.25,0,,0,0,0.0,0,0
15,2008,2008-12-21,15,24.096,ATL,@,MIN,W 24-17,,2,1,4,4.00,0,50.0%,2.00,1,4,4.00,0,0,0,,0,1,4,4.00,0,,0,0,0.0,0,0
16,2008,2008-12-28,16,24.103,ATL,,STL,W 31-27,,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,2,3,1.50,0,,0,0,0.0,0,0
