ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1974,1974-09-15,1,22.021,STL,,PHI,W 7-3,5,197,39.40,0
2,1974,1974-09-22,2,22.028,STL,@,WAS,W 17-10,4,151,37.75,0
3,1974,1974-09-29,3,22.035,STL,,CLE,W 29-7,6,214,35.67,0
4,1974,1974-10-06,4,22.042,STL,@,SFO,W 34-9,3,136,45.33,0
5,1974,1974-10-13,5,22.049,STL,,DAL,W 31-28,6,246,41.00,0
6,1974,1974-10-20,6,22.056,STL,@,HOU,W 31-27,6,233,38.83,0
7,1974,1974-10-27,7,22.063,STL,,WAS,W 23-20,3,118,39.33,0
8,1974,1974-11-03,8,22.070,STL,@,DAL,L 14-17,8,305,38.13,0
9,1974,1974-11-11,9,22.078,STL,,MIN,L 24-28,6,224,37.33,0
10,1974,1974-11-17,10,22.084,STL,@,PHI,W 13-3,5,199,39.80,0
11,1974,1974-11-24,11,22.091,STL,@,NYG,W 23-21,4,164,41.00,0
12,1974,1974-12-01,12,22.098,STL,,KAN,L 13-17,9,326,36.22,0
13,1974,1974-12-08,13,22.105,STL,@,NOR,L 0-14,8,325,40.63,0
14,1974,1974-12-15,14,22.112,STL,,NYG,W 26-14,8,293,36.63,0
