ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1975,1975-09-21,1,22.173,NYG,@,PHI,W 23-14,2,3,1.50,0,0,0,,0,0,0
2,1975,1975-09-28,2,22.180,NYG,@,WAS,L 13-49,0,0,,0,1,1,1.00,0,0,0
3,1975,1975-10-05,3,22.187,NYG,@,STL,L 14-26,,,,,,,,,,
4,1975,1975-10-12,4,22.194,NYG,,DAL,L 7-13,,,,,,,,,,
5,1975,1975-10-20,5,22.202,NYG,@,BUF,W 17-14,,,,,,,,,,
6,1975,1975-10-25,6,22.207,NYG,,STL,L 13-20,,,,,,,,,,
7,1975,1975-11-01,7,22.214,NYG,,SDG,W 35-24,,,,,,,,,,
8,1975,1975-11-09,8,22.222,NYG,,WAS,L 13-21,,,,,,,,,,
9,1975,1975-11-16,9,22.229,NYG,,PHI,L 10-13,,,,,,,,,,
10,1975,1975-11-23,10,22.236,NYG,@,GNB,L 14-40,,,,,,,,,,
11,1975,1975-11-30,11,22.243,NYG,@,DAL,L 3-14,,,,,,,,,,
12,1975,1975-12-07,12,22.250,NYG,,BAL,L 0-21,1,3,3.00,0,0,0,,0,0,0
13,1975,1975-12-14,13,22.257,NYG,,NOR,W 28-14,2,15,7.50,0,0,0,,0,0,0
14,1975,1975-12-21,14,22.264,NYG,@,SFO,W 26-23,12,69,5.75,1,2,14,7.00,0,1,6
15,1976,1976-09-12,1,23.164,NYG,@,WAS,L 17-19,2,4,2.00,0,0,0,,0,0,0
16,1976,1976-09-19,2,23.171,NYG,@,PHI,L 7-20,4,15,3.75,0,0,0,,0,0,0
17,1976,1976-09-26,3,23.178,NYG,@,RAM,L 10-24,2,1,0.50,0,0,0,,0,0,0
18,1976,1976-10-03,4,23.185,NYG,@,STL,L 21-27,3,4,1.33,1,0,0,,0,1,6
19,1976,1976-10-10,5,23.192,NYG,,DAL,L 14-24,3,7,2.33,0,0,0,,0,0,0
20,1976,1976-10-17,6,23.199,NYG,@,MIN,L 7-24,1,4,4.00,0,0,0,,0,0,0
21,1976,1976-10-24,7,23.206,NYG,,PIT,L 0-27,5,17,3.40,0,1,4,4.00,0,0,0
22,1976,1976-10-31,8,23.213,NYG,,PHI,L 0-10,4,12,3.00,0,0,0,,0,0,0
23,1976,1976-11-07,9,23.220,NYG,@,DAL,L 3-9,5,17,3.40,0,0,0,,0,0,0
24,1976,1976-11-14,10,23.227,NYG,,WAS,W 12-9,11,48,4.36,0,0,0,,0,0,0
25,1976,1976-11-21,11,23.234,NYG,@,DEN,L 13-14,5,4,0.80,0,0,0,,0,0,0
26,1976,1976-11-28,12,23.241,NYG,,SEA,W 28-16,14,33,2.36,0,1,3,3.00,0,0,0
27,1976,1976-12-05,13,23.248,NYG,,DET,W 24-10,9,51,5.67,0,0,0,,0,0,0
28,1976,1976-12-12,14,23.255,NYG,,STL,L 14-17,1,6,6.00,0,0,0,,0,0,0
