ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1990,1990-09-09,1,22.337,NYJ,@,CIN,L 20-25,5,13,2.60,0,,1,7,7.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
2,1990,1990-09-16,2,22.344,NYJ,,CLE,W 24-21,6,46,7.67,0,,1,55,55.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
3,1990,1990-09-24,3,22.352,NYJ,,BUF,L 7-30,6,31,5.17,0,,1,2,2.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
4,1990,1990-09-30,4,22.358,NYJ,@,NWE,W 37-13,20,100,5.00,0,,1,7,7.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
5,1990,1990-10-07,5,23.000,NYJ,@,MIA,L 16-20,14,62,4.43,0,,4,32,8.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
6,1990,1990-10-14,6,23.007,NYJ,,SDG,L 3-39,3,10,3.33,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
7,1990,1990-10-21,7,23.014,NYJ,@,BUF,L 27-30,8,28,3.50,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
8,1990,1990-10-28,8,23.021,NYJ,@,HOU,W 17-12,9,36,4.00,0,,1,1,1.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
9,1990,1990-11-04,9,23.028,NYJ,,DAL,W 24-9,5,23,4.60,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
10,1990,1990-11-11,10,23.035,NYJ,,MIA,L 3-17,5,26,5.20,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
11,1990,1990-11-18,11,23.042,NYJ,@,IND,L 14-17,8,28,3.50,0,,8,82,10.25,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
12,1990,1990-12-02,13,23.056,NYJ,@,SDG,L 17-38,7,23,3.29,0,,1,9,9.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
13,1990,1990-12-16,14,23.070,NYJ,,IND,L 21-29,9,63,7.00,0,,1,3,3.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
14,1990,1990-12-23,15,23.077,NYJ,,NWE,W 42-7,12,88,7.33,0,,1,6,6.00,1,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
15,1990,1990-12-30,16,23.084,NYJ,@,TAM,W 16-14,6,43,7.17,1,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
16,1991,1991-09-01,1,23.329,NYJ,,TAM,W 16-13,23,92,4.00,0,,1,16,16.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
