ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1987,1987-10-05,3,25.228,SFO,@,NYG,W 41-21,7,36,5.14,1,2,2,100.00,52,1,0,158.3,0,0,26.00,36.00,1,6
2,1987,1987-10-11,4,25.234,SFO,@,ATL,W 25-17,3,9,3.00,0,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
