ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2002,2002-09-09,1,23.204,PIT,@,NWE,L 14-30,,,,,,,,,,,0.0%,,,,,,,
2,2002,2002-09-15,2,23.210,PIT,,OAK,L 17-30,,,,,,,,,,,0.0%,,,,,,,
3,2002,2002-09-29,3,23.224,PIT,,CLE,W 16-13,,,,,,0,,,,,0.0%,,,,,,,
4,2002,2002-10-06,4,23.231,PIT,@,NOR,L 29-32,,,,,,2,,,,,0.0%,,,,,,,
5,2002,2002-10-13,5,23.238,PIT,@,CIN,W 34-7,,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
6,2002,2002-10-21,6,23.246,PIT,,IND,W 28-10,,,,,,0,,,,,0.0%,,,,,,,
7,2002,2002-10-27,7,23.252,PIT,@,BAL,W 31-18,,3,23,7.67,0,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0
8,2002,2002-11-03,8,23.259,PIT,@,CLE,W 23-20,,4,5,1.25,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
9,2002,2002-11-10,9,23.266,PIT,,ATL,T 34-34,,,,,,0,,,,,0.0%,,,,,,,
10,2002,2002-11-17,10,23.273,PIT,@,TEN,L 23-31,,,,,,,,,,,0.0%,,,,,,,
11,2002,2002-11-24,11,23.280,PIT,,CIN,W 29-21,,,,,,,,,,,0.0%,,,,,,,
12,2002,2002-12-01,12,23.287,PIT,@,JAX,W 25-23,,1,16,16.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
13,2002,2002-12-08,13,23.294,PIT,,HOU,L 6-24,,,,,,0,,,,,0.0%,,,,,,,
14,2002,2002-12-15,14,23.301,PIT,,CAR,W 30-14,,0,0,,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0
15,2003,2003-09-07,1,24.202,PIT,,BAL,W 34-15,,11,18,1.64,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0
16,2003,2003-09-14,2,24.209,PIT,@,KAN,L 20-41,,0,0,,0,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0
17,2003,2003-09-28,4,24.223,PIT,,TEN,L 13-30,,1,-2,-2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
18,2003,2003-10-05,5,24.230,PIT,,CLE,L 13-33,,,,,,0,,,,,0.0%,,,,,,,
19,2003,2003-10-12,6,24.237,PIT,@,DEN,L 14-17,,2,20,10.00,0,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0
20,2003,2003-10-26,7,24.251,PIT,,STL,L 21-33,,,,,,,,,,,0.0%,,,,,,,
21,2003,2003-11-02,8,24.258,PIT,@,SEA,L 16-23,,,,,,,,,,,0.0%,,,,,,,
22,2003,2003-11-09,9,24.265,PIT,,ARI,W 28-15,,2,15,7.50,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0
