ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1959,1959-10-04,2,29.147,NYG,@,PHI,L 21-49,1,21,21.00,0,0,0,,0,0,,,,,,,,,,,,,0,
2,1959,1959-11-01,6,29.175,NYG,,GNB,W 20-3,1,11,11.00,0,0,0,,0,0,,,,,,,,,,,,,0,
3,1960,1960-09-25,1,30.138,NYG,@,SFO,W 21-19,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,,1,0.0,0,3
4,1960,1960-10-02,2,30.145,NYG,@,STL,W 35-14,0,0,,0,0,0,,0,0,0,,0,0,,,5,5,100.0,,1,0.0,0,5
5,1960,1960-10-09,3,30.152,NYG,@,PIT,W 19-17,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5
6,1960,1960-10-16,4,30.159,NYG,,WAS,T 24-24,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,3,33.3,0,6
7,1960,1960-10-30,5,30.173,NYG,,STL,L 13-20,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1
8,1960,1960-11-06,6,30.180,NYG,@,CLE,W 17-13,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,2,100.0,1,3,33.3,0,5
9,1960,1960-11-13,7,30.187,NYG,,PIT,W 27-24,1,15,15.00,0,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9
10,1960,1960-11-20,8,30.194,NYG,,PHI,L 10-17,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,1,4,25.0,0,4
11,1960,1960-11-27,9,30.201,NYG,@,PHI,L 23-31,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11
12,1960,1960-12-04,10,30.208,NYG,,DAL,T 31-31,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7
13,1960,1960-12-11,11,30.215,NYG,@,WAS,W 17-3,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5
14,1960,1960-12-18,12,30.222,NYG,,CLE,L 34-48,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,2,4,50.0,0,10
15,1961,1961-09-17,1,31.130,NYG,,STL,L 10-21,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,1,4,25.0,0,4
16,1961,1961-09-24,2,31.137,NYG,@,PIT,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,3,33.3,0,5
17,1961,1961-10-01,3,31.144,NYG,@,WAS,W 24-21,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,3,33.3,0,6
18,1961,1961-10-08,4,31.151,NYG,@,STL,W 24-9,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6
19,1961,1961-10-15,5,31.158,NYG,@,DAL,W 31-10,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,1,2,50.0,0,7
20,1961,1961-10-22,6,31.165,NYG,,RAM,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,3,33.3,0,6
21,1961,1961-10-29,7,31.172,NYG,,DAL,L 16-17,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,3,5,60.0,0,10
22,1961,1961-11-05,8,31.179,NYG,,WAS,W 53-0,0,0,,0,0,0,,0,0,0,,0,0,,,7,7,100.0,,1,0.0,0,7
23,1961,1961-11-12,9,31.186,NYG,,PHI,W 38-21,0,0,,0,0,0,,0,0,0,,0,0,,,5,5,100.0,1,1,100.0,0,8
24,1961,1961-11-19,10,31.193,NYG,,PIT,W 42-21,0,0,,0,0,0,,0,0,0,,0,0,,,6,6,100.0,,2,0.0,0,6
25,1961,1961-11-26,11,31.200,NYG,@,CLE,W 37-21,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,3,3,100.0,0,13
26,1961,1961-12-03,12,31.207,NYG,@,GNB,L 17-20,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5
27,1961,1961-12-10,13,31.214,NYG,@,PHI,W 28-24,0,0,,0,0,0,,0,0,0,,0,0,,,4,4,100.0,,2,0.0,0,4
28,1961,1961-12-17,14,31.221,NYG,,CLE,T 7-7,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,,2,0.0,0,1
