ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1960,1960-09-10,1,25.070,DTX,@,LAC,L 20-21,1,2,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0,0,,0
2,1960,1960-09-25,3,25.085,DTX,,LAC,W 17-0,3,4,1.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,1,0.0,1,6,0,0,,0
3,1960,1960-10-09,5,25.099,DTX,,OAK,L 19-20,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0,0,,0
4,1960,1960-10-16,6,25.106,DTX,@,HOU,L 10-20,5,6,1.20,0,6,87,14.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0,0,,0
5,1960,1960-11-06,8,25.127,DTX,@,BUF,W 45-28,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,1,58,58.00,0
6,1960,1960-11-13,9,25.134,DTX,,DEN,W 34-7,4,7,1.75,0,3,66,22.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,1,6,0,0,,0
7,1960,1960-11-18,10,25.139,DTX,@,BOS,L 14-42,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,13,13.00,0,,,,,,,0,0,2,52,26.00,0
8,1960,1960-12-04,12,25.155,DTX,,HOU,W 24-0,5,16,3.20,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0,0,,0
9,1960,1960-12-11,13,25.162,DTX,,BOS,W 34-0,3,4,1.33,0,1,21,21.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0,0,,0
10,1961,1961-09-24,3,26.084,NYT,,DEN,W 35-28,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,6,246,41.00,0
11,1961,1961-10-01,4,26.091,NYT,,BOS,W 37-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,2,79,39.50,0
12,1961,1961-10-15,5,26.105,NYT,,SDG,L 10-25,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,,,,,,,0,0,7,333,47.57,0
13,1961,1961-10-22,6,26.112,NYT,@,DEN,L 10-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,5,231,46.20,0
14,1961,1961-10-29,7,26.119,NYT,@,OAK,W 14-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,6,248,41.33,0
15,1961,1961-11-05,8,26.126,NYT,@,SDG,L 13-48,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,6,250,41.67,0
16,1961,1961-11-11,9,26.132,NYT,,OAK,W 23-12,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,6,275,45.83,0
17,1961,1961-11-19,10,26.140,NYT,@,HOU,L 13-49,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,5,247,49.40,0
18,1961,1961-11-23,11,26.144,NYT,,BUF,W 21-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,7,264,37.71,0
19,1961,1961-12-03,12,26.154,NYT,,DTX,W 28-7,0,0,,0,1,32,32.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,6,229,38.17,0
20,1961,1961-12-10,13,26.161,NYT,,HOU,L 21-48,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,,,,,,,0,0,6,253,42.17,0
21,1961,1961-12-17,14,26.168,NYT,@,DTX,L 24-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,45,15.00,0,,,,,,,0,0,4,169,42.25,0
22,1962,1962-09-09,1,27.069,NYT,@,OAK,W 28-17,3,1,0.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0,0,,0
23,1962,1962-09-16,2,27.076,NYT,@,SDG,L 14-40,0,0,,0,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0,0,,0
24,1962,1962-09-22,3,27.082,NYT,@,BUF,W 17-6,3,10,3.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,0,0,,0
25,1962,1962-09-30,4,27.090,NYT,,DEN,L 10-32,4,12,3.00,0,5,16,3.20,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,1,46,46.00,0
26,1962,1962-10-06,5,27.096,NYT,,BOS,L 14-43,0,0,,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,7,254,36.29,0
27,1962,1962-10-14,6,27.104,NYT,@,HOU,L 17-56,7,39,5.57,0,2,3,1.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,4,146,36.50,0
28,1962,1962-10-21,7,27.111,NYT,@,DTX,L 17-20,5,24,4.80,0,3,16,5.33,0,0,0,,0,0,0,,0,0,,,1,14,14.00,0,,,,,,,0,0,3,125,41.67,0
29,1962,1962-10-28,8,27.118,NYT,,SDG,W 23-3,1,0,0.00,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,2,75,37.50,0
30,1962,1962-11-04,9,27.125,NYT,,OAK,W 31-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,3,128,42.67,0
31,1962,1962-11-11,10,27.132,NYT,,DTX,L 31-52,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,2,87,43.50,0
32,1962,1962-11-22,11,27.143,NYT,@,DEN,W 46-45,2,26,13.00,0,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,5,228,45.60,0
33,1962,1962-11-30,12,27.151,NYT,@,BOS,L 17-24,1,2,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,8,303,37.88,0
34,1962,1962-12-08,13,27.159,NYT,,BUF,L 3-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,9,390,43.33,0
35,1962,1962-12-15,14,27.166,NYT,,HOU,L 10-44,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,6,216,36.00,0
36,1963,1963-09-08,1,28.068,NYJ,@,BOS,L 14-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,5,222,44.40,0
