ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1993,1993-09-05,1,23.181,DEN,@,NYJ,W 26-20,,0,0,,0,2,2,100.0,4,4,100.0,0,14,0,0,,0
2,1993,1993-09-12,2,23.188,DEN,,SDG,W 34-17,,0,0,,0,4,4,100.0,2,2,100.0,0,10,0,0,,0
3,1993,1993-09-20,3,23.196,DEN,@,KAN,L 7-15,,0,0,,0,1,1,100.0,,,,0,1,,,,
4,1993,1993-10-03,4,23.209,DEN,,IND,W 35-13,,0,0,,0,5,5,100.0,,1,0.0,0,5,0,0,,0
5,1993,1993-10-10,5,23.216,DEN,@,GNB,L 27-30,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
6,1993,1993-10-18,6,23.224,DEN,,RAI,L 20-23,,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
7,1993,1993-10-31,7,23.237,DEN,,SEA,W 28-17,,0,0,,0,4,4,100.0,,1,0.0,0,4,0,0,,0
8,1993,1993-11-07,8,23.244,DEN,@,CLE,W 29-14,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
9,1993,1993-11-14,9,23.251,DEN,,MIN,L 23-26,,0,0,,0,2,3,66.7,1,2,50.0,0,5,0,0,,0
10,1993,1993-11-21,10,23.258,DEN,,PIT,W 37-13,,0,0,,0,4,4,100.0,3,3,100.0,0,13,0,0,,0
11,1993,1993-11-28,11,23.265,DEN,@,SEA,W 17-9,,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
12,1993,1993-12-05,12,23.272,DEN,@,SDG,L 10-13,,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
13,1993,1993-12-12,13,23.279,DEN,,KAN,W 27-21,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
14,1993,1993-12-18,14,23.285,DEN,@,CHI,W 13-3,,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,,0
15,1993,1993-12-26,15,23.293,DEN,,TAM,L 10-17,,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
16,1993,1994-01-02,16,23.300,DEN,@,RAI,L 30-33,,0,0,,0,3,3,100.0,3,4,75.0,0,12,0,0,,0
17,1994,1994-09-04,1,24.180,DEN,,SDG,L 34-37,,0,0,,0,4,4,100.0,2,2,100.0,0,10,0,0,,0
18,1994,1994-09-11,2,24.187,DEN,@,NYJ,L 22-25,,0,0,,0,1,1,100.0,3,3,100.0,0,10,0,0,,0
19,1994,1994-09-18,3,24.194,DEN,,RAI,L 16-48,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
20,1994,1994-09-26,4,24.202,DEN,@,BUF,L 20-27,,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
21,1994,1994-10-09,5,24.215,DEN,@,SEA,W 16-9,,0,0,,0,1,1,100.0,3,4,75.0,0,10,0,0,,0
22,1994,1994-10-17,6,24.223,DEN,,KAN,L 28-31,,0,0,,0,4,4,100.0,,,,0,4,,,,
23,1994,1994-10-23,7,24.229,DEN,@,SDG,W 20-15,,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
24,1994,1994-10-30,8,24.236,DEN,,CLE,W 26-14,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
25,1994,1994-11-06,9,24.243,DEN,@,RAM,L 21-27,,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,,0
26,1994,1994-11-13,10,24.250,DEN,,SEA,W 17-10,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
27,1994,1994-11-20,11,24.257,DEN,,ATL,W 32-28,,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
28,1994,1994-11-27,12,24.264,DEN,,CIN,W 15-13,,0,0,,0,,,,3,5,60.0,0,9,0,0,,0
29,1994,1994-12-04,13,24.271,DEN,@,KAN,W 20-17,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
30,1994,1994-12-11,14,24.278,DEN,@,RAI,L 13-23,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
31,1994,1994-12-17,15,24.284,DEN,@,SFO,L 19-42,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
32,1994,1994-12-24,16,24.291,DEN,,NOR,L 28-30,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
33,1995,1995-09-03,1,25.179,DEN,,BUF,W 22-7,,0,0,,0,1,1,100.0,5,6,83.3,0,16,0,0,,0
34,1995,1995-09-10,2,25.186,DEN,@,DAL,L 21-31,,0,0,,0,3,3,100.0,,,,0,3,,,,
35,1995,1995-09-17,3,25.193,DEN,,WAS,W 38-31,,0,0,,0,5,5,100.0,1,1,100.0,0,8,0,0,,0
36,1995,1995-09-24,4,25.200,DEN,@,SDG,L 6-17,,0,0,,0,,,,2,2,100.0,0,6,0,0,,0
37,1995,1995-10-01,5,25.207,DEN,@,SEA,L 10-27,,0,0,,0,1,1,100.0,1,3,33.3,0,4,0,0,,0
38,1995,1995-10-08,6,25.214,DEN,@,NWE,W 37-3,,0,0,,0,4,4,100.0,3,3,100.0,0,13,0,0,,0
39,1995,1995-10-16,7,25.222,DEN,,OAK,W 27-0,,0,0,,0,1,1,100.0,4,4,100.0,0,13,0,0,,0
40,1995,1995-10-22,8,25.228,DEN,,KAN,L 7-21,,0,0,,0,1,1,100.0,,,,0,1,1,17,17.00,0
41,1995,1995-11-05,9,25.242,DEN,,ARI,W 38-6,,0,0,,0,5,5,100.0,1,1,100.0,0,8,0,0,,0
42,1995,1995-11-12,10,25.249,DEN,@,PHI,L 13-31,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
43,1995,1995-11-19,11,25.256,DEN,,SDG,W 30-27,,0,0,,0,3,3,100.0,3,4,75.0,0,12,0,0,,0
44,1995,1995-11-26,12,25.263,DEN,@,HOU,L 33-42,,0,0,,0,3,3,100.0,2,3,66.7,0,9,0,0,,0
45,1995,1995-12-03,13,25.270,DEN,,JAX,W 31-23,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0,0,,0
46,1995,1995-12-10,14,25.277,DEN,,SEA,L 27-31,,0,0,,0,3,3,100.0,2,3,66.7,0,9,0,0,,0
47,1995,1995-12-17,15,25.284,DEN,@,KAN,L 17-20,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
48,1995,1995-12-24,16,25.291,DEN,@,OAK,W 31-28,,0,0,,0,2,2,100.0,3,4,75.0,0,11,0,0,,0
49,1996,1996-09-01,1,26.177,DEN,,NYJ,W 31-6,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0,0,,0
50,1996,1996-09-08,2,26.184,DEN,@,SEA,W 30-20,,0,0,,0,3,3,100.0,3,3,100.0,0,12,0,0,,0
51,1996,1996-09-15,3,26.191,DEN,,TAM,W 27-23,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
52,1996,1996-09-22,4,26.198,DEN,@,KAN,L 14-17,,0,0,,0,2,2,100.0,,2,0.0,0,2,0,0,,0
53,1996,1996-09-29,5,26.205,DEN,@,CIN,W 14-10,,0,0,,0,2,2,100.0,,,,0,2,,,,
54,1996,1996-10-06,6,26.212,DEN,,SDG,W 28-17,,0,0,,0,4,4,100.0,,,,0,4,,,,
55,1996,1996-10-20,7,26.226,DEN,,BAL,W 45-34,,0,0,,0,6,6,100.0,1,1,100.0,0,9,0,0,,0
56,1996,1996-10-27,8,26.233,DEN,,KAN,W 34-7,,0,0,,0,4,4,100.0,2,3,66.7,0,10,0,0,,0
57,1996,1996-11-04,9,26.241,DEN,@,OAK,W 22-21,,0,0,,0,1,1,100.0,3,3,100.0,0,10,0,0,,0
