ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1964,1964-09-13,1,23.111,BAL,@,MIN,L 24-34,2,10,5.00,0,1,0,0.00,0,0,0,,0,0,0,0,0,,0
2,1964,1964-09-20,2,23.118,BAL,@,GNB,W 21-20,3,7,2.33,0,0,0,,0,1,27,27.00,0,0,0,0,0,,0
3,1964,1964-09-27,3,23.125,BAL,,CHI,W 52-0,6,29,4.83,1,1,14,14.00,0,1,71,71.00,0,1,6,0,0,,0
4,1964,1964-10-04,4,23.132,BAL,,RAM,W 35-20,9,52,5.78,0,1,2,2.00,0,2,60,30.00,0,0,0,0,0,,0
5,1964,1964-10-12,5,23.140,BAL,,STL,W 47-27,5,26,5.20,1,1,18,18.00,0,1,22,22.00,0,1,6,0,0,,0
6,1964,1964-10-18,6,23.146,BAL,,GNB,W 24-21,11,55,5.00,1,1,-1,-1.00,0,0,0,,0,1,6,0,0,,0
7,1964,1964-10-25,7,23.153,BAL,@,DET,W 34-0,9,47,5.22,0,2,82,41.00,0,1,20,20.00,0,0,0,0,0,,0
8,1964,1964-11-01,8,23.160,BAL,,SFO,W 37-7,12,80,6.67,0,2,21,10.50,0,0,0,,0,0,0,0,0,,0
9,1964,1964-11-08,9,23.167,BAL,@,CHI,W 40-24,14,126,9.00,0,1,18,18.00,0,0,0,,0,0,0,0,0,,0
10,1964,1964-11-15,10,23.174,BAL,,MIN,W 17-14,5,21,4.20,0,0,0,,0,2,60,30.00,0,0,0,0,0,,0
11,1964,1964-11-22,11,23.181,BAL,@,RAM,W 24-7,9,5,0.56,1,0,0,,0,0,0,,0,1,6,0,0,,0
12,1964,1964-11-29,12,23.188,BAL,@,SFO,W 14-3,6,20,3.33,0,1,10,10.00,0,1,35,35.00,0,0,0,0,0,,0
13,1964,1964-12-06,13,23.195,BAL,,DET,L 14-31,7,36,5.14,0,0,0,,0,2,49,24.50,0,0,0,0,0,,0
14,1964,1964-12-13,14,23.202,BAL,,WAS,W 45-17,2,-1,-0.50,0,0,0,,0,2,41,20.50,0,0,0,0,0,,0
15,1965,1965-09-19,1,24.117,BAL,,MIN,W 35-16,6,22,3.67,0,1,7,7.00,0,0,0,,0,0,0,0,0,,0
16,1965,1965-09-26,2,24.124,BAL,@,GNB,L 17-20,1,0,0.00,0,1,7,7.00,0,2,47,23.50,0,0,0,0,0,,0
17,1965,1965-10-03,3,24.131,BAL,,SFO,W 27-24,12,38,3.17,0,2,20,10.00,0,1,20,20.00,0,0,0,0,0,,0
18,1965,1965-10-10,4,24.138,BAL,,DET,W 31-7,3,4,1.33,0,2,15,7.50,0,0,0,,0,0,0,0,0,,0
19,1965,1965-10-17,5,24.145,BAL,@,WAS,W 38-7,3,12,4.00,1,2,10,5.00,0,0,0,,0,1,6,0,0,,0
20,1965,1965-10-24,6,24.152,BAL,,RAM,W 35-20,2,11,5.50,0,0,0,,0,1,30,30.00,0,0,0,0,0,,0
21,1965,1965-10-31,7,24.159,BAL,@,SFO,W 34-28,6,38,6.33,0,2,40,20.00,1,0,0,,0,1,6,0,0,,0
22,1965,1965-11-07,8,24.166,BAL,@,CHI,W 26-21,9,50,5.56,0,3,83,27.67,1,2,54,27.00,0,1,6,0,0,,0
23,1965,1965-11-14,9,24.173,BAL,@,MIN,W 41-21,7,84,12.00,0,1,0,0.00,0,1,18,18.00,0,0,0,0,0,,0
24,1965,1965-11-21,10,24.180,BAL,,PHI,W 34-24,6,24,4.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
25,1965,1965-11-25,11,24.184,BAL,@,DET,T 24-24,1,5,5.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
26,1965,1965-12-05,12,24.194,BAL,,CHI,L 0-13,6,2,0.33,0,1,2,2.00,0,2,42,21.00,0,0,0,0,0,,0
27,1965,1965-12-18,14,24.207,BAL,@,RAM,W 20-17,1,6,6.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
28,1966,1966-09-10,1,25.108,BAL,@,GNB,L 3-24,7,25,3.57,0,0,0,,0,0,0,,0,0,0,0,0,,0
29,1966,1966-09-18,2,25.116,BAL,@,MIN,W 38-23,6,37,6.17,0,0,0,,0,3,54,18.00,0,0,0,0,0,,0
30,1966,1966-09-25,3,25.123,BAL,,SFO,W 36-14,18,110,6.11,0,1,19,19.00,0,0,0,,0,0,0,0,0,,0
31,1966,1966-10-09,4,25.137,BAL,@,CHI,L 17-27,11,45,4.09,0,4,6,1.50,0,0,0,,0,0,0,0,0,,0
32,1966,1966-10-16,5,25.144,BAL,,DET,W 45-14,16,45,2.81,1,2,6,3.00,0,1,25,25.00,0,1,6,0,0,,0
33,1966,1966-10-23,6,25.151,BAL,,MIN,W 20-17,8,57,7.13,0,0,0,,0,1,15,15.00,0,0,0,0,0,,0
34,1966,1966-10-30,7,25.158,BAL,@,RAM,W 17-3,7,6,0.86,0,1,0,0.00,0,0,0,,0,0,0,0,0,,0
35,1966,1966-11-06,8,25.165,BAL,,WAS,W 37-10,18,57,3.17,0,1,7,7.00,0,0,0,,0,0,0,0,0,,0
36,1966,1966-11-13,9,25.172,BAL,@,ATL,W 19-7,14,49,3.50,0,0,0,,0,1,24,24.00,0,0,0,0,0,,0
37,1966,1966-11-20,10,25.179,BAL,@,DET,L 14-20,9,23,2.56,0,1,6,6.00,0,2,60,30.00,0,0,0,0,0,,0
38,1966,1966-11-27,11,25.186,BAL,,RAM,L 7-23,5,7,1.40,0,0,0,,0,2,36,18.00,0,0,0,0,0,,0
39,1966,1966-12-04,12,25.193,BAL,,CHI,W 21-16,10,17,1.70,1,1,19,19.00,0,0,0,,0,1,6,0,0,,0
40,1966,1966-12-10,13,25.199,BAL,,GNB,L 10-14,10,35,3.50,1,1,18,18.00,0,0,0,,0,1,6,0,0,,0
41,1966,1966-12-18,14,25.207,BAL,@,SFO,W 30-14,4,11,2.75,0,0,0,,0,0,0,,0,0,0,0,0,,0
42,1967,1967-09-17,1,26.115,BAL,,ATL,W 38-31,8,5,0.63,1,4,43,10.75,0,2,64,32.00,0,1,6,0,0,,0
43,1967,1967-09-24,2,26.122,BAL,@,PHI,W 38-6,13,30,2.31,1,2,4,2.00,0,0,0,,0,1,6,0,0,,0
44,1967,1967-10-08,4,26.136,BAL,@,CHI,W 24-3,0,0,,0,0,0,,0,1,19,19.00,0,0,0,0,0,,0
45,1967,1967-10-15,5,26.143,BAL,,RAM,T 24-24,6,40,6.67,0,3,48,16.00,0,2,66,33.00,0,0,0,0,0,,0
46,1967,1967-10-22,6,26.150,BAL,@,MIN,T 20-20,3,9,3.00,0,1,5,5.00,0,1,25,25.00,0,0,0,0,0,,0
47,1967,1967-10-29,7,26.157,BAL,@,WAS,W 17-13,10,18,1.80,0,1,10,10.00,0,1,29,29.00,0,0,0,0,0,,0
48,1967,1967-11-05,8,26.164,BAL,,GNB,W 13-10,10,60,6.00,0,2,16,8.00,0,0,0,,0,0,0,0,0,,0
49,1967,1967-11-12,9,26.171,BAL,@,ATL,W 49-7,17,45,2.65,1,2,17,8.50,0,0,0,,0,1,6,0,0,,0
50,1967,1967-11-19,10,26.178,BAL,,DET,W 41-7,15,50,3.33,1,1,9,9.00,0,0,0,,0,1,6,0,0,,0
51,1967,1967-11-26,11,26.185,BAL,@,SFO,W 26-9,17,77,4.53,1,2,14,7.00,0,0,0,,0,1,6,0,0,,0
52,1967,1967-12-03,12,26.192,BAL,,DAL,W 23-17,8,4,0.50,0,2,11,5.50,0,0,0,,0,0,0,0,0,,0
53,1967,1967-12-10,13,26.199,BAL,,NOR,W 30-10,13,59,4.54,1,0,0,,0,0,0,,0,1,6,0,0,,0
54,1967,1967-12-17,14,26.206,BAL,@,RAM,L 10-34,13,39,3.00,0,2,12,6.00,0,1,9,9.00,0,0,0,0,0,,0
55,1968,1968-09-22,2,27.120,NOR,,WAS,W 37-17,4,5,1.25,0,1,12,12.00,0,0,0,,0,0,0,0,0,,0
56,1968,1968-09-29,3,27.127,NOR,,STL,L 20-21,5,10,2.00,0,3,17,5.67,0,0,0,,0,0,0,0,0,,0
57,1968,1968-10-06,4,27.134,NOR,@,NYG,L 21-38,3,8,2.67,0,4,34,8.50,1,0,0,,0,1,6,0,0,,0
58,1968,1968-10-13,5,27.141,NOR,,MIN,W 20-17,9,39,4.33,0,1,2,2.00,0,0,0,,0,0,0,0,0,,0
59,1968,1968-10-20,6,27.148,NOR,@,PIT,W 16-12,7,20,2.86,0,0,0,,0,0,0,,0,0,0,0,0,,0
60,1968,1968-10-27,7,27.155,NOR,@,STL,L 17-31,15,73,4.87,0,4,68,17.00,1,0,0,,0,1,6,0,0,,0
61,1968,1968-11-03,8,27.162,NOR,,DAL,L 3-17,14,23,1.64,0,3,27,9.00,0,0,0,,0,0,0,0,0,,0
62,1968,1968-11-10,9,27.169,NOR,@,CLE,L 17-35,7,23,3.29,0,3,45,15.00,0,0,0,,0,0,0,0,0,,0
63,1968,1968-11-17,10,27.176,NOR,@,GNB,L 7-29,4,2,0.50,0,0,0,,0,0,0,,0,0,0,1,36,36.00,0
64,1968,1968-11-24,11,27.183,NOR,@,DET,T 20-20,12,44,3.67,0,0,0,,0,0,0,,0,0,0,0,0,,0
65,1968,1968-12-01,12,27.190,NOR,,CHI,L 17-23,9,55,6.11,0,2,26,13.00,0,0,0,,0,0,0,0,0,,0
66,1968,1968-12-08,13,27.197,NOR,@,PHI,L 17-29,6,18,3.00,0,2,3,1.50,0,0,0,,0,0,0,0,0,,0
67,1968,1968-12-15,14,27.204,NOR,,PIT,W 24-14,9,24,2.67,0,3,38,12.67,1,0,0,,0,1,6,0,0,,0
68,1969,1969-09-21,1,28.119,NOR,,WAS,L 20-26,1,-1,-1.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
69,1969,1969-10-05,3,28.133,NOR,@,RAM,L 17-36,1,2,2.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
70,1969,1969-10-19,5,28.147,NOR,,BAL,L 10-30,3,10,3.33,0,0,0,,0,0,0,,0,0,0,0,0,,0
