ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2003,2003-09-07,1,22.058,HOU,@,MIA,W 21-20,*,9,6,76,12.67,0,66.7%,8.44,0,0,,0,,0,0,0.0,,
2,2003,2003-09-14,2,22.065,HOU,@,NOR,L 10-31,*,10,5,71,14.20,0,50.0%,7.10,0,0,,0,,0,0,0.0,,
3,2003,2003-09-21,3,22.072,HOU,,KAN,L 14-42,*,11,7,102,14.57,2,63.6%,9.27,0,0,,0,,2,12,0.0,,
4,2003,2003-09-28,4,22.079,HOU,,JAX,W 24-20,*,11,8,97,12.13,0,72.7%,8.82,0,0,,0,,0,0,0.0,,
5,2003,2003-10-12,5,22.093,HOU,@,TEN,L 17-38,*,4,2,49,24.50,0,50.0%,12.25,0,0,,0,,0,0,0.0,,
6,2003,2003-10-19,6,22.100,HOU,,NYJ,L 14-19,*,6,3,71,23.67,0,50.0%,11.83,1,10,10.00,0,,0,0,0.0,,
7,2003,2003-10-26,7,22.107,HOU,@,IND,L 21-30,*,5,4,29,7.25,0,80.0%,5.80,0,0,,0,,0,0,0.0,,
8,2003,2003-11-02,8,22.114,HOU,,CAR,W 14-10,*,5,4,64,16.00,0,80.0%,12.80,0,0,,0,,0,0,0.0,,
9,2003,2003-11-09,9,22.121,HOU,@,CIN,L 27-34,*,5,3,30,10.00,0,60.0%,6.00,1,11,11.00,0,,0,0,0.0,,
10,2003,2003-11-16,10,22.128,HOU,@,BUF,W 12-10,*,7,4,122,30.50,1,57.1%,17.43,1,-34,-34.00,0,,1,6,0.0,,
11,2003,2003-11-23,11,22.135,HOU,,NWE,L 20-23,*,13,4,37,9.25,1,30.8%,2.85,2,3,1.50,0,,1,6,0.0,,
12,2003,2003-11-30,12,22.142,HOU,,ATL,W 17-13,*,5,1,30,30.00,0,20.0%,6.00,0,0,,0,,0,0,0.0,,
13,2003,2003-12-07,13,22.149,HOU,@,JAX,L 0-27,*,2,1,11,11.00,0,50.0%,5.50,0,0,,0,,0,0,0.0,,
14,2003,2003-12-14,14,22.156,HOU,@,TAM,L 3-16,*,8,4,28,7.00,0,50.0%,3.50,0,0,,0,,0,0,0.0,,
15,2003,2003-12-21,15,22.163,HOU,,TEN,L 24-27,*,11,5,108,21.60,0,45.5%,9.82,0,0,,0,,0,0,0.0,,
16,2003,2003-12-28,16,22.170,HOU,,IND,L 17-20,*,7,5,51,10.20,0,71.4%,7.29,0,0,,0,,0,0,0.0,,
17,2004,2004-09-12,1,23.063,HOU,,SDG,L 20-27,*,8,4,58,14.50,0,50.0%,7.25,0,0,,0,,0,0,0.0,,
18,2004,2004-09-19,2,23.070,HOU,@,DET,L 16-28,*,9,3,86,28.67,1,33.3%,9.56,1,1,1.00,0,,1,6,0.0,,
19,2004,2004-09-26,3,23.077,HOU,@,KAN,W 24-21,*,7,4,96,24.00,0,57.1%,13.71,0,0,,0,,0,0,0.0,,
20,2004,2004-10-03,4,23.084,HOU,,OAK,W 30-17,*,10,6,115,19.17,1,60.0%,11.50,0,0,,0,,1,6,0.0,,
21,2004,2004-10-10,5,23.091,HOU,,MIN,L 28-34,*,17,12,170,14.17,2,70.6%,10.00,0,0,,0,,2,12,0.0,,
22,2004,2004-10-17,6,23.098,HOU,@,TEN,W 20-10,*,9,4,66,16.50,0,44.4%,7.33,0,0,,0,,0,0,0.0,,
23,2004,2004-10-31,7,23.112,HOU,,JAX,W 20-6,*,12,9,74,8.22,0,75.0%,6.17,0,0,,0,,0,0,0.0,,
24,2004,2004-11-07,8,23.119,HOU,@,DEN,L 13-31,*,9,3,28,9.33,0,33.3%,3.11,0,0,,0,,0,0,0.0,,
25,2004,2004-11-14,9,23.126,HOU,@,IND,L 14-49,*,10,6,59,9.83,0,60.0%,5.90,1,14,14.00,0,,0,0,0.0,,
26,2004,2004-11-21,10,23.133,HOU,,GNB,L 13-16,*,9,6,107,17.83,0,66.7%,11.89,1,-9,-9.00,0,,0,0,0.0,,
27,2004,2004-11-28,11,23.140,HOU,,TEN,W 31-21,*,6,4,34,8.50,1,66.7%,5.67,0,0,,0,,1,6,0.0,,
28,2004,2004-12-05,12,23.147,HOU,@,NYJ,L 7-29,*,13,7,125,17.86,0,53.8%,9.62,1,6,6.00,0,,0,0,0.0,,
29,2004,2004-12-12,13,23.154,HOU,,IND,L 14-23,*,5,3,34,11.33,0,60.0%,6.80,0,0,,0,,0,0,0.0,,
30,2004,2004-12-19,14,23.161,HOU,@,CHI,W 24-5,*,5,2,31,15.50,0,40.0%,6.20,0,0,,0,,0,0,0.0,,
31,2004,2004-12-26,15,23.168,HOU,@,JAX,W 21-0,*,6,4,46,11.50,1,66.7%,7.67,0,0,,0,,1,6,0.0,,
32,2004,2005-01-02,16,23.175,HOU,,CLE,L 14-22,*,3,2,13,6.50,0,66.7%,4.33,0,0,,0,,0,0,0.0,,
33,2005,2005-09-11,1,24.062,HOU,@,BUF,L 7-22,*,7,3,18,6.00,0,42.9%,2.57,2,7,3.50,0,,0,0,0.0,,
34,2005,2005-09-18,2,24.069,HOU,,PIT,L 7-27,*,7,4,20,5.00,0,57.1%,2.86,0,0,,0,,0,0,0.0,,
35,2005,2005-10-02,3,24.083,HOU,@,CIN,L 10-16,*,6,3,38,12.67,0,50.0%,6.33,0,0,,0,,0,0,0.0,,
36,2005,2005-10-09,4,24.090,HOU,,TEN,L 20-34,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
37,2005,2005-11-06,8,24.118,HOU,@,JAX,L 14-21,*,11,9,91,10.11,0,81.8%,8.27,0,0,,0,,0,0,0.0,,
38,2005,2005-11-13,9,24.125,HOU,@,IND,L 17-31,*,8,4,42,10.50,0,50.0%,5.25,1,-2,-2.00,0,,0,0,0.0,,
39,2005,2005-11-20,10,24.132,HOU,,KAN,L 17-45,*,10,6,50,8.33,0,60.0%,5.00,1,5,5.00,0,,0,0,0.0,,
40,2005,2005-11-27,11,24.139,HOU,,STL,L 27-33,*,17,12,159,13.25,1,70.6%,9.35,0,0,,0,,1,6,0.0,,
41,2005,2005-12-04,12,24.146,HOU,@,BAL,L 15-16,*,13,4,70,17.50,0,30.8%,5.38,0,0,,0,,0,0,0.0,,
42,2005,2005-12-11,13,24.153,HOU,@,TEN,L 10-13,*,8,3,27,9.00,0,37.5%,3.38,0,0,,0,,0,0,0.0,,
43,2005,2005-12-18,14,24.160,HOU,,ARI,W 30-19,*,11,7,51,7.29,0,63.6%,4.64,1,-2,-2.00,0,,0,0,0.0,,
44,2005,2005-12-24,15,24.166,HOU,,JAX,L 20-38,*,12,7,119,17.00,1,58.3%,9.92,1,2,2.00,0,,1,6,0.0,,
45,2005,2006-01-01,16,24.174,HOU,@,SFO,L 17-20,*,3,1,3,3.00,0,33.3%,1.00,0,0,,0,,0,0,0.0,,
46,2006,2006-09-10,1,25.061,HOU,,PHI,L 10-24,*,7,6,101,16.83,0,85.7%,14.43,0,0,,0,,0,0,0.0,,
47,2006,2006-09-17,2,25.068,HOU,@,IND,L 24-43,*,5,4,56,14.00,1,80.0%,11.20,0,0,,0,,1,6,0.0,,
48,2006,2006-09-24,3,25.075,HOU,,WAS,L 15-31,*,13,11,152,13.82,0,84.6%,11.69,0,0,,0,,0,0,0.0,,
