ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2001,2001-09-09,1,22.285,PHI,,STL,L 17-20,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
2,2001,2001-09-30,3,22.306,PHI,,DAL,W 40-18,,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
3,2001,2001-10-07,4,22.313,PHI,,ARI,L 20-21,,1,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
4,2001,2001-10-22,5,22.328,PHI,@,NYG,W 10-9,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
5,2001,2001-10-28,6,22.334,PHI,,OAK,L 10-20,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
6,2001,2001-11-04,7,22.341,PHI,@,ARI,W 21-7,,5,4,62,15.50,0,80.0%,12.40,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
7,2001,2001-11-11,8,22.348,PHI,,MIN,W 48-17,,3,3,38,12.67,0,100.0%,12.67,1,12,12.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
8,2001,2001-11-18,9,22.355,PHI,@,DAL,W 36-3,,4,2,15,7.50,0,50.0%,3.75,1,-16,-16.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
9,2001,2001-11-25,10,22.362,PHI,,WAS,L 3-13,,1,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
10,2001,2001-11-29,11,23.001,PHI,@,KAN,W 23-10,,5,3,60,20.00,0,60.0%,12.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
11,2001,2001-12-09,12,23.011,PHI,,SDG,W 24-14,,5,1,5,5.00,0,20.0%,1.00,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
12,2001,2001-12-16,13,23.018,PHI,@,WAS,W 20-6,,4,2,27,13.50,1,50.0%,6.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6
13,2001,2001-12-22,14,23.024,PHI,@,SFO,L 3-13,,6,2,31,15.50,0,33.3%,5.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
14,2001,2001-12-30,15,23.032,PHI,,NYG,W 24-21,,4,2,30,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
15,2001,2002-01-06,16,23.039,PHI,@,TAM,W 17-13,*,2,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
16,2002,2002-09-08,1,23.284,PHI,@,TEN,L 24-27,,1,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
17,2002,2002-09-16,2,23.292,PHI,@,WAS,W 37-7,,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
18,2002,2002-09-22,3,23.298,PHI,,DAL,W 44-13,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
19,2002,2002-09-29,4,23.305,PHI,,HOU,W 35-17,,0,0,0,,0,0.0%,,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
20,2002,2002-10-06,5,23.312,PHI,@,JAX,L 25-28,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
21,2002,2002-10-20,6,23.326,PHI,,TAM,W 20-10,,0,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
22,2002,2002-10-28,7,23.334,PHI,,NYG,W 17-3,,1,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
23,2002,2002-11-03,8,23.340,PHI,@,CHI,W 19-13,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
24,2002,2002-11-10,9,23.347,PHI,,IND,L 13-35,,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
25,2002,2002-11-17,10,23.354,PHI,,ARI,W 38-14,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
26,2002,2002-11-25,11,23.362,PHI,@,SFO,W 38-17,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
27,2002,2002-12-01,12,24.003,PHI,,STL,W 10-3,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
28,2002,2002-12-08,13,24.010,PHI,@,SEA,W 27-20,,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,
29,2002,2002-12-15,14,24.017,PHI,,WAS,W 34-21,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
30,2002,2002-12-21,15,24.023,PHI,@,DAL,W 27-3,,6,2,17,8.50,0,33.3%,2.83,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
