ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1973,1973-10-21,6,24.202,NOR,@,SFO,L 0-40,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,0,,0
2,1973,1973-12-02,12,24.244,NOR,@,GNB,L 10-30,,4,12,33.33,37,0,1,8.0,0,0,3.08,-0.67,0,0,,0,0,0,0,0,,0
3,1973,1973-12-09,13,24.251,NOR,,SFO,W 16-10,,8,19,42.11,118,0,0,63.0,0,0,6.21,6.21,6,11,1.83,0,0,0,0,0,,0
4,1973,1973-12-16,14,24.258,NOR,@,ATL,L 10-14,*,6,21,28.57,90,1,2,21.2,0,0,4.29,0.95,3,7,2.33,0,0,0,0,0,,0
5,1974,1974-10-13,5,25.194,NOR,@,DEN,L 17-33,,5,9,55.56,42,0,1,28.2,0,0,4.67,-0.33,0,0,,0,0,0,0,0,,0
6,1974,1974-10-20,6,25.201,NOR,@,ATL,W 13-3,*,6,16,37.50,78,1,1,48.4,0,0,4.88,3.31,1,1,1.00,0,0,0,0,0,,0
7,1974,1974-11-25,11,25.237,NOR,,PIT,L 7-28,,8,22,36.36,108,1,0,68.0,0,0,4.91,5.82,0,0,,0,0,0,0,0,,0
8,1974,1974-12-01,12,25.243,NOR,@,MIN,L 9-29,,1,3,33.33,10,0,0,43.7,0,0,3.33,3.33,0,0,,0,0,0,0,0,,0
9,1974,1974-12-15,14,25.257,NOR,@,SFO,L 21-35,,11,21,52.38,128,2,2,63.3,0,0,6.10,3.71,0,0,,0,0,0,0,0,,0
10,1975,1975-09-28,2,26.179,NOR,,CIN,L 0-21,,8,17,47.06,96,0,1,40.3,0,0,5.65,3.00,0,0,,0,0,0,0,0,,0
11,1976,1976-09-12,1,27.163,NOR,,MIN,L 9-40,*,10,26,38.46,109,0,0,51.6,0,0,4.19,4.19,0,0,,0,0,0,0,0,,0
12,1976,1976-09-19,2,27.170,NOR,,DAL,L 6-24,*,12,21,57.14,76,0,1,44.9,0,0,3.62,1.48,1,8,8.00,0,0,0,0,0,,0
13,1976,1976-09-26,3,27.177,NOR,@,KAN,W 27-17,*,12,21,57.14,126,1,2,51.0,0,0,6.00,2.67,1,13,13.00,0,0,0,0,0,,0
14,1976,1976-10-03,4,27.184,NOR,,HOU,L 26-31,*,17,34,50.00,228,1,1,69.2,0,0,6.71,5.97,4,0,0.00,0,0,0,0,0,,0
15,1976,1976-10-10,5,27.191,NOR,,ATL,W 30-0,*,19,31,61.29,182,1,1,74.9,0,0,5.87,5.06,4,26,6.50,1,1,6,0,0,,0
16,1976,1976-10-17,6,27.198,NOR,@,SFO,L 3-33,*,2,8,25.00,10,0,1,0.0,0,0,1.25,-4.38,0,0,,0,0,0,0,0,,0
17,1976,1976-10-24,7,27.205,NOR,,RAM,L 10-16,*,9,17,52.94,82,0,0,66.3,0,0,4.82,4.82,0,0,,0,0,0,0,0,,0
18,1976,1976-11-21,11,27.233,NOR,@,SEA,W 51-27,,2,3,66.67,34,0,0,104.9,0,0,11.33,11.33,0,0,,0,0,0,0,0,,0
19,1976,1976-12-05,13,27.247,NOR,@,NWE,L 6-27,,8,11,72.73,75,0,0,91.1,0,0,6.82,6.82,0,0,,0,0,0,0,0,,0
20,1976,1976-12-12,14,27.254,NOR,,SFO,L 7-27,*,12,18,66.67,143,1,0,109.3,0,0,7.94,9.06,2,1,0.50,0,0,0,0,0,,0
