ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1978,1978-09-03,1,23.105,SEA,,SDG,L 20-24,,,,,,,,,,,,,,,,
2,1978,1978-09-10,2,23.112,SEA,@,PIT,L 10-21,4,6,1.50,0,1,5,5.00,0,2,39,19.50,0,0,0,,0
3,1978,1978-09-17,3,23.119,SEA,@,NYJ,W 24-17,0,0,,0,0,0,,0,3,73,24.33,0,0,0,,0
4,1978,1978-09-24,4,23.126,SEA,,DET,W 28-16,1,0,0.00,0,0,0,,0,2,57,28.50,0,2,14,7.00,0
5,1978,1978-10-01,5,23.133,SEA,@,DEN,L 7-28,3,13,4.33,0,3,20,6.67,0,0,0,,0,2,12,6.00,0
6,1978,1978-10-08,6,23.140,SEA,,MIN,W 29-28,0,0,,0,0,0,,0,4,118,29.50,0,4,39,9.75,0
7,1978,1978-10-15,7,23.147,SEA,@,GNB,L 28-45,0,0,,0,0,0,,0,5,108,21.60,0,3,10,3.33,0
8,1978,1978-10-22,8,23.154,SEA,,OAK,W 27-7,0,0,,0,0,0,,0,1,16,16.00,0,2,18,9.00,0
9,1978,1978-10-29,9,23.161,SEA,,DEN,L 17-20,0,0,,0,0,0,,0,0,0,,0,3,10,3.33,0
10,1978,1978-11-05,10,23.168,SEA,@,CHI,W 31-29,0,0,,0,0,0,,0,4,93,23.25,0,3,46,15.33,0
11,1978,1978-11-12,11,23.175,SEA,,BAL,L 14-17,0,0,,0,0,0,,0,0,0,,0,2,4,2.00,0
12,1978,1978-11-19,12,23.182,SEA,@,KAN,W 13-10,0,0,,0,0,0,,0,1,25,25.00,0,3,17,5.67,0
13,1978,1978-11-26,13,23.189,SEA,@,OAK,W 17-16,0,0,,0,0,0,,0,3,50,16.67,0,3,26,8.67,0
14,1978,1978-12-03,14,23.196,SEA,,CLE,W 47-24,0,0,,0,0,0,,0,3,62,20.67,0,1,17,17.00,0
15,1978,1978-12-10,15,23.203,SEA,@,SDG,L 10-37,0,0,,0,0,0,,0,5,144,28.80,0,3,22,7.33,0
16,1978,1978-12-17,16,23.210,SEA,,KAN,W 23-19,0,0,,0,0,0,,0,2,44,22.00,0,3,49,16.33,0
