ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-11-07,8,22.330,SEA,,NYG,L 7-41,,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,0.0,0,0
2,2010,2010-11-14,9,22.337,SEA,@,ARI,W 36-18,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
3,2011,2011-09-11,1,23.273,SEA,@,SFO,L 17-33,*,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0
4,2011,2011-09-18,2,23.280,SEA,@,PIT,L 0-24,*,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,0.0,0,0
5,2011,2011-09-25,3,23.287,SEA,,ARI,W 13-10,*,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
6,2011,2011-10-02,4,23.294,SEA,,ATL,L 28-30,,,,,,,0.0%,,,,,,,,,,
7,2011,2011-10-09,5,23.301,SEA,@,NYG,W 36-25,*,6,1,20,20.00,0,16.7%,3.33,0,0,,0,0,0,0.0,1,0
8,2011,2011-10-23,6,23.315,SEA,@,CLE,L 3-6,*,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0,0.0,0,0
9,2011,2011-10-30,7,23.322,SEA,,CIN,L 12-34,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
10,2011,2011-11-06,8,23.329,SEA,@,DAL,L 13-23,*,2,2,44,22.00,0,100.0%,22.00,0,0,,0,0,0,0.0,0,0
11,2011,2011-11-13,9,23.336,SEA,,BAL,W 22-17,*,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,0.0,0,0
12,2011,2011-11-20,10,23.343,SEA,@,STL,W 24-7,*,,,,,,0.0%,,,,,,,,,,
13,2011,2011-11-27,11,23.350,SEA,,WAS,L 17-23,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,0.0,0,0
14,2011,2011-12-01,12,23.354,SEA,,PHI,W 31-14,,,,,,,0.0%,,,,,,,,,,
15,2011,2011-12-12,13,24.000,SEA,,STL,W 30-13,,1,1,23,23.00,0,100.0%,23.00,0,0,,0,0,0,0.0,0,0
16,2011,2011-12-18,14,24.006,SEA,@,CHI,W 38-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
17,2011,2011-12-24,15,24.012,SEA,,SFO,L 17-19,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
18,2011,2012-01-01,16,24.020,SEA,@,ARI,L 20-23,,,,,,,0.0%,,,,,,,,,,
19,2012,2012-09-09,1,24.272,SEA,@,ARI,L 16-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
20,2012,2012-09-16,2,24.279,SEA,,DAL,W 27-7,,5,5,41,8.20,1,100.0%,8.20,0,0,,0,1,6,0.0,0,0
21,2012,2012-09-24,3,24.287,SEA,,GNB,W 14-12,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,0.0,0,0
22,2012,2012-09-30,4,24.293,SEA,@,STL,L 13-19,*,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,0.0,0,0
23,2012,2012-10-07,5,24.300,SEA,@,CAR,W 16-12,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
24,2012,2012-10-14,6,24.307,SEA,,NWE,W 24-23,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
25,2012,2012-10-18,7,24.311,SEA,@,SFO,L 6-13,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
26,2012,2012-10-28,8,24.321,SEA,@,DET,L 24-28,*,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0,0.0,0,0
27,2012,2012-11-04,9,24.328,SEA,,MIN,W 30-20,,,,,,,0.0%,,,,,,,,,,
28,2012,2012-11-11,10,24.335,SEA,,NYJ,W 28-7,*,,,,,,0.0%,,,,,,,,,,
29,2012,2012-11-25,11,24.349,SEA,@,MIA,L 21-24,,3,2,23,11.50,1,66.7%,7.67,0,0,,0,1,6,0.0,0,0
30,2012,2012-12-02,12,24.356,SEA,@,CHI,W 23-17,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,0.0,0,0
31,2012,2012-12-09,13,24.363,SEA,,ARI,W 58-0,*,3,3,105,35.00,0,100.0%,35.00,0,0,,0,0,0,0.0,0,0
32,2012,2012-12-16,14,25.004,SEA,@,BUF,W 50-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
