ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2002,2002-09-29,4,22.270,GNB,,CAR,W 17-14,,,,,
2,2002,2002-10-07,5,22.278,GNB,@,CHI,W 34-21,,,,,
3,2002,2002-10-13,6,22.284,GNB,@,NWE,W 28-10,,,,,
4,2002,2002-10-20,7,22.291,GNB,,WAS,W 30-9,,,,,
5,2002,2002-11-04,8,22.306,GNB,,MIA,W 24-10,,,,,
6,2003,2003-09-07,1,23.248,GNB,,MIN,L 25-30,,,,,
7,2003,2003-09-14,2,23.255,GNB,,DET,W 31-6,,1,0,0.00,0
8,2003,2003-09-21,3,23.262,GNB,@,ARI,L 13-20,,,,,
9,2003,2003-09-29,4,23.270,GNB,@,CHI,W 38-23,,,,,
10,2003,2003-10-05,5,23.276,GNB,,SEA,W 35-13,,,,,
11,2003,2003-10-12,6,23.283,GNB,,KAN,L 34-40,,,,,
12,2003,2003-12-28,16,23.360,GNB,,DEN,W 31-3,,,,,
13,2004,2004-09-12,1,24.254,CIN,@,NYJ,L 24-31,,,,,
14,2004,2004-09-19,2,24.261,CIN,,MIA,W 16-13,,,,,
15,2004,2004-09-26,3,24.268,CIN,,BAL,L 9-23,,,,,
16,2004,2004-10-03,4,24.275,CIN,@,PIT,L 17-28,,,,,
17,2004,2004-10-17,5,24.289,CIN,@,CLE,L 17-34,,,,,
18,2004,2004-10-25,6,24.297,CIN,,DEN,W 23-10,,,,,
19,2004,2004-10-31,7,24.303,CIN,@,TEN,L 20-27,,,,,
20,2004,2004-11-07,8,24.310,CIN,,DAL,W 26-3,,,,,
21,2004,2004-11-14,9,24.317,CIN,@,WAS,W 17-10,,,,,
22,2004,2004-11-21,10,24.324,CIN,,PIT,L 14-19,,,,,
23,2004,2004-11-28,11,24.331,CIN,,CLE,W 58-48,,,,,
24,2004,2004-12-05,12,24.338,CIN,@,BAL,W 27-26,,,,,
25,2004,2004-12-12,13,24.345,CIN,@,NWE,L 28-35,,,,,
26,2004,2004-12-19,14,24.352,CIN,,BUF,L 17-33,,,,,
27,2004,2004-12-26,15,24.359,CIN,,NYG,W 23-22,,,,,
28,2004,2005-01-02,16,25.000,CIN,@,PHI,W 38-10,,,,,
29,2005,2005-09-11,1,25.252,CIN,@,CLE,W 27-13,,,,,
30,2005,2005-09-18,2,25.259,CIN,,MIN,W 37-8,,,,,
31,2005,2005-09-25,3,25.266,CIN,@,CHI,W 24-7,,,,,
32,2005,2005-10-02,4,25.273,CIN,,HOU,W 16-10,,,,,
