ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1992,1992-09-07,1,23.015,DAL,,WAS,W 23-10,0,0,,0,,,,,,,
2,1992,1992-09-13,2,23.021,DAL,@,NYG,W 34-28,0,0,,0,,,,,,,
3,1992,1992-10-05,4,23.043,DAL,@,PHI,L 7-31,0,0,,0,,,,,,,
4,1992,1992-10-11,5,23.049,DAL,,SEA,W 27-0,0,0,,0,,,,,,,
5,1992,1992-10-18,6,23.056,DAL,,KAN,W 17-10,0,0,,0,,,,,,,
6,1992,1992-10-25,7,23.063,DAL,@,RAI,W 28-13,0,0,,0,,,,,,,
7,1992,1992-11-01,8,23.070,DAL,,PHI,W 20-10,0,0,,0,,,,,,,
8,1992,1992-11-08,9,23.077,DAL,@,DET,W 37-3,0,0,,0,,,,,,,
9,1992,1992-11-15,10,23.084,DAL,,RAM,L 23-27,0,0,,0,,,,,,,
10,1992,1992-11-22,11,23.091,DAL,@,PHO,W 16-10,0,0,,0,,,,,,,
11,1992,1992-11-26,12,23.095,DAL,,NYG,W 30-3,0,0,,0,,,,,,,
12,1992,1992-12-06,13,23.105,DAL,@,DEN,W 31-27,1,24,24.00,0,0,0,,0,0,0,0
13,1992,1992-12-13,14,23.112,DAL,@,WAS,L 17-20,0,0,,0,,,,,,,
14,1992,1992-12-21,15,23.120,DAL,@,ATL,W 41-17,0,0,,0,,,,,,,
15,1992,1992-12-27,16,23.126,DAL,,CHI,W 27-14,2,46,23.00,0,0,0,,0,0,0,0
16,1994,1994-09-04,1,25.012,DAL,@,PIT,W 26-9,0,0,,0,0,0,,0,,,
17,1994,1994-09-11,2,25.019,DAL,,HOU,W 20-17,1,21,21.00,0,3,36,12.00,0,0,0,0
18,1994,1994-09-19,3,25.027,DAL,,DET,L 17-20,3,68,22.67,0,2,19,9.50,0,0,0,0
19,1994,1994-10-02,4,25.040,DAL,@,WAS,W 34-7,,,,,,,,,0,3,0
20,1994,1994-10-09,5,25.047,DAL,,ARI,W 38-3,0,0,,0,0,0,,0,,,
21,1994,1994-10-16,6,25.054,DAL,,PHI,W 24-13,0,0,,0,0,0,,0,,,
22,1994,1994-10-23,7,25.061,DAL,@,ARI,W 28-21,0,0,,0,0,0,,0,,,
23,1994,1994-10-30,8,25.068,DAL,@,CIN,W 23-20,0,0,,0,0,0,,0,,,
24,1994,1994-11-07,9,25.076,DAL,,NYG,W 38-10,0,0,,0,0,0,,0,,,
25,1994,1994-11-13,10,25.082,DAL,@,SFO,L 14-21,0,0,,0,0,0,,0,,,
26,1994,1994-11-20,11,25.089,DAL,,WAS,W 31-7,0,0,,0,0,0,,0,,,
27,1994,1994-11-24,12,25.093,DAL,,GNB,W 42-31,0,0,,0,0,0,,0,,,
28,1994,1994-12-04,13,25.103,DAL,@,PHI,W 31-19,0,0,,0,0,0,,0,,,
29,1994,1994-12-10,14,25.109,DAL,,CLE,L 14-19,0,0,,0,0,0,,0,,,
30,1994,1994-12-19,15,25.118,DAL,@,NOR,W 24-16,0,0,,0,0,0,,0,,,
31,1994,1994-12-24,16,25.123,DAL,@,NYG,L 10-15,0,0,,0,0,0,,0,,,
32,1995,1995-09-04,1,26.012,DAL,@,NYG,W 35-0,0,0,,0,0,0,,0,,,
33,1995,1995-09-10,2,26.018,DAL,,DEN,W 31-21,0,0,,0,0,0,,0,,,
34,1995,1995-09-17,3,26.025,DAL,@,MIN,W 23-17,0,0,,0,0,0,,0,,,
35,1995,1995-09-24,4,26.032,DAL,,ARI,W 34-20,0,0,,0,0,0,,0,,,
36,1995,1995-10-01,5,26.039,DAL,@,WAS,L 23-27,0,0,,0,0,0,,0,,,
37,1995,1995-10-08,6,26.046,DAL,,GNB,W 34-24,1,46,46.00,0,1,13,13.00,0,0,0,0
38,1995,1995-10-15,7,26.053,DAL,@,SDG,W 23-9,1,20,20.00,0,3,22,7.33,0,1,0,0
39,1995,1995-10-29,8,26.067,DAL,@,ATL,W 28-13,3,68,22.67,0,0,0,,0,0,0,0
