ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2012,2012-09-09,1,23.187,NYJ,,BUF,W 48-28,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0
2,2012,2012-09-16,2,23.194,NYJ,@,PIT,L 10-27,,0,0,,0,0,0,,0,0,,,0.0,0,1,0,0,0
3,2012,2012-09-23,3,23.201,NYJ,@,MIA,W 23-20,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0
4,2012,2012-09-30,4,23.208,NYJ,,SFO,L 0-34,,,,,,,,,,,,,,,,,,
5,2012,2012-10-08,5,23.216,NYJ,,HOU,L 17-23,,,,,,,,,,,,,,,,,,
6,2012,2012-10-14,6,23.222,NYJ,,IND,W 35-9,,,,,,,,,,,,,,,,,,
7,2012,2012-10-21,7,23.229,NYJ,@,NWE,L 26-29,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0
8,2012,2012-10-28,8,23.236,NYJ,,MIA,L 9-30,,0,0,,0,0,0,,0,0,,,0.0,0,1,0,0,0
9,2012,2012-11-11,9,23.250,NYJ,@,SEA,L 7-28,,,,,,,,,,,,,,,,,,
10,2012,2012-11-18,10,23.257,NYJ,@,STL,W 27-13,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0
11,2012,2012-11-22,11,23.261,NYJ,,NWE,L 19-49,,,,,,,,,,,,,,,,,,
12,2012,2012-12-02,12,23.271,NYJ,,ARI,W 7-6,,,,,,,,,,,,,,,,,,
13,2012,2012-12-09,13,23.278,NYJ,@,JAX,W 17-10,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0
14,2012,2012-12-17,14,23.286,NYJ,@,TEN,L 10-14,,,,,,,,,,,,,,,,,,
15,2012,2012-12-23,15,23.292,NYJ,,SDG,L 17-27,,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0
16,2012,2012-12-30,16,23.299,NYJ,@,BUF,L 9-28,,0,0,,0,0,0,,0,0,,,0.0,1,0,0,0,0
17,2013,2013-09-08,1,24.186,NYJ,,TAM,W 18-17,,0,0,,0,0,0,,0,0,,,0.0,2,0,0,0,0
18,2013,2013-09-12,2,24.190,NYJ,@,NWE,L 10-13,,0,0,,0,0,0,,0,0,,,0.0,1,1,0,0,0
19,2013,2013-09-22,3,24.200,NYJ,,BUF,W 27-20,,0,0,,0,0,0,,0,0,,,0.0,0,1,0,0,0
20,2013,2013-09-29,4,24.207,NYJ,@,TEN,L 13-38,,,,,,,,,,,,,,,,,,
21,2013,2013-10-07,5,24.215,NYJ,@,ATL,W 30-28,,0,0,,0,0,0,,0,0,,,0.0,3,0,0,0,0
22,2013,2013-10-13,6,24.221,NYJ,,PIT,L 6-19,,,,,,,,,,,,,,,,,,
23,2013,2013-10-20,7,24.228,NYJ,,NWE,W 30-27,,,,,,,,,,,,,,,,,,
24,2013,2013-10-27,8,24.235,NYJ,@,CIN,L 9-49,,0,0,,0,0,0,,0,0,,,0.0,2,1,0,0,0
25,2013,2013-11-03,9,24.242,NYJ,,NOR,W 26-20,,,,,,,,,,,,,,,,,,
26,2013,2013-11-17,10,24.256,NYJ,@,BUF,L 14-37,,0,0,,0,0,0,,0,0,,,0.0,1,0,0,0,0
27,2013,2013-11-24,11,24.263,NYJ,@,BAL,L 3-19,,0,0,,0,0,0,,0,0,,,0.0,2,0,0,0,0
28,2013,2013-12-01,12,24.270,NYJ,,MIA,L 3-23,,0,0,,0,0,0,,0,0,,,0.0,0,1,0,0,0
