ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2015,2015-10-11,5,25.243,TAM,,JAX,W 38-31,,0,0,2.0,2,0
2,2015,2015-10-25,6,25.257,TAM,@,WAS,L 30-31,,1,6,0.0,0,0
3,2015,2015-11-01,7,25.264,TAM,@,ATL,W 23-20,,0,0,1.0,1,0
4,2015,2015-11-08,8,25.271,TAM,,NYG,L 18-32,*,0,0,0.0,0,0
5,2015,2015-11-15,9,25.278,TAM,,DAL,W 10-6,*,0,0,0.0,2,1
6,2015,2015-11-22,10,25.285,TAM,@,PHI,W 45-17,,0,0,0.5,1,1
7,2015,2015-11-29,11,25.292,TAM,@,IND,L 12-25,,0,0,1.0,3,0
8,2015,2015-12-06,12,25.299,TAM,,ATL,W 23-19,*,0,0,0.0,0,0
9,2015,2015-12-13,13,25.306,TAM,,NOR,L 17-24,*,0,0,0.0,0,0
10,2015,2015-12-17,14,25.310,TAM,@,STL,L 23-31,,0,0,0.5,0,1
11,2015,2015-12-27,15,25.320,TAM,,CHI,L 21-26,,0,0,0.0,0,0
12,2015,2016-01-03,16,25.327,TAM,@,CAR,L 10-38,*,0,0,0.0,0,2
13,2016,2016-09-11,1,26.214,TAM,@,ATL,W 31-24,,0,0,0.0,0,0
14,2016,2016-09-18,2,26.221,TAM,@,ARI,L 7-40,,0,0,0.0,0,0
15,2016,2016-09-25,3,26.228,TAM,,LAR,L 32-37,,0,0,0.0,1,0
16,2016,2016-10-02,4,26.235,TAM,,DEN,L 7-27,,0,0,0.0,0,0
17,2016,2016-10-10,5,26.243,TAM,@,CAR,W 17-14,,0,0,0.0,0,0
18,2016,2016-10-23,6,26.256,TAM,@,SFO,W 34-17,,0,0,0.0,0,0
19,2016,2016-10-30,7,26.263,TAM,,OAK,L 24-30,,0,0,0.0,0,0
20,2016,2016-11-03,8,26.267,TAM,,ATL,L 28-43,,0,0,0.0,0,0
21,2017,2017-11-26,11,27.289,CHI,@,PHI,L 3-31,,0,0,0.0,0,0
22,2017,2017-12-10,13,27.303,CHI,@,CIN,W 33-7,,0,0,1.0,1,0
23,2017,2017-12-16,14,27.309,CHI,@,DET,L 10-20,,0,0,0.0,1,1
24,2017,2017-12-24,15,27.317,CHI,,CLE,W 20-3,,0,0,0.0,0,0
