ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-10,1,24.031,GNB,,CHI,L 0-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
2,2006,2006-09-17,2,24.038,GNB,,NOR,L 27-34,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,,
3,2006,2006-10-08,5,24.059,GNB,,STL,L 20-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
4,2006,2006-10-22,6,24.073,GNB,@,MIA,W 34-24,*,4,2,25,12.50,0,50.0%,6.25,0,0,,0,0,0,,0,,0,0,0.0,,
5,2006,2006-10-29,7,24.080,GNB,,ARI,W 31-14,*,4,2,26,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,,0,0,0.0,,
6,2006,2006-11-05,8,24.087,GNB,@,BUF,L 10-24,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,,
7,2006,2006-11-12,9,24.094,GNB,@,MIN,W 23-17,,8,3,47,15.67,0,37.5%,5.88,0,0,,0,0,0,,0,,0,0,0.0,,
8,2006,2006-11-19,10,24.101,GNB,,NWE,L 0-35,,2,0,0,,0,0.0%,0.00,0,0,,0,1,-2,-2.00,0,,0,0,0.0,,
9,2006,2006-11-27,11,24.109,GNB,@,SEA,L 24-34,,3,1,26,26.00,0,33.3%,8.67,0,0,,0,0,0,,0,,0,0,0.0,,
10,2006,2006-12-03,12,24.115,GNB,,NYJ,L 10-38,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,,0,0,0.0,,
11,2006,2006-12-10,13,24.122,GNB,@,SFO,W 30-19,,2,2,42,21.00,1,100.0%,21.00,0,0,,0,0,0,,0,,1,6,0.0,,
12,2006,2006-12-21,15,24.133,GNB,,MIN,W 9-7,,3,3,69,23.00,0,100.0%,23.00,0,0,,0,0,0,,0,,0,0,0.0,,
13,2006,2006-12-31,16,24.143,GNB,@,CHI,W 26-7,*,13,7,118,16.86,0,53.8%,9.08,0,0,,0,0,0,,0,,0,0,0.0,,
14,2007,2007-09-09,1,25.030,GNB,,PHI,W 16-13,*,5,2,14,7.00,0,40.0%,2.80,0,0,,0,0,0,,0,,0,0,0.0,,
15,2007,2007-09-16,2,25.037,GNB,@,NYG,W 35-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
16,2007,2007-09-23,3,25.044,GNB,,SDG,W 31-24,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,,
17,2007,2007-09-30,4,25.051,GNB,@,MIN,W 23-16,,2,2,52,26.00,0,100.0%,26.00,0,0,,0,0,0,,0,,0,0,0.0,,
18,2007,2007-10-07,5,25.058,GNB,,CHI,L 20-27,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,,0,0,0.0,,
19,2007,2007-10-14,6,25.065,GNB,,WAS,W 17-14,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,,0,0,0.0,,
20,2007,2007-10-29,7,25.080,GNB,@,DEN,W 19-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
21,2007,2007-11-11,9,25.093,GNB,,MIN,W 34-0,,5,4,57,14.25,2,80.0%,11.40,0,0,,0,0,0,,0,,2,12,0.0,,
22,2007,2007-11-18,10,25.100,GNB,,CAR,W 31-17,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,,0,0,0.0,,
23,2007,2007-11-22,11,25.104,GNB,@,DET,W 37-26,,1,1,3,3.00,1,100.0%,3.00,0,0,,0,0,0,,0,,1,6,0.0,,
24,2007,2007-11-29,12,25.111,GNB,@,DAL,L 27-37,*,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,,0,0,0.0,,
25,2007,2007-12-09,13,25.121,GNB,,OAK,W 38-7,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
26,2007,2007-12-16,14,25.128,GNB,@,STL,W 33-14,*,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,,0,0,0.0,,
27,2007,2007-12-23,15,25.135,GNB,@,CHI,L 7-35,*,2,1,14,14.00,0,50.0%,7.00,1,6,6.00,0,0,0,,0,,0,0,0.0,,
28,2007,2007-12-30,16,25.142,GNB,,DET,W 34-13,*,4,1,32,32.00,1,25.0%,8.00,0,0,,0,0,0,,0,,1,6,0.0,,
29,2008,2008-09-08,1,26.029,GNB,,MIN,W 24-19,*,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
30,2008,2008-09-28,4,26.049,GNB,@,TAM,L 21-30,,,,,,,0.0%,,,,,,,,,,,,,,,
31,2008,2008-10-05,5,26.056,GNB,,ATL,L 24-27,,5,3,31,10.33,0,60.0%,6.20,0,0,,0,0,0,,0,,0,0,0.0,0,0
32,2008,2008-10-12,6,26.063,GNB,@,SEA,W 27-17,,2,,,,,0.0%,,,,,,,,,,,,,,,
33,2008,2008-10-19,7,26.070,GNB,,IND,W 34-14,,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
34,2008,2008-11-02,8,26.084,GNB,@,TEN,L 16-19,,1,,,,,0.0%,,,,,,,,,,,,,,,
35,2008,2008-11-09,9,26.091,GNB,@,MIN,L 27-28,,,,,,,0.0%,,,,,,,,,,,,,,,
36,2008,2008-11-24,11,26.106,GNB,@,NOR,L 29-51,,4,2,14,7.00,1,50.0%,3.50,0,0,,0,0,0,,0,1,1,8,0.0,0,0
37,2008,2008-11-30,12,26.112,GNB,,CAR,L 31-35,,4,4,32,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
38,2008,2008-12-07,13,26.119,GNB,,HOU,L 21-24,,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,,0,0,0.0,0,1
39,2008,2008-12-14,14,26.126,GNB,@,JAX,L 16-20,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
40,2008,2008-12-22,15,26.134,GNB,@,CHI,L 17-20,,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
41,2008,2008-12-28,16,26.140,GNB,,DET,W 31-21,,1,,,,,0.0%,,,,,,,,,,,,,,,
42,2009,2009-10-04,4,27.055,STL,@,SFO,L 0-35,,1,,,,,0.0%,,,,,,,,,,,,,,,
43,2009,2009-11-22,10,27.104,STL,,ARI,L 13-21,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
44,2009,2009-11-29,11,27.111,STL,,SEA,L 17-27,,3,2,60,30.00,0,66.7%,20.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
45,2009,2009-12-06,12,27.118,STL,@,CHI,L 9-17,,,,,,,0.0%,,,,,,,,,,,,,,,
46,2009,2009-12-13,13,27.125,STL,@,TEN,L 7-47,,,,,,,0.0%,,,,,,,,,,,,,,,
47,2009,2009-12-20,14,27.132,STL,,HOU,L 13-16,,3,1,23,23.00,0,33.3%,7.67,0,0,,0,1,0,0.00,0,,0,0,0.0,1,0
48,2009,2009-12-27,15,27.139,STL,@,ARI,L 10-31,,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
49,2009,2010-01-03,16,27.146,STL,,SFO,L 6-28,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
50,2010,2010-11-14,9,28.096,SEA,@,ARI,W 36-18,,,,,,,0.0%,,,,,,,,,,,,,,,
51,2010,2010-11-28,11,28.110,SEA,,KAN,L 24-42,,,,,,,0.0%,,,,,,,,,,,,,,,
52,2010,2010-12-12,13,28.124,SEA,@,SFO,L 21-40,,6,4,73,18.25,1,66.7%,12.17,0,0,,0,0,0,,0,,1,6,0.0,0,0
53,2010,2010-12-19,14,28.131,SEA,,ATL,L 18-34,,,,,,,0.0%,,,,,,,,,,,,,,,
54,2010,2011-01-02,16,28.145,SEA,,STL,W 16-6,,3,3,85,28.33,0,100.0%,28.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
55,2011,2011-09-18,2,29.039,BUF,,OAK,W 38-35,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
56,2011,2011-09-25,3,29.046,BUF,,NWE,W 34-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
