ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1981,1981-10-25,8,21.330,NWE,@,WAS,L 22-24,,0,0,,0,0,0,,,,,,0,0,,0,4,177,44.25,0
2,1981,1981-11-01,9,21.337,NWE,@,OAK,L 17-27,,0,0,,0,0,0,,,,,,0,0,,0,9,427,47.44,0
3,1981,1981-11-08,10,21.344,NWE,,MIA,L 27-30,,0,0,,0,0,0,,,,,,0,0,,0,3,131,43.67,0
4,1981,1981-11-15,11,21.351,NWE,,NYJ,L 6-17,,0,0,,0,0,0,,,,,,0,0,,0,7,301,43.00,0
5,1981,1981-11-22,12,21.358,NWE,@,BUF,L 17-20,,0,0,,0,0,0,,,,,,0,0,,0,5,252,50.40,0
6,1981,1981-11-29,13,22.000,NWE,,STL,L 20-27,,0,0,,0,0,0,,,,,,0,0,,0,5,166,33.20,0
7,1981,1981-12-06,14,22.007,NWE,@,MIA,L 14-24,,0,0,,0,0,0,,,,,,0,0,,0,5,192,38.40,0
8,1981,1981-12-13,15,22.014,NWE,,BUF,L 10-19,,0,0,,0,0,0,,,,,,0,0,,0,3,132,44.00,0
9,1981,1981-12-20,16,22.021,NWE,@,BAL,L 21-23,,0,0,,0,0,0,,,,,,0,0,,0,6,181,30.17,0
10,1982,1982-09-12,1,22.287,NWE,@,BAL,W 24-13,,0,0,,0,0,0,,,,,,0,0,,0,8,339,42.38,0
11,1982,1982-09-19,2,22.294,NWE,,NYJ,L 7-31,,0,0,,0,0,0,,,,,,0,0,,0,8,382,47.75,0
12,1982,1982-11-21,3,22.357,NWE,@,CLE,L 7-10,,0,0,,0,0,0,,,,,,0,0,,0,5,208,41.60,0
13,1982,1982-11-28,4,22.364,NWE,,HOU,W 29-21,,0,0,,0,0,0,,,,,,0,0,,0,3,137,45.67,0
14,1982,1982-12-05,5,23.006,NWE,@,CHI,L 13-26,,0,0,,0,0,0,,,,,,0,0,,0,4,192,48.00,0
15,1982,1982-12-12,6,23.013,NWE,,MIA,W 3-0,,0,0,,0,0,0,,,,,,0,0,,0,4,155,38.75,0
16,1982,1982-12-19,7,23.020,NWE,@,SEA,W 16-0,,0,0,,0,0,0,,,,,,0,0,,0,4,166,41.50,0
17,1982,1982-12-26,8,23.027,NWE,@,PIT,L 14-37,,0,0,,0,0,0,,,,,,0,0,,0,9,414,46.00,0
18,1982,1983-01-02,9,23.034,NWE,,BUF,W 30-19,,0,0,,0,0,0,,,,,,0,0,,0,4,147,36.75,0
19,1983,1983-09-04,1,23.279,NWE,,BAL,L 23-29,,0,0,,0,0,0,,,,,,0,0,,0,2,94,47.00,0
20,1983,1983-09-11,2,23.286,NWE,@,MIA,L 24-34,,0,0,,0,0,0,,,,,,0,0,,0,4,203,50.75,0
21,1983,1983-09-18,3,23.293,NWE,,NYJ,W 23-13,,0,0,,0,0,0,,,,,,0,0,,0,3,119,39.67,0
22,1983,1983-09-25,4,23.300,NWE,@,PIT,W 28-23,,0,0,,0,0,0,,,,,,0,0,,0,5,243,48.60,0
23,1983,1983-10-02,5,23.307,NWE,,SFO,L 13-33,,0,0,,0,0,0,,,,,,0,0,,0,3,148,49.33,0
24,1983,1983-10-09,6,23.314,NWE,@,BAL,L 7-12,,0,0,,0,0,0,,,,,,0,0,,0,4,193,48.25,0
25,1983,1983-10-16,7,23.321,NWE,,SDG,W 37-21,,0,0,,0,0,0,,,,,,0,0,,0,5,195,39.00,0
26,1983,1983-10-23,8,23.328,NWE,@,BUF,W 31-0,,0,0,,0,0,0,,,,,,0,0,,0,7,325,46.43,0
27,1983,1983-10-30,9,23.335,NWE,@,ATL,L 13-24,,0,0,,0,0,0,,,,,,0,0,,0,3,162,54.00,0
28,1983,1983-11-06,10,23.342,NWE,,BUF,W 21-7,,0,0,,0,0,0,,,,,,0,0,,0,6,238,39.67,0
29,1983,1983-11-13,11,23.349,NWE,,MIA,W 17-6,,0,0,,0,0,0,,,,,,0,0,,0,6,240,40.00,0
30,1983,1983-11-20,12,23.356,NWE,,CLE,L 0-30,,0,0,,0,0,0,,,,,,0,0,,0,6,274,45.67,0
31,1983,1983-11-27,13,23.363,NWE,@,NYJ,L 3-26,,0,0,,0,0,0,,,,,,0,0,,0,8,348,43.50,0
32,1983,1983-12-04,14,24.005,NWE,,NOR,W 7-0,,0,0,,0,0,0,,,,,,0,0,,0,5,208,41.60,0
33,1983,1983-12-11,15,24.012,NWE,@,RAM,W 21-7,,0,0,,0,0,0,,,,,,0,0,,0,9,387,43.00,0
34,1983,1983-12-18,16,24.019,NWE,@,SEA,L 6-24,,0,0,,0,0,0,,,,,,0,0,,0,5,238,47.60,0
35,1984,1984-11-04,10,24.341,NWE,@,DEN,L 19-26,,0,0,,0,0,0,,,,,,0,0,,0,4,172,43.00,0
36,1984,1984-11-11,11,24.348,NWE,,BUF,W 38-10,,0,0,,0,0,0,,,,,,0,0,,0,7,285,40.71,0
37,1984,1984-11-18,12,24.355,NWE,@,IND,W 50-17,,0,0,,0,0,0,,,,,,0,0,,0,6,283,47.17,0
38,1984,1984-11-22,13,24.359,NWE,@,DAL,L 17-20,,0,0,,0,0,0,,,,,,0,0,,0,11,479,43.55,0
39,1984,1984-12-02,14,25.003,NWE,,STL,L 10-33,,0,0,,0,0,0,,,,,,0,0,,0,7,295,42.14,0
40,1984,1984-12-09,15,25.010,NWE,@,PHI,L 17-27,,0,0,,0,0,0,,,,,,0,0,,0,8,313,39.13,0
41,1984,1984-12-16,16,25.017,NWE,,IND,W 16-10,,0,0,,0,0,0,,,,,,0,0,,0,5,193,38.60,0
42,1985,1985-09-08,1,25.283,NWE,,GNB,W 26-20,,0,0,,0,0,0,,,,,,0,0,,0,4,191,47.75,0
43,1985,1985-09-15,2,25.290,NWE,@,CHI,L 7-20,,0,0,,0,0,0,,,,,,0,0,,0,11,514,46.73,0
44,1985,1985-09-22,3,25.297,NWE,@,BUF,W 17-14,,0,0,,0,0,0,,,,,,0,0,,0,7,341,48.71,0
45,1985,1985-09-29,4,25.304,NWE,,RAI,L 20-35,,0,0,,0,0,0,,,,,,0,0,,0,9,403,44.78,0
46,1985,1985-10-06,5,25.311,NWE,@,CLE,L 20-24,,0,0,,0,0,0,,,,,,0,0,,0,4,182,45.50,0
47,1985,1985-10-13,6,25.318,NWE,,BUF,W 14-3,,0,0,,0,0,0,,,,,,0,0,,0,6,229,38.17,0
48,1985,1985-10-20,7,25.325,NWE,,NYJ,W 20-13,,0,0,,0,0,0,,,,,,0,0,,0,7,272,38.86,0
49,1985,1985-10-27,8,25.332,NWE,@,TAM,W 32-14,,0,0,,0,0,0,,,,,,0,0,,0,3,131,43.67,0
50,1985,1985-11-03,9,25.339,NWE,,MIA,W 17-13,,0,0,,0,0,0,,,,,,0,0,,0,5,197,39.40,0
51,1985,1985-11-10,10,25.346,NWE,,IND,W 34-15,,0,0,,0,0,0,,,,,,0,0,,0,6,219,36.50,0
52,1985,1985-11-17,11,25.353,NWE,@,SEA,W 20-13,,0,0,,0,0,0,,,,,,0,0,,0,7,313,44.71,0
53,1985,1985-11-24,12,25.360,NWE,@,NYJ,L 13-16,,0,0,,0,0,0,,,,,,0,0,,0,9,414,46.00,0
54,1985,1985-12-01,13,26.002,NWE,@,IND,W 38-31,,0,0,,0,0,0,,,,,,0,0,,0,4,156,39.00,0
55,1985,1985-12-08,14,26.009,NWE,,DET,W 23-6,,0,0,,0,0,0,,,,,,0,0,,0,3,109,36.33,0
56,1985,1985-12-16,15,26.017,NWE,@,MIA,L 27-30,,0,0,,0,0,0,,,,,,0,0,,0,4,165,41.25,0
57,1985,1985-12-22,16,26.023,NWE,,CIN,W 34-23,,0,0,,0,0,0,,,,,,0,0,,0,3,117,39.00,0
58,1986,1986-09-07,1,26.282,NWE,,IND,W 33-3,,0,0,,0,0,0,,,,,,0,0,,0,5,189,37.80,0
59,1986,1986-09-11,2,26.286,NWE,@,NYJ,W 20-6,,0,0,,0,0,0,,,,,,0,0,,0,5,241,48.20,0
60,1986,1986-09-21,3,26.296,NWE,,SEA,L 31-38,,0,0,,0,0,0,,,,,,0,0,,0,6,260,43.33,2
61,1986,1986-09-28,4,26.303,NWE,@,DEN,L 20-27,,0,0,,0,0,0,,,,,,0,0,,0,7,334,47.71,0
62,1986,1986-10-05,5,26.310,NWE,,MIA,W 34-7,,0,0,,0,0,0,,,,,,0,0,,0,4,160,40.00,0
63,1986,1986-10-12,6,26.317,NWE,,NYJ,L 24-31,,0,0,,0,0,0,,,,,,0,0,,0,3,147,49.00,0
64,1986,1986-10-19,7,26.324,NWE,@,PIT,W 34-0,,0,0,,0,0,0,,,,,,0,0,,0,5,194,38.80,0
65,1986,1986-10-26,8,26.331,NWE,@,BUF,W 23-3,,0,0,,0,0,0,,,,,,0,0,,0,4,186,46.50,0
66,1986,1986-11-02,9,26.338,NWE,,ATL,W 25-17,,0,0,,0,0,0,,,,,,0,0,,0,5,195,39.00,0
