ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1991,1991-11-10,10,23.061,NOR,,SFO,W 10-3,,0,0,,0,,,,,,,,,,,,
2,1991,1991-11-17,11,23.068,NOR,@,SDG,L 21-24,,0,0,,0,,,,,,,,,,,,
3,1991,1991-11-24,12,23.075,NOR,,ATL,L 20-23,,0,0,,0,,,,,,,,,,,,
4,1991,1991-12-01,13,23.082,NOR,@,SFO,L 24-38,,3,33,11.00,0,,,0,0,,0,0,0,,0,0,0
5,1991,1991-12-08,14,23.089,NOR,@,DAL,L 14-23,,0,0,,0,,,,,,,,,,,,
6,1991,1991-12-16,15,23.097,NOR,,RAI,W 27-0,,0,0,,0,,,,,,,,,,,,
7,1991,1991-12-22,16,23.103,NOR,@,PHO,W 27-3,,0,0,,0,,,,,,,,,,,,
8,1992,1992-09-06,1,23.362,NOR,@,PHI,L 13-15,,0,0,,0,0.0%,,0,0,,0,3,10,3.33,0,0,0
9,1992,1992-09-13,2,24.003,NOR,,CHI,W 28-6,2,2,13,6.50,0,100.0%,6.50,0,0,,0,1,3,3.00,0,0,0
10,1992,1992-09-20,3,24.010,NOR,@,ATL,W 10-7,4,1,8,8.00,0,25.0%,2.00,0,0,,0,2,10,5.00,0,0,0
11,1992,1992-11-15,10,24.066,NOR,@,SFO,L 20-21,,0,0,,0,0.0%,,0,0,,0,3,24,8.00,0,0,0
12,1992,1992-11-23,11,24.074,NOR,,WAS,W 20-3,,0,0,,0,0.0%,,0,0,,0,3,25,8.33,0,0,0
13,1992,1992-11-29,12,24.080,NOR,,MIA,W 24-13,,0,0,,0,0.0%,,0,0,,0,3,30,10.00,0,0,0
14,1992,1992-12-03,13,24.084,NOR,,ATL,W 22-14,,0,0,,0,0.0%,,0,0,,0,2,20,10.00,0,0,0
15,1992,1992-12-13,14,24.094,NOR,@,RAM,W 37-14,,0,0,,0,0.0%,,1,11,11.00,0,2,3,1.50,0,0,0
16,1992,1992-12-20,15,24.101,NOR,,BUF,L 16-20,,0,0,,0,0.0%,,2,51,25.50,0,3,32,10.67,0,0,0
17,1992,1992-12-26,16,24.107,NOR,@,NYJ,W 20-0,1,0,0,,0,0.0%,0.00,0,0,,0,1,1,1.00,0,0,0
18,1993,1993-09-05,1,24.360,NOR,,HOU,W 33-21,,0,0,,0,0.0%,,,,,,0,0,,0,,
19,1993,1993-09-12,2,25.002,NOR,@,ATL,W 34-31,3,3,61,20.33,0,100.0%,20.33,0,0,,0,0,0,,0,0,0
20,1993,1993-09-19,3,25.009,NOR,,DET,W 14-3,2,0,0,,0,0.0%,0.00,,,,,0,0,,0,,
21,1993,1993-09-26,4,25.016,NOR,,SFO,W 16-13,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,0,0
22,1993,1993-10-03,5,25.023,NOR,@,RAM,W 37-6,2,1,30,30.00,1,50.0%,15.00,0,0,,0,0,0,,0,1,6
23,1993,1993-10-17,6,25.037,NOR,@,PIT,L 14-37,1,0,0,,0,0.0%,0.00,,,,,0,0,,0,,
24,1993,1993-10-24,7,25.044,NOR,,ATL,L 15-26,4,2,8,4.00,0,50.0%,2.00,0,0,,0,1,14,14.00,0,0,0
25,1993,1993-10-31,8,25.051,NOR,@,PHO,W 20-17,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0
26,1993,1993-11-14,9,25.065,NOR,,GNB,L 17-19,,0,0,,0,0.0%,,,,,,0,0,,0,,
27,1993,1993-11-22,10,25.073,NOR,@,SFO,L 7-42,1,0,0,,0,0.0%,0.00,,,,,0,0,,0,,
28,1993,1993-11-28,11,25.079,NOR,@,MIN,W 17-14,,0,0,,0,0.0%,,,,,,0,0,,0,,
29,1993,1993-12-05,12,25.086,NOR,@,CLE,L 13-17,,0,0,,0,0.0%,,,,,,0,0,,0,,
30,1993,1993-12-12,13,25.093,NOR,,RAM,L 20-23,,0,0,,0,0.0%,,,,,,0,0,,0,,
31,1993,1993-12-20,14,25.101,NOR,,NYG,L 14-24,3,0,0,,0,0.0%,0.00,,,,,0,0,,0,,
32,1993,1993-12-26,15,25.107,NOR,@,PHI,L 26-37,,0,0,,0,0.0%,,,,,,0,0,,0,,
33,1993,1994-01-02,16,25.114,NOR,,CIN,W 20-13,,0,0,,0,0.0%,,,,,,0,0,,0,,
34,1994,1994-10-23,7,26.043,CLE,,CIN,W 37-13,,,,,,0.0%,,,,,,,,,,,
