ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,def_int,def_int_yds,def_int_td
1,1978,1978-09-17,3,23.199,NOR,,PHI,L 17-24,,,,,,,
2,1978,1978-09-24,4,23.206,NOR,@,CIN,W 20-18,,,,,,,
3,1978,1978-10-01,5,23.213,NOR,,RAM,L 20-26,,,,,,,
4,1978,1978-10-08,6,23.220,NOR,,CLE,L 16-24,,,,,,,
5,1978,1978-10-15,7,23.227,NOR,@,SFO,W 14-7,,,,,,,
6,1978,1978-10-22,8,23.234,NOR,@,RAM,W 10-3,,,,,,,
7,1978,1978-10-29,9,23.241,NOR,,NYG,W 28-17,,,,,,,
8,1978,1978-11-05,10,23.248,NOR,@,PIT,L 14-20,,,,,,,
9,1978,1978-11-12,11,23.255,NOR,,ATL,L 17-20,,,,,,,
10,1978,1978-11-19,12,23.262,NOR,@,DAL,L 7-27,,,,,,,
11,1978,1978-11-26,13,23.269,NOR,@,ATL,L 17-20,,,,,,,
12,1978,1978-12-03,14,23.276,NOR,,SFO,W 24-13,,,,,,,
13,1978,1978-12-10,15,23.283,NOR,,HOU,L 12-17,,,,,,,
14,1978,1978-12-17,16,23.290,NOR,@,TAM,W 17-10,,,,,,,
15,1979,1979-09-30,5,24.212,NYJ,,MIA,W 33-27,,,,,,,
16,1979,1979-10-07,6,24.219,NYJ,@,BAL,L 8-10,,,,,,,
17,1979,1979-10-15,7,24.227,NYJ,,MIN,W 14-7,,,,,,,
18,1979,1979-10-21,8,24.233,NYJ,,OAK,W 28-19,,,,,,,
19,1979,1979-10-28,9,24.240,NYJ,@,HOU,L 24-27,,,,,,,
20,1979,1979-11-04,10,24.247,NYJ,@,GNB,W 27-22,,,,,,,
21,1979,1979-11-11,11,24.254,NYJ,,BUF,L 12-14,,,,,,,
22,1979,1979-11-18,12,24.261,NYJ,@,CHI,L 13-23,,,,,,,
23,1979,1979-11-26,13,24.269,NYJ,@,SEA,L 7-30,,,,,,,
24,1979,1979-12-02,14,24.275,NYJ,,BAL,W 30-17,,,,,,,
25,1979,1979-12-09,15,24.282,NYJ,,NWE,W 27-26,,,,,,,
26,1979,1979-12-15,16,24.288,NYJ,@,MIA,W 27-24,,,,,,,
27,1980,1980-09-07,1,25.189,NYJ,,BAL,L 14-17,,,,,,,
28,1980,1980-09-14,2,25.196,NYJ,@,BUF,L 10-20,,,,,,,
29,1980,1980-09-21,3,25.203,NYJ,,SFO,L 27-37,,,,,,,
30,1980,1980-09-28,4,25.210,NYJ,@,BAL,L 21-35,,,,,,,
31,1980,1980-10-05,5,25.217,NYJ,,NWE,L 11-21,,,,,,,
32,1980,1980-10-12,6,25.224,NYJ,@,ATL,W 14-7,,,,,,,
33,1980,1980-10-19,7,25.231,NYJ,,SEA,L 17-27,,,,,,,
34,1980,1980-10-27,8,25.239,NYJ,,MIA,W 17-14,,,,,,,
35,1980,1980-11-02,9,25.245,NYJ,@,NWE,L 21-34,,,,,,,
36,1980,1980-11-09,10,25.252,NYJ,,BUF,L 24-31,,,,,,,
37,1980,1980-11-16,11,25.259,NYJ,@,DEN,L 24-31,,,,,,,
38,1980,1980-11-23,12,25.266,NYJ,,HOU,W 31-28,0,0,,0,1,42,0
39,1980,1980-11-30,13,25.273,NYJ,@,RAM,L 13-38,0,0,,0,1,5,0
40,1980,1980-12-07,14,25.280,NYJ,@,CLE,L 14-17,,,,,,,
41,1980,1980-12-14,15,25.287,NYJ,,NOR,L 20-21,,,,,,,
42,1980,1980-12-20,16,25.293,NYJ,@,MIA,W 24-17,,,,,,,
43,1981,1981-09-06,1,26.188,NYJ,@,BUF,L 0-31,,,,,,,
44,1981,1981-09-13,2,26.195,NYJ,,CIN,L 30-31,,,,,,,
45,1981,1981-09-20,3,26.202,NYJ,@,PIT,L 10-38,,,,,,,
46,1981,1981-09-27,4,26.209,NYJ,,HOU,W 33-17,,,,,,,
47,1981,1981-10-04,5,26.216,NYJ,@,MIA,T 28-28,,,,,,,
48,1981,1981-10-11,6,26.223,NYJ,,NWE,W 28-24,,,,,,,
49,1981,1981-10-18,7,26.230,NYJ,,BUF,W 33-14,,,,,,,
50,1981,1981-10-25,8,26.237,NYJ,,SEA,L 3-19,,,,,,,
51,1981,1981-11-01,9,26.244,NYJ,@,NYG,W 26-7,,,,,,,
52,1981,1981-11-08,10,26.251,NYJ,@,BAL,W 41-14,,,,,,,
53,1981,1981-11-15,11,26.258,NYJ,@,NWE,W 17-6,,,,,,,
54,1981,1981-11-22,12,26.265,NYJ,,MIA,W 16-15,,,,,,,
55,1981,1981-11-29,13,26.272,NYJ,,BAL,W 25-0,,,,,,,
56,1981,1981-12-06,14,26.279,NYJ,@,SEA,L 23-27,,,,,,,
57,1981,1981-12-12,15,26.285,NYJ,@,CLE,W 14-13,,,,,,,
58,1981,1981-12-20,16,26.293,NYJ,,GNB,W 28-3,,,,,,,
59,1982,1982-09-12,1,27.194,NYJ,,MIA,L 28-45,,,,,,,
60,1982,1982-09-19,2,27.201,NYJ,@,NWE,W 31-7,,,,,,,
61,1982,1982-11-21,3,27.264,NYJ,,BAL,W 37-0,,,,,,,
62,1982,1982-11-28,4,27.271,NYJ,,GNB,W 15-13,,,,,,,
63,1982,1982-12-06,5,27.279,NYJ,@,DET,W 28-13,,,,,,,
64,1982,1982-12-12,6,27.285,NYJ,,TAM,W 32-17,,,,,,,
65,1982,1982-12-18,7,27.291,NYJ,@,MIA,L 19-20,,,,,,,
66,1982,1982-12-26,8,27.299,NYJ,@,MIN,W 42-14,,,,,,,
67,1982,1983-01-02,9,27.306,NYJ,@,KAN,L 13-37,,,,,,,
68,1983,1983-09-04,1,28.186,NYJ,@,SDG,W 41-29,0,0,,0,,,
69,1983,1983-09-11,2,28.193,NYJ,,SEA,L 10-17,0,0,,0,,,
70,1983,1983-09-18,3,28.200,NYJ,@,NWE,L 13-23,0,0,,0,,,
71,1983,1983-09-25,4,28.207,NYJ,,RAM,W 27-24,0,0,,0,,,
72,1983,1983-10-03,5,28.215,NYJ,@,BUF,W 34-10,0,0,,0,,,
73,1983,1983-10-09,6,28.221,NYJ,@,CLE,L 7-10,0,0,,0,,,
74,1983,1983-10-16,7,28.228,NYJ,,MIA,L 14-32,0,0,,0,,,
75,1983,1983-10-23,8,28.235,NYJ,,ATL,L 21-27,0,0,,0,,,
76,1983,1983-10-30,9,28.242,NYJ,@,SFO,W 27-13,0,0,,0,,,
77,1983,1983-11-06,10,28.249,NYJ,,BAL,L 14-17,0,0,,0,,,
78,1983,1983-11-13,11,28.256,NYJ,,BUF,L 17-24,0,0,,0,,,
79,1983,1983-11-21,12,28.264,NYJ,@,NOR,W 31-28,0,0,,0,,,
80,1983,1983-11-27,13,28.270,NYJ,,NWE,W 26-3,0,0,,0,,,
81,1983,1983-12-04,14,28.277,NYJ,@,BAL,W 10-6,0,0,,0,,,
82,1983,1983-12-10,15,28.283,NYJ,,PIT,L 7-34,1,5,5.00,0,0,0,0
83,1983,1983-12-16,16,28.289,NYJ,@,MIA,L 14-34,0,0,,0,,,
