ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,22.127,MIN,@,STL,W 34-6,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
2,2014,2014-09-14,2,22.134,MIN,,NWE,L 7-30,,2,7,3.50,0,3,2,5,2.50,0,66.7%,1.67,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
3,2014,2014-09-21,3,22.141,MIN,@,NOR,L 9-20,,2,-1,-0.50,0,5,2,9,4.50,0,40.0%,1.80,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
4,2014,2014-09-28,4,22.148,MIN,,ATL,W 41-28,,18,135,7.50,0,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
5,2014,2014-10-02,5,22.152,MIN,@,GNB,L 10-42,,7,24,3.43,0,5,3,22,7.33,0,60.0%,4.40,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
6,2014,2014-10-12,6,22.162,MIN,,DET,L 3-17,*,11,40,3.64,0,6,6,42,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,1,0
7,2014,2014-10-19,7,22.169,MIN,@,BUF,L 16-17,*,19,103,5.42,0,4,2,-2,-1.00,0,50.0%,-0.50,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
8,2014,2014-10-26,8,22.176,MIN,@,TAM,W 19-13,*,16,83,5.19,0,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
9,2014,2014-11-02,9,22.183,MIN,,WAS,W 29-26,*,14,54,3.86,0,4,3,14,4.67,0,75.0%,3.50,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
10,2014,2014-11-16,10,22.197,MIN,@,CHI,L 13-21,*,8,38,4.75,0,7,4,20,5.00,0,57.1%,2.86,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
11,2014,2014-11-23,11,22.204,MIN,,GNB,L 21-24,*,15,54,3.60,0,3,3,9,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
12,2015,2015-09-14,1,23.134,MIN,@,SFO,L 3-20,,3,20,6.67,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
13,2015,2015-09-20,2,23.140,MIN,,DET,W 26-16,,3,6,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
14,2015,2015-09-27,3,23.147,MIN,,SDG,W 31-14,,6,18,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
15,2015,2015-10-04,4,23.154,MIN,@,DEN,L 20-23,,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
16,2015,2015-10-18,5,23.168,MIN,,KAN,W 16-10,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
17,2015,2015-10-25,6,23.175,MIN,@,DET,W 28-19,,9,36,4.00,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
18,2015,2015-11-01,7,23.182,MIN,@,CHI,W 23-20,,2,18,9.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
19,2015,2015-11-08,8,23.189,MIN,,STL,W 21-18,,0,0,,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
20,2015,2015-11-15,9,23.196,MIN,@,OAK,W 30-14,,0,0,,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
21,2015,2015-11-22,10,23.203,MIN,,GNB,L 13-30,,0,0,,0,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
22,2015,2015-11-29,11,23.210,MIN,@,ATL,W 20-10,,5,33,6.60,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
23,2015,2015-12-06,12,23.217,MIN,,SEA,L 7-38,,4,18,4.50,0,6,3,6,2.00,0,50.0%,1.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
24,2015,2015-12-10,13,23.221,MIN,@,ARI,L 20-23,,0,0,,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
25,2015,2015-12-20,14,23.231,MIN,,CHI,W 38-17,,7,10,1.43,0,4,4,76,19.00,1,100.0%,19.00,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
26,2015,2015-12-27,15,23.238,MIN,,NYG,W 49-17,,7,89,12.71,2,3,2,8,4.00,0,66.7%,2.67,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0
27,2015,2016-01-03,16,23.245,MIN,@,GNB,W 20-13,,4,15,3.75,0,4,3,33,11.00,0,75.0%,8.25,0,0,,0,0,0,,0,0,,,1,24,24.00,0,,0,0,0.0,0,0
28,2016,2016-09-11,1,24.131,MIN,@,TEN,W 25-16,,1,6,6.00,0,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
29,2016,2016-09-18,2,24.138,MIN,,GNB,W 17-14,,2,2,1.00,0,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
30,2016,2016-09-25,3,24.145,MIN,@,CAR,W 22-10,,16,45,2.81,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,2,0.0,0,0
31,2016,2016-10-03,4,24.153,MIN,,NYG,W 24-10,*,18,85,4.72,1,5,3,10,3.33,0,60.0%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
32,2016,2016-10-09,5,24.159,MIN,,HOU,W 31-13,*,20,36,1.80,0,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
33,2016,2016-10-23,6,24.173,MIN,@,PHI,L 10-21,,11,43,3.91,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
34,2016,2016-11-06,8,24.187,MIN,,DET,L 16-22,,7,8,1.14,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
