ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2016,2016-09-11,1,21.279,SDG,@,KAN,L 27-33,,2,1,20,20.00,0,50.0%,10.00,0,0,,0,0,0
2,2016,2016-09-18,2,21.286,SDG,,JAX,W 38-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0
3,2016,2016-09-25,3,21.293,SDG,@,IND,L 22-26,*,5,5,72,14.40,0,100.0%,14.40,0,0,,0,0,0
4,2016,2016-10-02,4,21.300,SDG,,NOR,L 34-35,*,7,4,61,15.25,1,57.1%,8.71,0,0,,0,1,6
5,2016,2016-10-09,5,21.307,SDG,@,OAK,L 31-34,*,4,3,74,24.67,1,75.0%,18.50,0,0,,0,1,6
6,2016,2016-10-13,6,21.311,SDG,,DEN,W 21-13,*,8,6,83,13.83,1,75.0%,10.38,0,0,,0,1,6
7,2016,2016-10-23,7,21.321,SDG,@,ATL,W 33-30,*,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0
8,2016,2016-10-30,8,21.328,SDG,@,DEN,L 19-27,*,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0
9,2016,2016-11-13,10,21.342,SDG,,MIA,L 24-31,*,2,2,11,5.50,1,100.0%,5.50,0,0,,0,1,6
10,2016,2016-11-27,11,21.356,SDG,@,HOU,W 21-13,*,3,2,20,10.00,1,66.7%,6.67,0,0,,0,1,6
11,2016,2016-12-04,12,21.363,SDG,,TAM,L 21-28,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0
12,2016,2016-12-11,13,22.004,SDG,@,CAR,L 16-28,*,5,2,13,6.50,1,40.0%,2.60,0,0,,0,1,6
13,2016,2016-12-18,14,22.011,SDG,,OAK,L 16-19,,4,3,37,12.33,1,75.0%,9.25,1,10,10.00,0,1,6
14,2016,2016-12-24,15,22.017,SDG,@,CLE,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,0,0
15,2016,2017-01-01,16,22.025,SDG,,KAN,L 27-37,,5,4,43,10.75,1,80.0%,8.60,0,0,,0,1,6
16,2017,2017-09-11,1,22.278,LAC,@,DEN,L 21-24,,0,0,0,,0,0.0%,,0,0,,0,0,0
17,2017,2017-09-17,2,22.284,LAC,,MIA,L 17-19,*,7,7,80,11.43,0,100.0%,11.43,0,0,,0,0,0
18,2017,2017-09-24,3,22.291,LAC,,KAN,L 10-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0
19,2017,2017-10-01,4,22.298,LAC,,PHI,L 24-26,*,3,2,16,8.00,1,66.7%,5.33,0,0,,0,1,6
20,2017,2017-10-08,5,22.305,LAC,@,NYG,W 27-22,*,8,3,42,14.00,1,37.5%,5.25,0,0,,0,1,6
21,2017,2017-10-15,6,22.312,LAC,@,OAK,W 17-16,*,7,5,90,18.00,0,71.4%,12.86,0,0,,0,0,0
22,2017,2017-10-22,7,22.319,LAC,,DEN,W 21-0,*,5,4,73,18.25,0,80.0%,14.60,0,0,,0,0,0
23,2017,2017-10-29,8,22.326,LAC,@,NWE,L 13-21,*,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0
24,2017,2017-11-12,9,22.340,LAC,@,JAX,L 17-20,*,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0
25,2017,2017-11-19,10,22.347,LAC,,BUF,W 54-24,*,5,2,25,12.50,0,40.0%,5.00,0,0,,0,0,0
26,2017,2017-11-23,11,22.351,LAC,@,DAL,W 28-6,*,5,5,76,15.20,1,100.0%,15.20,0,0,,0,1,6
27,2017,2017-12-03,12,22.361,LAC,,CLE,W 19-10,*,9,7,81,11.57,0,77.8%,9.00,0,0,,0,0,0
28,2017,2017-12-10,13,23.003,LAC,,WAS,W 30-13,*,6,4,50,12.50,1,66.7%,8.33,0,0,,0,1,6
29,2017,2017-12-16,14,23.009,LAC,@,KAN,L 13-30,*,3,3,28,9.33,0,100.0%,9.33,0,0,,0,0,0
