ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1998,1998-09-06,1,28.166,IND,,MIA,L 15-24,,,,,3,3,100.0,0,9,0,0,,0
2,1998,1998-09-20,3,28.180,IND,@,NYJ,L 6-44,,,,,2,2,100.0,0,6,0,0,,0
3,1998,1998-09-27,4,28.187,IND,,NOR,L 13-19,,1,1,100.0,2,2,100.0,0,7,0,0,,0
4,1998,1998-10-04,5,28.194,IND,,SDG,W 17-12,,,,,3,4,75.0,0,9,0,0,,0
5,1998,1998-10-11,6,28.201,IND,,BUF,L 24-31,,,,,4,4,100.0,0,12,0,0,,0
6,1998,1998-10-18,7,28.208,IND,@,SFO,L 31-34,,4,4,100.0,1,2,50.0,0,7,0,0,,0
7,1998,1998-11-01,8,28.222,IND,,NWE,L 16-21,,1,1,100.0,1,1,100.0,0,4,0,0,,0
8,1998,1998-11-15,10,28.236,IND,,NYJ,W 24-23,,3,3,100.0,1,2,50.0,0,6,0,0,,0
9,1998,1998-11-22,11,28.243,IND,@,BUF,L 11-34,,,,,1,1,100.0,0,3,0,0,,0
10,1998,1998-11-29,12,28.250,IND,@,BAL,L 31-38,,4,4,100.0,1,2,50.0,0,7,0,0,,0
11,1998,1998-12-06,13,28.257,IND,@,ATL,L 21-28,,3,3,100.0,,,,0,3,,,,
12,1998,1998-12-13,14,28.264,IND,,CIN,W 39-26,,4,4,100.0,1,1,100.0,0,7,0,0,,0
13,1998,1998-12-20,15,28.271,IND,@,SEA,L 23-27,,2,2,100.0,3,3,100.0,0,11,0,0,,0
14,1998,1998-12-27,16,28.278,IND,,CAR,L 19-27,,1,1,100.0,4,4,100.0,0,13,0,0,,0
15,1999,1999-09-12,1,29.172,IND,,BUF,W 31-14,,4,4,100.0,1,2,50.0,0,7,0,0,,0
16,1999,1999-09-19,2,29.179,IND,@,NWE,L 28-31,,4,4,100.0,,,,0,4,,,,
17,1999,1999-09-26,3,29.186,IND,@,SDG,W 27-19,,3,3,100.0,2,4,50.0,0,9,0,0,,0
18,1999,1999-10-10,4,29.200,IND,,MIA,L 31-34,,4,4,100.0,1,1,100.0,0,7,0,0,,0
19,1999,1999-10-17,5,29.207,IND,@,NYJ,W 16-13,,1,1,100.0,3,3,100.0,0,10,0,0,,0
20,1999,1999-10-24,6,29.214,IND,,CIN,W 31-10,,4,4,100.0,1,2,50.0,0,7,0,0,,0
21,1999,1999-10-31,7,29.221,IND,,DAL,W 34-24,,2,2,100.0,4,4,100.0,0,14,0,0,,0
22,1999,1999-11-07,8,29.228,IND,,KAN,W 25-17,,1,1,100.0,4,4,100.0,0,13,0,0,,0
