ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2011,2011-10-02,4,24.007,OAK,,NWE,L 19-31,,,0,0,,0,0.0%,,0,0,,0,0.0,0,0
2,2011,2011-10-09,5,24.014,OAK,@,HOU,W 25-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
3,2011,2011-10-16,6,24.021,OAK,,CLE,W 24-17,,1,1,4,4.00,0,100.0%,4.00,1,-2,-2.00,0,0.0,0,0
4,2011,2011-10-23,7,24.028,OAK,,KAN,L 0-28,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
5,2011,2011-11-10,9,24.046,OAK,@,SDG,W 24-17,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
6,2011,2011-11-20,10,24.056,OAK,@,MIN,W 27-21,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
7,2011,2011-11-27,11,24.063,OAK,,CHI,W 25-20,,,,,,,0.0%,,,,,,,,
8,2011,2011-12-04,12,24.070,OAK,@,MIA,L 14-34,,,0,0,,0,0.0%,,0,0,,0,0.0,0,0
9,2011,2011-12-11,13,24.077,OAK,@,GNB,L 16-46,,0,,,,,0.0%,,,,,,,,
10,2011,2011-12-18,14,24.084,OAK,,DET,L 27-28,,,,,,,0.0%,,,,,,,,
11,2011,2011-12-24,15,24.090,OAK,@,KAN,W 16-13,,,,,,,0.0%,,,,,,,,
12,2011,2012-01-01,16,24.098,OAK,,SDG,L 26-38,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0.0,0,0
13,2012,2012-09-10,1,24.351,OAK,,SDG,L 14-22,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0.0,0,0
14,2012,2012-09-16,2,24.357,OAK,@,MIA,L 13-35,,3,1,31,31.00,0,33.3%,10.33,0,0,,0,0.0,0,0
15,2012,2012-09-23,3,24.364,OAK,,PIT,W 34-31,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0.0,0,0
16,2012,2012-09-30,4,25.005,OAK,@,DEN,L 6-37,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0.0,0,0
17,2012,2012-10-14,5,25.019,OAK,@,ATL,L 20-23,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0.0,0,0
18,2012,2012-10-21,6,25.026,OAK,,JAX,W 26-23,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
19,2012,2012-10-28,7,25.033,OAK,@,KAN,W 26-16,,,,,,,0.0%,,,,,,,,
20,2012,2012-11-04,8,25.040,OAK,,TAM,L 32-42,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
21,2012,2012-11-11,9,25.047,OAK,@,BAL,L 20-55,,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0.0,0,0
22,2012,2012-11-18,10,25.054,OAK,,NOR,L 17-38,,,,,,,0.0%,,,,,,,,
23,2012,2012-11-25,11,25.061,OAK,@,CIN,L 10-34,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
24,2012,2012-12-02,12,25.068,OAK,,CLE,L 17-20,,,,,,,0.0%,,,,,,,,
25,2012,2012-12-06,13,25.072,OAK,,DEN,L 13-26,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
26,2012,2012-12-16,14,25.082,OAK,,KAN,W 15-0,,,,,,,0.0%,,,,,,,,
27,2012,2012-12-23,15,25.089,OAK,@,CAR,L 6-17,,,,,,,0.0%,,,,,,,,
28,2012,2012-12-30,16,25.096,OAK,@,SDG,L 21-24,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1
29,2014,2014-09-07,1,26.347,OAK,@,NYJ,L 14-19,,,,,,,0.0%,,,,,,,,
30,2014,2014-09-14,2,26.354,OAK,,HOU,L 14-30,,,,,,,0.0%,,,,,,,,
31,2014,2014-09-21,3,26.361,OAK,@,NWE,L 9-16,,,,,,,0.0%,,,,,,,,
32,2014,2014-09-28,4,27.003,OAK,,MIA,L 14-38,,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0.0,0,0
33,2014,2014-10-12,5,27.017,OAK,,SDG,L 28-31,,,,,,,0.0%,,,,,,,,
34,2014,2014-10-19,6,27.024,OAK,,ARI,L 13-24,,,,,,,0.0%,,,,,,,,
