ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1996,1996-09-01,1,24.116,NOR,@,SFO,L 11-27,5,2,28,14.00,0,40.0%,5.60,0,0,,0,0,0,,0
2,1996,1996-09-08,2,24.123,NOR,,CAR,L 20-22,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,,0
3,1996,1996-09-15,3,24.130,NOR,@,CIN,L 15-30,4,1,4,4.00,0,25.0%,1.00,0,0,,0,0,0,,0
4,1996,1996-09-22,4,24.137,NOR,,ARI,L 14-28,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,0
5,1996,1996-09-29,5,24.144,NOR,@,BAL,L 10-17,4,3,16,5.33,0,75.0%,4.00,0,0,,0,0,0,,0
6,1996,1996-10-06,6,24.151,NOR,,JAX,W 17-13,7,3,32,10.67,0,42.9%,4.57,0,0,,0,0,0,,0
7,1996,1996-10-13,7,24.158,NOR,,CHI,W 27-24,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0
8,1996,1996-10-20,8,24.165,NOR,@,CAR,L 7-19,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0
9,1996,1996-11-03,9,24.179,NOR,,SFO,L 17-24,4,3,30,10.00,0,75.0%,7.50,0,0,,0,0,0,,0
10,1996,1996-11-10,10,24.186,NOR,,HOU,L 14-31,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0
11,1996,1996-11-17,11,24.193,NOR,@,ATL,L 15-17,,0,0,,0,0.0%,,,,,,0,0,,0
12,1996,1996-11-24,12,24.200,NOR,@,TAM,L 7-13,5,4,30,7.50,0,80.0%,6.00,0,0,,0,0,0,,0
13,1996,1996-12-01,13,24.207,NOR,,STL,L 10-26,4,0,0,,0,0.0%,0.00,0,0,,0,1,16,16.00,0
14,1996,1996-12-08,14,24.214,NOR,,ATL,L 15-31,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0
15,1996,1996-12-15,15,24.221,NOR,@,NYG,W 17-3,,0,0,,0,0.0%,,,,,,0,0,,0
16,1996,1996-12-21,16,24.227,NOR,@,STL,L 13-14,,0,0,,0,0.0%,,,,,,0,0,,0
17,1998,1998-11-08,9,26.184,MIA,,IND,W 27-14,,,,,,0.0%,,,,,,,,,
18,1998,1998-11-15,10,26.191,MIA,@,CAR,W 13-9,0,0,0,,0,0.0%,,1,7,7.00,0,0,0,,0
19,1998,1998-12-06,13,26.212,MIA,@,OAK,W 27-17,,,,,,0.0%,,,,,,,,,
