ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,22.295,PHI,@,STL,W 31-13,,0,0,0.0,1,0
2,2011,2011-09-18,2,22.302,PHI,@,ATL,L 31-35,,,,,,
3,2011,2011-09-25,3,22.309,PHI,,NYG,L 16-29,,0,0,0.0,2,0
4,2011,2011-10-02,4,22.316,PHI,,SFO,L 23-24,*,0,0,0.0,5,0
5,2011,2011-10-09,5,22.323,PHI,@,BUF,L 24-31,*,0,0,0.0,5,4
6,2011,2011-10-16,6,22.330,PHI,@,WAS,W 20-13,*,0,0,0.0,3,2
7,2011,2011-10-30,7,22.344,PHI,,DAL,W 34-7,*,0,0,0.0,1,1
8,2011,2011-11-07,8,22.352,PHI,,CHI,L 24-30,*,0,6,0.0,5,1
9,2011,2011-11-13,9,22.358,PHI,,ARI,L 17-21,*,,,,,
10,2011,2011-11-20,10,23.000,PHI,@,NYG,W 17-10,*,0,0,0.0,3,0
11,2011,2011-11-27,11,23.007,PHI,,NWE,L 20-38,*,0,0,0.0,4,0
12,2011,2011-12-01,12,23.011,PHI,@,SEA,L 14-31,*,0,0,0.0,2,1
13,2011,2011-12-11,13,23.021,PHI,@,MIA,W 26-10,*,0,0,1.0,3,0
14,2011,2011-12-18,14,23.028,PHI,,NYJ,W 45-19,*,0,0,0.0,3,1
15,2011,2011-12-24,15,23.034,PHI,@,DAL,W 20-7,*,0,0,0.0,2,0
16,2011,2012-01-01,16,23.042,PHI,,WAS,W 34-10,*,0,0,0.0,1,1
17,2012,2012-09-09,1,23.294,PHI,@,CLE,W 17-16,,0,0,0.0,0,0
18,2012,2012-09-16,2,23.301,PHI,,BAL,W 24-23,,,,,,
19,2012,2012-09-23,3,23.308,PHI,@,ARI,L 6-27,,0,0,0.0,2,0
20,2012,2012-09-30,4,23.315,PHI,,NYG,W 19-17,,,,,,
