ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2012,2012-09-09,1,22.031,JAX,@,MIN,L 23-26,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
2,2012,2012-09-16,2,22.038,JAX,,HOU,L 7-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
3,2012,2012-09-23,3,22.045,JAX,@,IND,W 22-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
4,2012,2012-09-30,4,22.052,JAX,,CIN,L 10-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
5,2012,2012-10-07,5,22.059,JAX,,CHI,L 3-41,,,,,,,,,,,0.0%,,,,,,,,,,,,,
6,2012,2012-10-21,6,22.073,JAX,@,OAK,L 23-26,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
7,2012,2012-10-28,7,22.080,JAX,@,GNB,L 15-24,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
8,2012,2012-11-04,8,22.087,JAX,,DET,L 14-31,,,,,,,,,,,0.0%,,,,,,,,,,,,,
9,2012,2012-11-08,9,22.091,JAX,,IND,L 10-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
10,2012,2012-11-18,10,22.101,JAX,@,HOU,L 37-43,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
11,2012,2012-11-25,11,22.108,JAX,,TEN,W 24-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
12,2012,2012-12-02,12,22.115,JAX,@,BUF,L 18-34,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
13,2012,2012-12-09,13,22.122,JAX,,NYJ,L 10-17,,,,,,,,,,,0.0%,,,,,,,,,,,,,
14,2012,2012-12-16,14,22.129,JAX,@,MIA,L 3-24,,,,,,,,,,,0.0%,,,,,,,,,,,,,
15,2012,2012-12-23,15,22.136,JAX,,NWE,L 16-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
16,2012,2012-12-30,16,22.143,JAX,@,TEN,L 20-38,,,,,,,,,,,0.0%,,,,,,,,,,,,,
17,2013,2013-09-16,2,23.038,PIT,@,CIN,L 10-20,,,,,,,,,,,0.0%,,,,,,,,,,,,,
18,2013,2013-09-22,3,23.044,PIT,,CHI,L 23-40,,,,,,,,,,,0.0%,,,,,,,,,,,,,
19,2013,2013-09-29,4,23.051,PIT,@,MIN,L 27-34,,,,,,,,,,,0.0%,,,,,,,,,,,,,
20,2013,2013-10-13,5,23.065,PIT,@,NYJ,W 19-6,,,,,,,,,,,0.0%,,,,,,,,,,,,,
21,2013,2013-10-20,6,23.072,PIT,,BAL,W 19-16,,,,,,,,,,,0.0%,,,,,,,,,,,,,
22,2013,2013-10-27,7,23.079,PIT,@,OAK,L 18-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,1,0,0,0
23,2013,2013-11-03,8,23.086,PIT,@,NWE,L 31-55,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,1,0,0,0
24,2013,2013-11-10,9,23.093,PIT,,BUF,W 23-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,0,0,0
25,2013,2013-11-17,10,23.100,PIT,,DET,W 37-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,0,0,0,0
26,2013,2013-11-24,11,23.107,PIT,@,CLE,W 27-11,,,,,,,,,,,0.0%,,,,,,,,,,,,,
27,2013,2013-11-28,12,23.111,PIT,@,BAL,L 20-22,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,0,0,0,0
28,2013,2013-12-08,13,23.121,PIT,,MIA,L 28-34,,,,,,,,,,,0.0%,,,,,,,,,,,,,
29,2013,2013-12-15,14,23.128,PIT,,CIN,W 30-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0,0,0
30,2013,2013-12-22,15,23.135,PIT,@,GNB,W 38-31,,,,,,,,,,,0.0%,,,,,,,,,,,,,
31,2013,2013-12-29,16,23.142,PIT,,CLE,W 20-7,,,,,,,,,,,0.0%,,,,,,,,,,,,,
32,2014,2014-09-07,1,24.029,PIT,,CLE,W 30-27,,0,0,,0,1,1,25,25.00,0,100.0%,25.00,0,0,,0,0,0,0.0,0,0,0,0,0
33,2014,2014-09-11,2,24.033,PIT,@,BAL,L 6-26,,,,,,,,,,,0.0%,,,,,,,,,,,,,
34,2014,2014-09-21,3,24.043,PIT,@,CAR,W 37-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0,0,0
35,2014,2014-09-28,4,24.050,PIT,,TAM,L 24-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0,0,0
36,2014,2014-10-05,5,24.057,PIT,@,JAX,W 17-9,,,,,,0,,,,,0.0%,,,,,,,,,,,,,
37,2014,2014-10-12,6,24.064,PIT,@,CLE,L 10-31,,,,,,0,,,,,0.0%,,,,,,,,,,,,,
38,2014,2014-10-20,7,24.072,PIT,,HOU,W 30-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,0,0,0,0
39,2014,2014-10-26,8,24.078,PIT,,IND,W 51-34,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,2,1,0,0
40,2014,2014-11-02,9,24.085,PIT,,BAL,W 43-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,4,0,0,0,0
41,2014,2014-11-09,10,24.092,PIT,@,NYJ,L 13-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,3,0,0,0,0
42,2014,2014-11-17,11,24.100,PIT,@,TEN,W 27-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,0,0,0
43,2014,2014-11-30,12,24.113,PIT,,NOR,L 32-35,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,0,0,0,0
44,2014,2014-12-07,13,24.120,PIT,@,CIN,W 42-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,4,0,0,0,0
45,2014,2014-12-14,14,24.127,PIT,@,ATL,W 27-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,8,0,0,0,0
46,2014,2014-12-21,15,24.134,PIT,,KAN,W 20-12,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,6,1,0,0,0
47,2014,2014-12-28,16,24.141,PIT,,CIN,W 27-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,6,1,0,0,0
48,2015,2015-09-10,1,25.032,PIT,@,NWE,L 21-28,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,1,0,0,0
49,2015,2015-09-20,2,25.042,PIT,,SFO,W 43-18,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,10,0,0,0,0
50,2015,2015-09-27,3,25.049,PIT,@,STL,W 12-6,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,1,0,0,0
51,2015,2015-10-01,4,25.053,PIT,,BAL,L 20-23,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,4,4,0,0,0
52,2015,2015-10-12,5,25.064,PIT,@,SDG,W 24-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,2,1,1,70,1
53,2015,2015-10-18,6,25.070,PIT,,ARI,W 25-13,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,10,2,0,0,0
54,2015,2015-10-25,7,25.077,PIT,@,KAN,L 13-23,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,0,0,0,0
55,2015,2015-11-01,8,25.084,PIT,,CIN,L 10-16,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,8,0,1,42,0
56,2015,2015-11-08,9,25.091,PIT,,OAK,W 38-35,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,8,1,0,0,0
57,2015,2015-11-15,10,25.098,PIT,,CLE,W 30-9,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0,0,0
58,2015,2015-11-29,11,25.112,PIT,@,SEA,L 30-39,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,1,0,0,0
59,2015,2015-12-06,12,25.119,PIT,,IND,W 45-10,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,0,0,0
60,2015,2015-12-13,13,25.126,PIT,@,CIN,W 33-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,5,0,0,0,0
61,2015,2015-12-20,14,25.133,PIT,,DEN,W 34-27,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,3,0,0,0,0
62,2015,2015-12-27,15,25.140,PIT,@,BAL,L 17-20,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
