ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2015,2015-09-13,1,23.075,JAX,,CAR,L 9-20,,0,0,,0,0,0,,0,0.0,0,0
2,2015,2015-09-20,2,23.082,JAX,,MIA,W 23-20,,0,0,,0,1,2,2.00,0,0.0,0,0
3,2015,2015-09-27,3,23.089,JAX,@,NWE,L 17-51,,0,0,,0,0,0,,0,0.0,0,0
4,2015,2015-10-04,4,23.096,JAX,@,IND,L 13-16,,0,0,,0,1,0,0.00,0,0.0,0,0
5,2015,2015-10-11,5,23.103,JAX,@,TAM,L 31-38,,0,0,,0,1,8,8.00,0,0.0,0,0
6,2015,2015-10-25,7,23.117,JAX,,BUF,W 34-31,,1,19,19.00,0,0,0,,0,0.0,0,0
7,2015,2015-11-08,8,23.131,JAX,@,NYJ,L 23-28,,4,117,29.25,0,2,20,10.00,0,0.0,0,0
8,2015,2015-11-15,9,23.138,JAX,@,BAL,W 22-20,,0,0,,0,0,0,,0,0.0,0,0
9,2015,2015-11-29,11,23.152,JAX,,SDG,L 25-31,,0,0,,0,0,0,,0,0.0,0,0
10,2015,2015-12-13,13,23.166,JAX,,IND,W 51-16,,0,0,,0,0,0,,0,0.0,1,2
11,2015,2015-12-20,14,23.173,JAX,,ATL,L 17-23,,3,62,20.67,0,0,0,,0,0.0,1,0
12,2015,2015-12-27,15,23.180,JAX,@,NOR,L 27-38,,2,65,32.50,0,0,0,,0,0.0,4,0
13,2015,2016-01-03,16,23.187,JAX,@,HOU,L 6-30,*,3,83,27.67,0,0,0,,0,0.0,0,2
14,2016,2016-10-23,7,24.115,NYJ,,BAL,W 24-16,,0,0,,0,0,0,,0,0.0,0,0
15,2016,2016-10-30,8,24.122,NYJ,@,CLE,W 31-28,,1,24,24.00,0,0,0,,0,0.0,0,0
16,2016,2016-11-06,9,24.129,NYJ,@,MIA,L 23-27,,0,0,,0,0,0,,0,0.0,0,0
17,2016,2016-11-13,10,24.136,NYJ,,LAR,L 6-9,,0,0,,0,1,0,0.00,0,0.0,0,0
18,2016,2016-12-05,12,24.158,NYJ,,IND,L 10-41,,0,0,,0,0,0,,0,0.0,0,0
19,2016,2016-12-11,13,24.164,NYJ,@,SFO,W 23-17,,3,60,20.00,0,1,0,0.00,0,0.0,0,0
20,2016,2016-12-17,14,24.170,NYJ,,MIA,L 13-34,,4,87,21.75,0,2,32,16.00,0,0.0,0,0
21,2016,2016-12-24,15,24.177,NYJ,@,NWE,L 3-41,,4,57,14.25,0,2,7,3.50,0,0.0,0,0
