ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2011,2011-09-11,1,23.328,ATL,@,CHI,L 12-30,,0,0,,0,0.0,0,0,5,192,38.40,0
2,2011,2011-09-18,2,23.335,ATL,,PHI,W 35-31,,0,0,,0,0.0,0,0,7,249,35.57,0
3,2011,2011-09-25,3,23.342,ATL,@,TAM,L 13-16,,0,0,,0,0.0,0,0,3,94,31.33,0
4,2011,2011-10-02,4,23.349,ATL,@,SEA,W 30-28,,0,0,,0,0.0,0,0,4,150,37.50,0
5,2011,2011-10-09,5,23.356,ATL,,GNB,L 14-25,,0,0,,0,0.0,0,0,5,189,37.80,0
6,2011,2011-10-16,6,23.363,ATL,,CAR,W 31-17,,0,0,,0,0.0,0,0,3,129,43.00,0
7,2011,2011-10-23,7,24.005,ATL,@,DET,W 23-16,,0,0,,0,0.0,0,0,5,177,35.40,0
8,2011,2011-11-06,8,24.019,ATL,@,IND,W 31-7,,0,0,,0,0.0,0,0,7,321,45.86,0
9,2011,2011-11-13,9,24.026,ATL,,NOR,L 23-26,,0,0,,0,0.0,0,0,5,227,45.40,0
10,2011,2011-11-20,10,24.033,ATL,,TEN,W 23-17,,0,0,,0,0.0,0,0,2,66,33.00,0
11,2011,2011-11-27,11,24.040,ATL,,MIN,W 24-14,,0,0,,0,0.0,0,0,5,252,50.40,0
12,2011,2011-12-04,12,24.047,ATL,@,HOU,L 10-17,,0,0,,0,0.0,0,0,4,202,50.50,0
13,2011,2011-12-11,13,24.054,ATL,@,CAR,W 31-23,,0,0,,0,0.0,0,1,6,287,47.83,0
14,2011,2011-12-15,14,24.058,ATL,,JAX,W 41-14,,0,0,,0,0.0,0,1,4,204,51.00,1
15,2011,2011-12-26,15,24.069,ATL,@,NOR,L 16-45,,0,0,,0,0.0,0,0,3,150,50.00,0
16,2011,2012-01-01,16,24.075,ATL,,TAM,W 45-24,,0,0,,0,0.0,0,0,2,101,50.50,0
17,2012,2012-09-09,1,24.327,ATL,@,KAN,W 40-24,,0,0,,0,0.0,0,0,1,52,52.00,0
18,2012,2012-09-17,2,24.335,ATL,,DEN,W 27-21,,0,0,,0,0.0,0,0,6,252,42.00,0
