ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,26.018,IND,@,HOU,L 7-34,*,,,,,,,
2,2011,2011-09-18,2,26.025,IND,,CLE,L 19-27,*,,,,,,,
3,2011,2011-09-25,3,26.032,IND,,PIT,L 20-23,*,,,,,,,
4,2011,2011-10-03,4,26.040,IND,@,TAM,L 17-24,*,,,,,,,
5,2011,2011-10-09,5,26.046,IND,,KAN,L 24-28,*,,,,,,,
6,2011,2011-10-16,6,26.053,IND,@,CIN,L 17-27,*,0,0,,0,0.0,1,0
7,2011,2011-10-23,7,26.060,IND,@,NOR,L 7-62,*,,,,,,,
8,2011,2011-12-04,12,26.102,IND,@,NWE,L 24-31,,,,,,,,
9,2011,2011-12-11,13,26.109,IND,@,BAL,L 10-24,,0,0,,0,0.0,0,0
10,2011,2011-12-18,14,26.116,IND,,TEN,W 27-13,*,,,,,,,
11,2011,2011-12-22,15,26.120,IND,,HOU,W 19-16,*,0,0,,0,0.0,1,0
12,2012,2012-10-28,7,27.065,IND,@,TEN,W 19-13,,,,,,,,
13,2012,2012-11-04,8,27.072,IND,,MIA,W 23-20,*,,,,,,,
14,2012,2012-11-08,9,27.076,IND,@,JAX,W 27-10,*,,,,,,,
15,2012,2012-11-18,10,27.086,IND,@,NWE,L 24-59,*,0,0,,0,0.0,0,0
16,2012,2012-11-25,11,27.093,IND,,BUF,W 20-13,*,,,,,,,
17,2012,2012-12-02,12,27.100,IND,@,DET,W 35-33,*,,,,,,,
18,2012,2012-12-16,14,27.114,IND,@,HOU,L 17-29,*,,,,,,,
19,2012,2012-12-23,15,27.121,IND,@,KAN,W 20-13,*,,,,,,,
20,2012,2012-12-30,16,27.128,IND,,HOU,W 28-16,*,,,,,,,
21,2013,2013-09-08,1,28.015,IND,,OAK,W 21-17,,,,,,,,
22,2013,2013-09-15,2,28.022,IND,,MIA,L 20-24,,,,,,,,
23,2013,2013-09-22,3,28.029,IND,@,SFO,W 27-7,*,,,,,,,
24,2013,2013-09-29,4,28.036,IND,@,JAX,W 37-3,,,,,,,,
25,2013,2013-10-06,5,28.043,IND,,SEA,W 34-28,,,,,,,,
26,2013,2013-10-14,6,28.051,IND,@,SDG,L 9-19,,,,,,,,
27,2013,2013-10-20,7,28.057,IND,,DEN,W 39-33,,,,,,,,
28,2013,2013-11-03,8,28.071,IND,@,HOU,W 27-24,,,,,,,,
29,2013,2013-11-10,9,28.078,IND,,STL,L 8-38,,,,,,,,
30,2013,2013-11-14,10,28.082,IND,@,TEN,W 30-27,,,,,,,,
31,2013,2013-11-24,11,28.092,IND,@,ARI,L 11-40,,,,,,,,
32,2013,2013-12-01,12,28.099,IND,,TEN,W 22-14,,,,,,,,
33,2013,2013-12-08,13,28.106,IND,@,CIN,L 28-42,*,,,,,,,
34,2013,2013-12-15,14,28.113,IND,,HOU,W 25-3,*,,,,,,,
35,2014,2014-09-28,4,29.035,IND,,TEN,W 41-17,,,,,,,,
36,2014,2014-10-05,5,29.042,IND,,BAL,W 20-13,,,,,,,,
37,2014,2014-10-09,6,29.046,IND,@,HOU,W 33-28,*,,,,,,,
38,2014,2014-10-19,7,29.056,IND,,CIN,W 27-0,,,,,,,,
39,2014,2014-10-26,8,29.063,IND,@,PIT,L 34-51,,,,,,,,
40,2014,2014-11-03,9,29.071,IND,@,NYG,W 40-24,,,,,,,,
41,2014,2014-11-16,10,29.084,IND,,NWE,L 20-42,,,,,,,,
42,2014,2014-11-23,11,29.091,IND,,JAX,W 23-3,*,,,,,,,
43,2014,2014-11-30,12,29.098,IND,,WAS,W 49-27,*,,,,,,,
44,2014,2014-12-07,13,29.105,IND,@,CLE,W 25-24,*,,,,,,,
45,2015,2015-09-13,1,30.020,IND,@,BUF,L 14-27,,0,0,,0,0.0,0,0
46,2015,2015-09-21,2,30.028,IND,,NYJ,L 7-20,,0,0,,0,0.0,0,0
47,2015,2015-09-27,3,30.034,IND,@,TEN,W 35-33,*,0,0,,0,0.0,0,0
48,2015,2015-10-04,4,30.041,IND,,JAX,W 16-13,*,0,0,,0,0.0,0,0
49,2015,2015-10-08,5,30.045,IND,@,HOU,W 27-20,*,0,0,,0,0.0,0,0
50,2015,2015-10-18,6,30.055,IND,,NWE,L 27-34,*,0,0,,0,0.0,0,0
51,2015,2015-10-25,7,30.062,IND,,NOR,L 21-27,*,0,0,,0,0.0,0,0
52,2015,2015-11-02,8,30.070,IND,@,CAR,L 26-29,*,0,0,,0,0.0,0,0
53,2015,2015-11-08,9,30.076,IND,,DEN,W 27-24,*,0,0,,0,0.0,0,0
54,2015,2015-11-22,10,30.090,IND,@,ATL,W 24-21,*,1,0,0.00,0,0.0,0,0
55,2015,2015-11-29,11,30.097,IND,,TAM,W 25-12,*,0,0,,0,0.0,0,0
56,2015,2015-12-06,12,30.104,IND,@,PIT,L 10-45,*,0,0,,0,0.0,0,0
57,2015,2015-12-13,13,30.111,IND,@,JAX,L 16-51,*,0,0,,0,0.0,0,0
58,2015,2015-12-20,14,30.118,IND,,HOU,L 10-16,*,0,0,,0,0.0,0,0
59,2015,2015-12-27,15,30.125,IND,@,MIA,W 18-12,*,0,0,,0,0.0,0,0
60,2015,2016-01-03,16,30.132,IND,,TEN,W 30-24,*,0,0,,0,0.0,0,0
61,2016,2016-09-11,1,31.018,IND,,DET,L 35-39,*,0,0,,0,0.0,0,0
62,2016,2016-09-18,2,31.025,IND,@,DEN,L 20-34,*,0,0,,0,0.0,0,0
63,2016,2016-09-25,3,31.032,IND,,SDG,W 26-22,*,0,0,,0,0.0,0,0
64,2016,2016-10-09,5,31.046,IND,,CHI,W 29-23,,0,0,,0,0.0,0,0
65,2016,2016-10-16,6,31.053,IND,@,HOU,L 23-26,,0,0,,0,0.0,0,0
66,2016,2016-10-23,7,31.060,IND,@,TEN,W 34-26,*,0,0,,0,0.0,0,0
67,2016,2016-10-30,8,31.067,IND,,KAN,L 14-30,*,0,0,,0,0.0,0,0
68,2016,2016-11-20,10,31.088,IND,,TEN,W 24-17,,0,0,,0,0.0,0,0
69,2016,2016-11-24,11,31.092,IND,,PIT,L 7-28,,0,0,,0,0.0,0,0
70,2016,2016-12-05,12,31.103,IND,@,NYJ,W 41-10,,0,0,,0,0.0,0,0
71,2016,2016-12-11,13,31.109,IND,,HOU,L 17-22,*,0,0,,0,0.0,0,0
