ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-09-12,1,22.088,NYJ,,CIN,W 31-24,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
2,2004,2004-09-19,2,22.095,NYJ,@,SDG,W 34-28,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
3,2004,2004-10-10,4,22.116,NYJ,,BUF,W 16-14,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
4,2004,2004-10-17,5,22.123,NYJ,,SFO,W 22-14,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
5,2004,2004-10-24,6,22.130,NYJ,@,NWE,L 7-13,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
6,2004,2004-11-01,7,22.138,NYJ,,MIA,W 41-14,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
7,2004,2004-11-07,8,22.144,NYJ,@,BUF,L 17-22,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,
8,2004,2004-11-14,9,22.151,NYJ,,BAL,L 17-20,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,
9,2004,2004-11-21,10,22.158,NYJ,@,CLE,W 10-7,,0,0,0,,0,0.0%,,0,0,,0,1,30,30.00,0,0,0,,0,,0,0,0.0,,
10,2004,2004-12-19,14,22.186,NYJ,,SEA,W 37-14,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,2,39,19.50,0,0,0,,0,,0,0,0.0,,
11,2004,2004-12-26,15,22.193,NYJ,,NWE,L 7-23,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,5,97,19.40,0,0,0,,0,,0,0,0.0,,
12,2004,2005-01-02,16,22.200,NYJ,@,STL,L 29-32,,6,2,15,7.50,0,33.3%,2.50,0,0,,0,5,196,39.20,1,0,0,,0,,1,6,0.0,,
13,2005,2005-09-11,1,23.087,NYJ,@,KAN,L 7-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,8,8.00,0,,0,0,0.0,,
14,2005,2005-09-18,2,23.094,NYJ,,MIA,W 17-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
15,2005,2005-09-25,3,23.101,NYJ,,JAX,L 20-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,,
16,2005,2005-10-02,4,23.108,NYJ,@,BAL,L 3-13,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,4,32,8.00,0,,0,0,0.0,,
17,2005,2005-10-09,5,23.115,NYJ,,TAM,W 14-12,,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,4,29,7.25,0,,0,0,0.0,,
