ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1990,1990-10-14,6,25.120,KAN,,DET,W 43-24,,0,0,,0,,,0,0,,0,0,0,,0,,
2,1990,1990-10-21,7,25.127,KAN,@,SEA,L 7-19,,3,58,19.33,1,,,0,0,,0,0,0,,0,1,6
3,1990,1990-11-04,8,25.141,KAN,,RAI,W 9-7,,0,0,,0,,,0,0,,0,0,0,,0,,
4,1990,1990-11-11,9,25.148,KAN,,SEA,L 16-17,,3,28,9.33,0,,,0,0,,0,1,8,8.00,0,0,0
5,1990,1990-11-18,10,25.155,KAN,,SDG,W 27-10,,1,90,90.00,1,,,0,0,,0,0,0,,0,1,6
6,1990,1990-11-25,11,25.162,KAN,@,RAI,W 27-24,,1,7,7.00,0,,,0,0,,0,2,19,9.50,0,0,0
7,1990,1990-12-02,12,25.169,KAN,@,NWE,W 37-7,,1,61,61.00,0,,,0,0,,0,4,8,2.00,0,0,0
8,1990,1990-12-09,13,25.176,KAN,,DEN,W 31-20,,1,12,12.00,0,,,0,0,,0,2,32,16.00,0,0,0
9,1990,1990-12-16,14,25.183,KAN,,HOU,L 10-27,,2,86,43.00,1,,,1,14,14.00,0,1,5,5.00,0,1,6
10,1990,1990-12-23,15,25.190,KAN,@,SDG,W 24-21,,1,3,3.00,0,,,0,0,,0,0,0,,0,0,0
11,1990,1990-12-29,16,25.196,KAN,@,CHI,W 21-10,,2,7,3.50,0,,,0,0,,0,0,0,,0,0,0
12,1991,1991-09-01,1,26.077,KAN,,ATL,W 14-3,,0,0,,0,,,,,,,,,,,,
13,1991,1991-09-08,2,26.084,KAN,,NOR,L 10-17,,2,17,8.50,0,,,0,0,,0,0,0,,0,0,0
14,1991,1991-09-16,3,26.092,KAN,@,HOU,L 7-17,,0,0,,0,,,,,,,,,,,,
15,1991,1991-09-22,4,26.098,KAN,,SEA,W 20-13,,0,0,,0,,,,,,,,,,,,
16,1991,1991-10-07,6,26.113,KAN,,BUF,W 33-6,,0,0,,0,,,,,,,,,,,,
17,1991,1991-10-13,7,26.119,KAN,,MIA,W 42-7,,2,39,19.50,0,,,0,0,,0,0,0,,0,0,0
18,1991,1991-10-20,8,26.126,KAN,@,DEN,L 16-19,,2,36,18.00,0,,,0,0,,0,0,0,,0,0,0
19,1991,1991-10-28,9,26.134,KAN,,RAI,W 24-21,,0,0,,0,,,,,,,,,,,,
20,1991,1991-11-10,10,26.147,KAN,@,RAM,W 27-20,,2,49,24.50,0,,,0,0,,0,0,0,,0,0,0
21,1991,1991-11-17,11,26.154,KAN,,DEN,L 20-24,,3,57,19.00,0,,,0,0,,0,0,0,,0,0,0
22,1991,1991-11-24,12,26.161,KAN,@,CLE,L 15-20,,1,16,16.00,0,,,0,0,,0,0,0,,0,0,0
23,1991,1991-12-01,13,26.168,KAN,@,SEA,W 19-6,,2,12,6.00,0,,,0,0,,0,0,0,,0,0,0
24,1991,1991-12-08,14,26.175,KAN,,SDG,W 20-17,,5,51,10.20,0,,,0,0,,0,0,0,,0,0,0
