ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2016,2016-09-12,1,22.264,SFO,,LAR,W 28-0,,0,0,0,,0,0.0%,,0,0,,0
2,2016,2016-09-18,2,22.270,SFO,@,CAR,L 27-46,,1,0,0,,0,0.0%,0.00,0,0,,0
3,2016,2016-09-25,3,22.277,SFO,@,SEA,L 18-37,,0,0,0,,0,0.0%,,0,0,,0
4,2016,2016-10-02,4,22.284,SFO,,DAL,L 17-24,*,2,1,5,5.00,0,50.0%,2.50,0,0,,0
5,2016,2016-10-06,5,22.288,SFO,,ARI,L 21-33,,0,0,0,,0,0.0%,,0,0,,0
6,2016,2016-10-16,6,22.298,SFO,@,BUF,L 16-45,,0,0,0,,0,0.0%,,0,0,,0
7,2016,2016-10-23,7,22.305,SFO,,TAM,L 17-34,,2,1,15,15.00,0,50.0%,7.50,1,0,0.00,0
8,2016,2016-11-06,8,22.319,SFO,,NOR,L 23-41,,2,0,0,,0,0.0%,0.00,0,0,,0
9,2016,2016-11-13,9,22.326,SFO,@,ARI,L 20-23,,0,0,0,,0,0.0%,,0,0,,0
10,2016,2016-11-20,10,22.333,SFO,,NWE,L 17-30,*,1,0,0,,0,0.0%,0.00,0,0,,0
11,2016,2016-11-27,11,22.340,SFO,@,MIA,L 24-31,,0,0,0,,0,0.0%,,0,0,,0
12,2016,2016-12-04,12,22.347,SFO,@,CHI,L 6-26,,0,0,0,,0,0.0%,,0,0,,0
13,2016,2016-12-11,13,22.354,SFO,,NYJ,L 17-23,,0,0,0,,0,0.0%,,0,0,,0
14,2016,2016-12-18,14,22.361,SFO,@,ATL,L 13-41,*,3,2,29,14.50,0,66.7%,9.67,0,0,,0
15,2016,2016-12-24,15,23.001,SFO,@,LAR,W 22-21,,3,2,15,7.50,0,66.7%,5.00,0,0,,0
16,2016,2017-01-01,16,23.009,SFO,,SEA,L 23-25,,2,1,24,24.00,0,50.0%,12.00,0,0,,0
