ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1999,1999-09-12,1,24.005,GNB,,OAK,W 28-24,,0,0,,0,0,0,0,,0,0.0%,,2,33,16.50,0,0,0,,0,0,0
2,1999,1999-09-19,2,24.012,GNB,@,DET,L 15-23,,,,,,0,,,,,0.0%,,,,,,,,,,,
3,1999,1999-09-26,3,24.019,GNB,,MIN,W 23-20,,0,0,,0,0,0,0,,0,0.0%,,2,41,20.50,0,0,0,,0,0,0
4,1999,1999-10-10,4,24.033,GNB,,TAM,W 26-23,,,,,,0,,,,,0.0%,,,,,,,,,,,
5,1999,1999-10-17,5,24.040,GNB,@,DEN,L 10-31,,0,0,,0,0,0,0,,0,0.0%,,1,19,19.00,0,0,0,,0,0,0
6,1999,1999-10-24,6,24.047,GNB,@,SDG,W 31-3,,1,5,5.00,0,0,0,0,,0,0.0%,,1,29,29.00,0,0,0,,0,0,0
7,1999,1999-11-01,7,24.055,GNB,,SEA,L 7-27,,2,5,2.50,0,0,0,0,,0,0.0%,,1,34,34.00,0,0,0,,0,0,0
8,1999,1999-11-07,8,24.061,GNB,,CHI,L 13-14,,,,,,,,,,,0.0%,,,,,,,,,,,
9,1999,1999-11-14,9,24.068,GNB,@,DAL,L 13-27,,0,0,,0,0,0,0,,0,0.0%,,2,38,19.00,0,2,0,0.00,0,0,0
10,1999,1999-11-21,10,24.075,GNB,,DET,W 26-17,,,,,,0,,,,,0.0%,,,,,,,,,,,
11,1999,1999-11-29,11,24.083,GNB,@,SFO,W 20-3,,1,1,1.00,0,0,0,0,,0,0.0%,,1,22,22.00,0,0,0,,0,0,0
12,1999,1999-12-05,12,24.089,GNB,@,CHI,W 35-19,*,11,47,4.27,0,4,1,0,0.00,0,25.0%,0.00,4,36,9.00,0,0,0,,0,0,0
13,1999,1999-12-12,13,24.096,GNB,,CAR,L 31-33,*,12,49,4.08,0,4,4,39,9.75,0,100.0%,9.75,1,18,18.00,0,0,0,,0,0,0
14,1999,1999-12-20,14,24.104,GNB,@,MIN,L 20-24,,0,0,,0,0,0,0,,0,0.0%,,3,62,20.67,0,0,0,,0,0,0
15,1999,1999-12-26,15,24.110,GNB,@,TAM,L 10-29,,0,0,,0,0,0,0,,0,0.0%,,1,23,23.00,0,0,0,,0,0,0
16,1999,2000-01-02,16,24.117,GNB,,ARI,W 49-24,,2,10,5.00,0,1,1,9,9.00,0,100.0%,9.00,2,109,54.50,1,0,0,,0,1,6
17,2000,2000-09-03,1,24.362,GNB,,NYJ,L 16-20,,2,8,4.00,0,2,0,0,,0,0.0%,0.00,1,26,26.00,0,0,0,,0,0,0
