ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1970,1970-09-20,1,23.264,DEN,@,BUF,W 25-10,,,,
2,1970,1970-09-27,2,23.271,DEN,,PIT,W 16-13,,,,
3,1970,1970-10-04,3,23.278,DEN,,KAN,W 26-13,,,,
4,1970,1970-10-11,4,23.285,DEN,@,OAK,L 23-35,,,,
5,1970,1970-10-18,5,23.292,DEN,,ATL,W 24-10,,,,
6,1970,1970-10-25,6,23.299,DEN,@,SFO,L 14-19,,,,
7,1970,1970-11-01,7,23.306,DEN,,WAS,L 3-19,,,,
8,1970,1970-11-08,8,23.313,DEN,@,SDG,L 21-24,,,,
9,1970,1970-11-15,9,23.320,DEN,,OAK,L 19-24,,,,
10,1970,1970-11-22,10,23.327,DEN,@,NOR,W 31-6,,,,
11,1970,1970-11-29,11,23.334,DEN,@,HOU,L 21-31,,,,
12,1970,1970-12-06,12,23.341,DEN,@,KAN,L 0-16,,,,
13,1970,1970-12-13,13,23.348,DEN,,SDG,T 17-17,,,,
14,1970,1970-12-20,14,23.355,DEN,,CLE,L 13-27,,,,
15,1971,1971-09-19,1,24.263,DEN,,MIA,T 10-10,,,,
16,1971,1971-09-26,2,24.270,DEN,@,GNB,L 13-34,,,,
17,1971,1971-10-03,3,24.277,DEN,,KAN,L 3-16,,,,
18,1971,1971-10-10,4,24.284,DEN,,OAK,L 16-27,,,,
19,1971,1971-10-17,5,24.291,DEN,,SDG,W 20-16,,,,
20,1971,1971-10-24,6,24.298,DEN,@,CLE,W 27-0,,,,
21,1971,1971-10-31,7,24.305,DEN,@,PHI,L 16-17,1,-11,-11.00,0
22,1971,1971-11-07,8,24.312,DEN,,DET,L 20-24,,,,
23,1971,1971-11-14,9,24.319,DEN,,CIN,L 10-24,,,,
24,1971,1971-11-21,10,24.326,DEN,@,KAN,L 10-28,,,,
25,1971,1971-11-28,11,24.333,DEN,@,PIT,W 22-10,,,,
26,1971,1971-12-05,12,24.340,DEN,,CHI,W 6-3,,,,
27,1971,1971-12-12,13,24.347,DEN,@,SDG,L 17-45,,,,
28,1972,1972-09-17,1,25.262,DEN,,HOU,W 30-17,,,,
29,1972,1972-09-24,2,25.269,DEN,@,SDG,L 14-37,,,,
30,1972,1972-10-01,3,25.276,DEN,,KAN,L 24-45,,,,
31,1972,1972-10-08,4,25.283,DEN,@,CIN,L 10-21,,,,
32,1972,1972-10-15,5,25.290,DEN,,MIN,L 20-23,,,,
33,1972,1972-10-22,6,25.297,DEN,@,OAK,W 30-23,,,,
34,1972,1972-10-29,7,25.304,DEN,,CLE,L 20-27,,,,
35,1972,1972-11-05,8,25.311,DEN,@,NYG,L 17-29,,,,
36,1972,1972-11-12,9,25.318,DEN,@,RAM,W 16-10,,,,
37,1972,1972-11-19,10,25.325,DEN,,OAK,L 20-37,,,,
38,1972,1972-11-26,11,25.332,DEN,@,ATL,L 20-23,,,,
39,1972,1972-12-03,12,25.339,DEN,@,KAN,L 21-24,,,,
40,1972,1972-12-10,13,25.346,DEN,,SDG,W 38-13,,,,
41,1972,1972-12-17,14,25.353,DEN,,NWE,W 45-21,,,,
42,1973,1973-09-16,1,26.260,DEN,,CIN,W 28-10,,,,
43,1973,1973-09-23,2,26.267,DEN,,SFO,L 34-36,,,,
44,1973,1973-09-30,3,26.274,DEN,,CHI,L 14-33,,,,
45,1973,1973-10-07,4,26.281,DEN,@,KAN,L 14-16,,,,
46,1973,1973-10-14,5,26.288,DEN,@,HOU,W 48-20,,,,
47,1973,1973-10-22,6,26.296,DEN,,OAK,T 23-23,,,,
48,1973,1973-10-28,7,26.302,DEN,@,NYJ,W 40-28,,,,
49,1973,1973-11-04,8,26.309,DEN,@,STL,T 17-17,,,,
50,1973,1973-11-11,9,26.316,DEN,,SDG,W 30-19,,,,
51,1973,1973-11-18,10,26.323,DEN,@,PIT,W 23-13,,,,
52,1973,1973-11-25,11,26.330,DEN,,KAN,W 14-10,,,,
53,1973,1973-12-02,12,26.337,DEN,,DAL,L 10-22,,,,
54,1973,1973-12-09,13,26.344,DEN,@,SDG,W 42-28,,,,
55,1973,1973-12-16,14,26.351,DEN,@,OAK,L 17-21,,,,
56,1974,1974-09-30,3,27.274,DEN,@,WAS,L 3-30,,,,
57,1974,1974-10-06,4,27.280,DEN,@,KAN,W 17-14,,,,
58,1974,1974-10-13,5,27.287,DEN,,NOR,W 33-17,,,,
59,1974,1974-10-20,6,27.294,DEN,,SDG,W 27-7,,,,
60,1974,1974-10-27,7,27.301,DEN,@,CLE,L 21-23,,,,
61,1974,1974-11-03,8,27.308,DEN,,OAK,L 17-28,,,,
62,1974,1974-11-10,9,27.315,DEN,@,BAL,W 17-6,,,,
63,1974,1974-11-18,10,27.323,DEN,,KAN,L 34-42,,,,
64,1974,1974-11-24,11,27.329,DEN,@,OAK,W 20-17,,,,
65,1974,1974-11-28,12,27.333,DEN,@,DET,W 31-27,,,,
66,1974,1974-12-08,13,27.343,DEN,,HOU,W 37-14,,,,
67,1974,1974-12-15,14,27.350,DEN,@,SDG,L 0-17,,,,
