ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2002,2002-11-25,11,23.160,SFO,,PHI,L 17-38,,2,2,100.0,1,1,100.0,0,5
2,2002,2002-12-01,12,23.166,SFO,,SEA,W 31-24,,4,4,100.0,1,1,100.0,0,7
3,2002,2002-12-08,13,23.173,SFO,@,DAL,W 31-27,,4,4,100.0,1,3,33.3,0,7
4,2002,2002-12-15,14,23.180,SFO,,GNB,L 14-20,,,,,2,2,100.0,0,6
5,2002,2002-12-21,15,23.186,SFO,@,ARI,W 17-14,,2,2,100.0,1,3,33.3,0,5
6,2002,2002-12-30,16,23.195,SFO,@,STL,L 20-31,,2,2,100.0,2,2,100.0,0,8
7,2003,2003-09-07,1,24.081,SFO,,CHI,W 49-7,,4,5,80.0,5,5,100.0,0,19
8,2003,2003-09-14,2,24.088,SFO,@,STL,L 24-27,,3,3,100.0,1,2,50.0,0,6
9,2004,2004-11-21,10,25.156,CAR,,ARI,W 35-10,,5,5,100.0,,,,0,5
10,2004,2004-11-28,11,25.163,CAR,,TAM,W 21-14,,3,3,100.0,,2,0.0,0,3
11,2004,2004-12-18,14,25.183,WAS,@,SFO,W 26-16,,2,2,100.0,4,4,100.0,0,14
12,2004,2004-12-26,15,25.191,WAS,@,DAL,L 10-13,,1,1,100.0,1,2,50.0,0,4
13,2004,2005-01-02,16,25.198,WAS,,MIN,W 21-18,,3,3,100.0,,,,0,3
