ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1983,1983-09-04,1,22.230,ATL,@,CHI,W 20-17,0,0,,0,0,0,,0,0,0,,0,,,,8,334,41.75,0
2,1983,1983-09-11,2,22.237,ATL,,NYG,L 13-16,0,0,,0,0,0,,0,0,0,,0,,,,7,268,38.29,0
3,1983,1983-09-18,3,22.244,ATL,@,DET,W 30-14,0,0,,0,0,0,,0,0,0,,0,,,,2,80,40.00,0
4,1983,1983-09-25,4,22.251,ATL,@,SFO,L 20-24,0,0,,0,0,0,,0,0,0,,0,,,,3,100,33.33,0
5,1983,1983-10-02,5,22.258,ATL,,PHI,L 24-28,1,0,0.00,0,0,0,,0,0,0,,0,,,,5,201,40.20,0
6,1983,1983-10-09,6,22.265,ATL,,NOR,L 17-19,0,0,,0,0,0,,0,0,0,,0,,,,4,151,37.75,0
7,1983,1983-10-16,7,22.272,ATL,@,RAM,L 21-27,0,0,,0,0,0,,0,0,0,,0,,,,6,230,38.33,0
8,1983,1983-10-23,8,22.279,ATL,@,NYJ,W 27-21,0,0,,0,0,0,,0,0,0,,0,,,,6,264,44.00,0
9,1983,1983-10-30,9,22.286,ATL,,NWE,W 24-13,0,0,,0,0,0,,0,0,0,,0,,,,5,188,37.60,0
10,1983,1983-11-06,10,22.293,ATL,@,NOR,L 10-27,1,13,13.00,0,0,0,,0,0,0,,0,,,,4,160,40.00,0
11,1983,1983-11-14,11,22.301,ATL,,RAM,L 13-36,0,0,,0,0,0,,0,0,0,,0,,,,3,139,46.33,0
12,1983,1983-11-20,12,22.307,ATL,,SFO,W 28-24,0,0,,0,0,0,,0,0,0,,0,,,,3,117,39.00,1
13,1983,1983-11-27,13,22.314,ATL,,GNB,W 47-41,0,0,,0,0,0,,0,0,0,,0,,,,2,66,33.00,0
14,1983,1983-12-04,14,22.321,ATL,@,WAS,L 21-37,0,0,,0,0,0,,0,0,0,,0,,,,4,173,43.25,0
15,1983,1983-12-10,15,22.327,ATL,@,MIA,L 24-31,0,0,,0,1,1,100.00,23,0,0,118.7,0,0,23.00,23.00,3,146,48.67,0
