ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1969,1969-12-21,14,24.091,RAM,,BAL,L 7-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,28,14.00,0,0,0
2,1970,1970-09-18,1,24.362,RAM,,STL,W 34-13,0,0,,0,2,4,2.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
3,1970,1970-09-27,2,25.006,RAM,@,BUF,W 19-0,3,25,8.33,0,22,78,3.55,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0
4,1970,1970-10-04,3,25.013,RAM,,SDG,W 37-10,0,0,,0,1,10,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
5,1970,1970-10-11,4,25.020,RAM,,SFO,L 6-20,,,,,,,,,,,,,,,,,,,,,,,,,
6,1970,1970-10-18,5,25.027,RAM,@,GNB,W 31-21,,,,,,,,,,,,,,,,,,,,,,,,,
7,1970,1970-10-26,6,25.035,RAM,@,MIN,L 3-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,40,20.00,0,0,0
8,1970,1970-11-01,7,25.041,RAM,@,NOR,W 30-17,,,,,,,,,,,,,,,,,,,,,,,,,
9,1970,1970-11-08,8,25.048,RAM,,ATL,T 10-10,,,,,,,,,,,,,,,,,,,,,,,,,
10,1970,1970-11-15,9,25.055,RAM,,NYJ,L 20-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,11,11.00,0,0,0
11,1970,1970-11-22,10,25.062,RAM,@,ATL,W 17-7,,,,,,,,,,,,,,,,,,,,,,,,,
12,1970,1970-11-29,11,25.069,RAM,@,SFO,W 30-13,,,,,,,,,,,,,,,,,,,,,,,,,
13,1970,1970-12-06,12,25.076,RAM,,NOR,W 34-16,,,,,,,,,,,,,,,,,,,,,,,,,
14,1970,1970-12-14,13,25.084,RAM,,DET,L 23-28,,,,,,,,,,,,,,,,,,,,,,,,,
15,1970,1970-12-20,14,25.090,RAM,@,NYG,W 31-3,,,,,,,,,,,,,,,,,,,,,,,,,
16,1971,1971-09-19,1,25.363,RAM,@,NOR,L 20-24,,,,,,,,,,,,,,,,,,,,,,,,,
17,1971,1971-09-26,2,26.005,RAM,,ATL,T 20-20,,,,,,,,,,,,,,,,,,,,,,,,,
18,1971,1971-10-03,3,26.012,RAM,,CHI,W 17-3,,,,,,,,,,,,,,,,,,,,,,,,,
19,1971,1971-10-10,4,26.019,RAM,@,SFO,W 20-13,,,,,,,,,,,,,,,,,,,,,,,,,
20,1971,1971-10-17,5,26.026,RAM,@,ATL,W 24-16,,,,,,,,,,,,,,,,,,,,,,,,,
21,1971,1971-10-24,6,26.033,RAM,,GNB,W 30-13,,,,,,,,,,,,,,,,,,,,,,,,,
22,1971,1971-10-31,7,26.040,RAM,,MIA,L 14-20,,,,,,,,,,,,,,,,,,,,,,,,,
23,1971,1971-11-08,8,26.048,RAM,@,BAL,L 17-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,15,15.00,0,0,0
24,1971,1971-11-14,9,26.054,RAM,@,DET,W 21-13,,,,,,,,,,,,,,,,,,,,,,,,,
25,1971,1971-11-21,10,26.061,RAM,,SFO,W 17-6,,,,,,,,,,,,,,,,,,,,,,,,,
26,1971,1971-11-25,11,26.065,RAM,@,DAL,L 21-28,1,2,2.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
27,1971,1971-12-05,12,26.075,RAM,,NOR,W 45-28,,,,,,,,,,,,,,,,,,,,,,,,,
28,1971,1971-12-13,13,26.083,RAM,,WAS,L 24-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,20,10.00,0,0,0
29,1971,1971-12-19,14,26.089,RAM,@,PIT,W 23-14,,,,,,,,,,,,,,,,,,,,,,,,,
30,1972,1972-09-17,1,26.362,RAM,,NOR,W 34-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,4,4.00,0,0,0
31,1972,1972-09-24,2,27.003,RAM,@,CHI,T 13-13,,,,,,,,,,,,,,,,,,,,,,,,,
32,1972,1972-10-01,3,27.010,RAM,@,ATL,L 3-31,,,,,,,,,,,,,,,,,,,,,,,,,
33,1972,1972-11-05,8,27.045,RAM,,ATL,W 20-7,,,,,,,,,,,,,,,,,,,,,,,,,
34,1972,1972-11-12,9,27.052,RAM,,DEN,L 10-16,,,,,,,,,,,,,,,,,,,,,,,,,
35,1972,1972-11-19,10,27.059,RAM,,MIN,L 41-45,,,,,,,,,,,,,,,,,,,,,,,,,
36,1972,1972-11-26,11,27.066,RAM,@,NOR,L 16-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,0,0
37,1972,1972-12-04,12,27.074,RAM,@,SFO,W 26-16,,,,,,,,,,,,,,,,,,,,,,,,,
38,1972,1972-12-10,13,27.080,RAM,@,STL,L 14-24,,,,,,,,,,,,,,,,,,,,,,,,,
39,1972,1972-12-17,14,27.087,RAM,,DET,L 17-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,14,7.00,0,0,0
40,1973,1973-09-16,1,27.360,RAM,@,KAN,W 23-13,1,2,2.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,24,24.00,0,1,6
41,1973,1973-09-23,2,28.002,RAM,,ATL,W 31-0,,,,,,,,,,,,,,,,,,,,,,,,,
42,1973,1973-09-30,3,28.009,RAM,@,SFO,W 40-20,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
43,1973,1973-10-07,4,28.016,RAM,@,HOU,W 31-26,,,,,,,,,,,,,,,,,,,,,,,,,
44,1973,1973-10-14,5,28.023,RAM,,DAL,W 37-31,,,,,,,,,,,,,,,,,,,,,,,,,
45,1973,1973-10-21,6,28.030,RAM,,GNB,W 24-7,,,,,,,,,,,,,,,,,,,,,,,,,
46,1973,1973-10-28,7,28.037,RAM,@,MIN,L 9-10,,,,,,,,,,,,,,,,,,,,,,,,,
47,1973,1973-11-04,8,28.044,RAM,@,ATL,L 13-15,,,,,,,,,,,,,,,,,,,,,,,,,
48,1973,1973-11-11,9,28.051,RAM,,NOR,W 29-7,,,,,,,,,,,,,,,,,,,,,,,,,
49,1973,1973-11-18,10,28.058,RAM,,SFO,W 31-13,,,,,,,,,,,,,,,,,,,,,,,,,
50,1973,1973-11-25,11,28.065,RAM,@,NOR,W 24-13,,,,,,,,,,,,,,,,,,,,,,,,,
51,1973,1973-12-02,12,28.072,RAM,@,CHI,W 26-0,,,,,,,,,,,,,,,,,,,,,,,,,
52,1973,1973-12-10,13,28.080,RAM,,NYG,W 40-6,2,31,15.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
53,1973,1973-12-16,14,28.086,RAM,,CLE,W 30-17,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
54,1974,1974-09-15,1,28.359,RAM,@,DEN,W 17-10,,,,,,,,,,,,,,,,,,,,,,,,,
55,1974,1974-09-22,2,29.001,RAM,,NOR,W 24-0,,,,,,,,,,,,,,,,,,,,,,,,,
56,1974,1974-09-29,3,29.008,RAM,@,NWE,L 14-20,,,,,,,,,,,,,,,,,,,,,,,,,
57,1974,1974-10-06,4,29.015,RAM,,DET,W 16-13,,,,,,,,,,,,,,,,,,,,,,,,,
58,1974,1974-10-13,5,29.022,RAM,@,GNB,L 6-17,,,,,,,,,,,,,,,,,,,,,,,,,
59,1974,1974-10-20,6,29.029,RAM,,SFO,W 37-14,,,,,,,,,,,,,,,,,,,,,,,,,
60,1974,1974-11-04,8,29.044,RAM,@,SFO,W 15-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,16,16.00,0,0,0
61,1974,1974-11-10,9,29.050,RAM,,ATL,W 21-0,,,,,,,,,,,,,,,,,,,,,,,,,
62,1974,1974-11-17,10,29.057,RAM,@,NOR,L 7-20,,,,,,,,,,,,,,,,,,,,,,,,,
63,1974,1974-11-24,11,29.064,RAM,,MIN,W 20-17,,,,,,,,,,,,,,,,,,,,,,,,,
64,1974,1974-12-01,12,29.071,RAM,@,ATL,W 30-7,,,,,,,,,,,,,,,,,,,,,,,,,
65,1974,1974-12-09,13,29.079,RAM,,WAS,L 17-23,,,,,,,,,,,,,,,,,,,,,,,,,
66,1974,1974-12-15,14,29.085,RAM,,BUF,W 19-14,,,,,,,,,,,,,,,,,,,,,,,,,
67,1975,1975-09-21,1,30.000,SDG,,PIT,L 0-37,6,42,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
68,1975,1975-09-28,2,30.007,SDG,@,HOU,L 17-33,2,35,17.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
69,1975,1975-10-05,3,30.014,SDG,,OAK,L 0-6,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
70,1975,1975-10-12,4,30.021,SDG,,RAM,L 10-13,3,50,16.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
71,1975,1975-10-19,5,30.028,SDG,,KAN,L 10-12,3,42,14.00,0,3,21,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
72,1975,1975-10-26,6,30.035,SDG,@,OAK,L 0-25,4,49,12.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
73,1975,1975-11-01,7,30.041,SDG,@,NYG,L 24-35,4,78,19.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
74,1975,1975-11-09,8,30.049,SDG,,NWE,L 19-33,8,90,11.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
75,1975,1975-11-16,9,30.056,SDG,,DEN,L 17-27,3,19,6.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
76,1975,1975-11-23,10,30.063,SDG,@,MIN,L 13-28,4,44,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,28,9.33,0,0,1
77,1975,1975-11-30,11,30.070,SDG,@,DEN,L 10-13,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
78,1975,1975-12-07,12,30.077,SDG,@,KAN,W 28-20,3,95,31.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
79,1975,1975-12-15,13,30.085,SDG,,NYJ,W 24-16,2,51,25.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
80,1975,1975-12-21,14,30.091,SDG,@,CIN,L 17-47,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
81,1976,1976-09-12,1,30.357,SDG,@,KAN,W 30-16,2,19,9.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
82,1976,1976-09-19,2,30.364,SDG,@,TAM,W 23-0,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
83,1976,1976-09-26,3,31.005,SDG,,STL,W 43-24,2,13,6.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
84,1976,1976-10-03,4,31.012,SDG,@,DEN,L 0-26,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
85,1976,1976-10-10,5,31.019,SDG,,OAK,L 17-27,4,45,11.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
86,1976,1976-10-17,6,31.026,SDG,,HOU,W 30-27,4,49,12.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
87,1976,1976-10-24,7,31.033,SDG,@,CLE,L 17-21,3,20,6.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
88,1976,1976-10-31,8,31.040,SDG,@,PIT,L 0-23,3,7,2.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
89,1976,1976-11-07,9,31.047,SDG,,BAL,L 21-37,4,61,15.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
90,1976,1976-11-14,10,31.054,SDG,,DEN,L 0-17,3,23,7.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
91,1976,1976-11-21,11,31.061,SDG,@,BUF,W 34-13,2,43,21.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
92,1976,1976-11-28,12,31.068,SDG,,KAN,L 20-23,3,42,14.00,0,1,12,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
93,1976,1976-12-05,13,31.075,SDG,,SFO,W 13-7,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
94,1976,1976-12-12,14,31.082,SDG,@,OAK,L 0-24,,,,,,,,,,,,,,,,,,,,,,,,,
95,1977,1977-09-18,1,31.362,SDG,@,OAK,L 0-24,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
96,1977,1977-09-25,2,32.004,SDG,@,KAN,W 23-7,,,,,,,,,,,,,,,,,,,,,,,,,
97,1977,1977-10-02,3,32.011,SDG,,CIN,W 24-3,,,,,,,,,,,,,,,,,,,,,,,,,
98,1977,1977-10-09,4,32.018,SDG,@,NOR,W 14-0,,,,,,,,,,,,,,,,,,,,,,,,,
99,1977,1977-10-16,5,32.025,SDG,,NWE,L 20-24,,,,,,,,,,,,,,,,,,,,,,,,,
100,1977,1977-10-23,6,32.032,SDG,,KAN,L 16-21,,,,,,,,,,,,,,,,,,,,,,,,,
101,1977,1977-10-30,7,32.039,SDG,@,MIA,W 14-13,,,,,,,,,,,,,,,,,,,,,,,,,
102,1977,1977-11-06,8,32.046,SDG,@,DET,L 0-20,,,,,,,,,,,,,,,,,,,,,,,,,
103,1977,1977-11-13,9,32.053,SDG,,DEN,L 14-17,,,,,,,,,,,,,,,,,,,,,,,,,
104,1977,1977-11-20,10,32.060,SDG,,OAK,W 12-7,,,,,,,,,,,,,,,,,,,,,,,,,
105,1977,1977-11-27,11,32.067,SDG,@,SEA,W 30-28,3,43,14.33,0,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
106,1977,1977-12-04,12,32.074,SDG,,CLE,W 37-14,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
107,1977,1977-12-11,13,32.081,SDG,@,DEN,L 9-17,2,40,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
108,1977,1977-12-18,14,32.088,SDG,,PIT,L 9-10,3,29,9.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
109,1978,1978-09-03,1,32.347,SDG,@,SEA,W 24-20,,,,,,,,,,,,,,,,,,,,,,,,,
110,1978,1978-09-10,2,32.354,SDG,,OAK,L 20-21,1,14,14.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
111,1978,1978-09-17,3,32.361,SDG,@,DEN,L 14-27,,,,,,,,,,,,,,,,,,,,,,,,,
112,1978,1978-09-24,4,33.003,SDG,,GNB,L 3-24,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
113,1978,1978-10-01,5,33.010,SDG,@,NWE,L 23-28,1,3,3.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
114,1978,1978-10-08,6,33.017,SDG,,DEN,W 23-0,3,30,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
115,1978,1978-10-22,8,33.031,SDG,@,DET,L 14-31,,,,,,,,,,,,,,,,,,,,,,,,,
116,1978,1978-10-29,9,33.038,SDG,@,OAK,W 27-23,,,,,,,,,,,,,,,,,,,,,,,,,
117,1978,1978-11-05,10,33.045,SDG,,CIN,W 22-13,,,,,,,,,,,,,,,,,,,,,,,,,
118,1978,1978-11-12,11,33.052,SDG,,KAN,W 29-23,,,,,,,,,,,,,,,,,,,,,,,,,
119,1978,1978-11-19,12,33.059,SDG,@,MIN,W 13-7,,,,,,,,,,,,,,,,,,,,,,,,,
120,1978,1978-12-04,14,33.074,SDG,,CHI,W 40-7,3,41,13.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
121,1978,1978-12-10,15,33.080,SDG,,SEA,W 37-10,,,,,,,,,,,,,,,,,,,,,,,,,
122,1978,1978-12-17,16,33.087,SDG,@,HOU,W 45-24,,,,,,,,,,,,,,,,,,,,,,,,,
