ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-11-22,10,22.347,WAS,@,DAL,L 6-7,,0,0,0.0,0,0
2,2009,2009-11-29,11,22.354,WAS,@,PHI,L 24-27,*,,,,,
3,2009,2010-01-03,16,23.024,WAS,@,SDG,L 20-23,*,,,,,
4,2010,2010-09-27,3,23.291,CHI,,GNB,W 20-17,,,,,,
5,2010,2010-10-03,4,23.297,CHI,@,NYG,L 3-17,,,,,,
6,2010,2010-10-10,5,23.304,CHI,@,CAR,W 23-6,*,0,0,0.0,1,0
7,2010,2010-10-17,6,23.311,CHI,,SEA,L 20-23,*,,,,,
8,2010,2010-10-24,7,23.318,CHI,,WAS,L 14-17,*,,,,,
9,2011,2011-09-18,2,24.282,CHI,@,NOR,L 13-30,,,,,,
10,2011,2011-09-25,3,24.289,CHI,,GNB,L 17-27,,,,,,
11,2011,2011-10-02,4,24.296,CHI,,CAR,W 34-29,,,,,,
12,2011,2011-10-10,5,24.304,CHI,@,DET,L 13-24,,,,,,
13,2011,2011-10-16,6,24.310,CHI,,MIN,W 39-10,,,,,,
14,2011,2011-10-23,7,24.317,CHI,@,TAM,W 24-18,,,,,,
15,2011,2011-11-07,8,24.332,CHI,@,PHI,W 30-24,,,,,,
16,2011,2011-11-13,9,24.338,CHI,,DET,W 37-13,,,,,,
17,2011,2011-11-20,10,24.345,CHI,,SDG,W 31-20,*,,,,,
18,2011,2011-11-27,11,24.352,CHI,@,OAK,L 20-25,*,,,,,
19,2011,2011-12-04,12,24.359,CHI,,KAN,L 3-10,*,,,,,
20,2011,2011-12-11,13,25.001,CHI,@,DEN,L 10-13,*,,,,,
21,2011,2011-12-18,14,25.008,CHI,,SEA,L 14-38,*,,,,,
22,2011,2011-12-25,15,25.015,CHI,@,GNB,L 21-35,*,0,6,0.0,0,0
23,2011,2012-01-01,16,25.022,CHI,@,MIN,W 17-13,*,,,,,
24,2012,2012-11-25,11,25.351,CHI,,MIN,W 28-10,,,,,,
25,2012,2012-12-02,12,25.358,CHI,,SEA,L 17-23,*,,,,,
26,2012,2012-12-09,13,25.365,CHI,@,MIN,L 14-21,*,,,,,
27,2012,2012-12-16,14,26.006,CHI,,GNB,L 13-21,,,,,,
28,2012,2012-12-23,15,26.013,CHI,@,ARI,W 28-13,,,,,,
29,2012,2012-12-30,16,26.020,CHI,@,DET,W 26-24,,,,,,
