ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2017,2017-09-10,1,23.036,PHI,@,WAS,W 30-17,,0,0,0,,0,0.0%,,0,0,,0
2,2017,2017-09-24,3,23.050,PHI,,NYG,W 27-24,,0,0,0,,0,0.0%,,0,0,,0
3,2017,2017-10-01,4,23.057,PHI,@,LAC,W 26-24,,1,0,0,,0,0.0%,0.00,0,0,,0
4,2017,2017-10-08,5,23.064,PHI,,ARI,W 34-7,,1,1,6,6.00,0,100.0%,6.00,0,0,,0
5,2017,2017-10-12,6,23.068,PHI,@,CAR,W 28-23,,1,1,16,16.00,0,100.0%,16.00,0,0,,0
6,2017,2017-10-23,7,23.079,PHI,,WAS,W 34-24,,1,0,0,,0,0.0%,0.00,0,0,,0
7,2017,2017-10-29,8,23.085,PHI,,SFO,W 33-10,,0,0,0,,0,0.0%,,0,0,,0
8,2017,2017-11-05,9,23.092,PHI,,DEN,W 51-23,,1,0,0,,0,0.0%,0.00,0,0,,0
9,2017,2017-11-19,10,23.106,PHI,@,DAL,W 37-9,,0,0,0,,0,0.0%,,0,0,,0
10,2017,2017-12-31,16,23.148,PHI,,DAL,L 0-6,,3,3,23,7.67,0,100.0%,7.67,0,0,,0
11,2018,2018-09-16,2,24.042,IND,@,WAS,W 21-9,,0,0,0,,0,0.0%,,0,0,,0
12,2018,2018-09-23,3,24.049,IND,@,PHI,L 16-20,,0,0,0,,0,0.0%,,1,-2,-2.00,0
