ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1967,1967-11-19,10,22.086,CHI,,STL,W 30-3,1,51,51.00,1,1,6
2,1967,1967-11-26,11,22.093,CHI,,GNB,L 13-17,1,9,9.00,0,0,0
3,1967,1967-12-17,14,22.114,CHI,@,ATL,W 23-14,1,20,20.00,0,0,0
