ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1954,1954-09-26,1,23.281,SFO,,WAS,W 41-7,1,-6,-6.00,0,0,0,,0,0,,,,,,
2,1954,1954-11-14,8,23.330,SFO,@,DET,L 7-48,0,0,,0,1,1,100.00,19,0,0,118.7,0,0,19.00,19.00
