ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1994,1994-09-11,2,22.360,NOR,,WAS,L 24-38,,0,0,,0,0.0%,,0,0,,0,0,0,,0
2,1994,1994-09-18,3,23.002,NOR,@,TAM,W 9-7,,0,0,,0,0.0%,,0,0,,0,0,0,,0
3,1994,1994-09-25,4,23.009,NOR,@,SFO,L 13-24,,0,0,,0,0.0%,,0,0,,0,0,0,,0
4,1994,1994-10-02,5,23.016,NOR,,NYG,W 27-22,,0,0,,0,0.0%,,0,0,,0,0,0,,0
5,1994,1994-10-09,6,23.023,NOR,@,CHI,L 7-17,,0,0,,0,0.0%,,0,0,,0,0,0,,0
6,1994,1994-10-16,7,23.030,NOR,,SDG,L 22-36,,0,0,,0,0.0%,,0,0,,0,0,0,,0
7,1994,1994-11-06,9,23.051,NOR,@,MIN,L 20-21,,0,0,,0,0.0%,,0,0,,0,0,0,,0
8,1994,1994-11-13,10,23.058,NOR,,ATL,W 33-32,,0,0,,0,0.0%,,0,0,,0,0,0,,0
9,1994,1994-11-20,11,23.065,NOR,@,RAI,L 19-24,,0,0,,0,0.0%,,0,0,,0,0,0,,0
10,1994,1994-11-28,12,23.073,NOR,,SFO,L 14-35,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
11,1994,1994-12-04,13,23.079,NOR,@,RAM,W 31-15,1,1,13,13.00,0,100.0%,13.00,3,72,24.00,0,2,5,2.50,0
12,1994,1994-12-11,14,23.086,NOR,@,ATL,W 29-20,,0,0,,0,0.0%,,0,0,,0,0,0,,0
13,1994,1994-12-19,15,23.094,NOR,,DAL,L 16-24,,0,0,,0,0.0%,,0,0,,0,0,0,,0
14,1994,1994-12-24,16,23.099,NOR,@,DEN,W 30-28,0,0,0,,0,0.0%,,3,57,19.00,0,1,4,4.00,0
