ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-09-23,3,23.045,CAR,@,ATL,W 27-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
2,2007,2007-10-07,5,23.059,CAR,@,NOR,W 16-13,,1,2,50.00,43,0,0,95.8,0,0,21.50,21.50,0,0,,0,0,0,0.0,,
3,2007,2007-10-14,6,23.066,CAR,@,ARI,W 25-10,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
4,2007,2007-11-04,8,23.087,CAR,@,TEN,L 7-20,,2,5,40.00,36,0,1,25.8,0,0,7.20,-1.80,0,0,,0,0,0,0.0,,
5,2007,2007-11-11,9,23.094,CAR,,ATL,L 13-20,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,0.0,,
6,2007,2007-11-25,11,23.108,CAR,,NOR,L 6-31,,8,14,57.14,66,0,1,39.6,0,0,4.71,1.50,0,0,,0,0,0,0.0,,
7,2007,2007-12-09,13,23.122,CAR,@,JAX,L 6-37,,3,10,30.00,21,0,0,39.6,0,0,2.10,2.10,0,0,,0,0,0,0.0,,
8,2007,2007-12-16,14,23.129,CAR,,SEA,W 13-10,*,19,27,70.37,208,0,0,92.8,0,0,7.70,7.70,2,5,2.50,0,0,0,0.0,,
9,2007,2007-12-22,15,23.135,CAR,,DAL,L 13-20,*,15,28,53.57,182,1,1,70.8,5,35,6.50,5.61,0,0,,0,0,0,0.0,,
10,2007,2007-12-30,16,23.143,CAR,@,TAM,W 31-23,*,15,24,62.50,174,2,1,94.8,1,5,7.25,7.04,1,0,0.00,0,0,0,0.0,,
11,2009,2009-09-13,1,25.035,CAR,,PHI,L 10-38,,6,11,54.55,63,0,1,33.5,1,10,5.73,1.64,0,0,,0,0,0,0.0,0,0
12,2009,2009-11-01,7,25.084,CAR,@,ARI,W 34-21,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,-1,-1.00,0,0,0,0.0,0,0
