ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2016,2016-10-09,5,22.175,CIN,@,DAL,L 14-28,,0,0,0,,0,0.0%,
2,2016,2016-11-14,9,22.211,CIN,@,NYG,L 20-21,,0,0,0,,0,0.0%,
3,2016,2016-11-27,11,22.224,CIN,@,BAL,L 14-19,,1,0,0,,0,0.0%,0.00
4,2016,2016-12-04,12,22.231,CIN,,PHI,W 32-14,,2,2,58,29.00,0,100.0%,29.00
5,2016,2016-12-11,13,22.238,CIN,@,CLE,W 23-10,*,2,1,8,8.00,0,50.0%,4.00
6,2016,2016-12-18,14,22.245,CIN,,PIT,L 20-24,*,3,2,13,6.50,0,66.7%,4.33
7,2016,2016-12-24,15,22.251,CIN,@,HOU,L 10-12,*,14,8,39,4.88,0,57.1%,2.79
8,2016,2017-01-01,16,22.259,CIN,,BAL,W 27-10,*,5,4,82,20.50,0,80.0%,16.40
9,2017,2017-09-10,1,23.146,CIN,,BAL,L 0-20,,2,0,0,,0,0.0%,0.00
10,2017,2017-09-14,2,23.150,CIN,,HOU,L 9-13,,0,0,0,,0,0.0%,
11,2017,2017-09-24,3,23.160,CIN,@,GNB,L 24-27,,0,0,0,,0,0.0%,
12,2017,2017-10-01,4,23.167,CIN,@,CLE,W 31-7,,0,0,0,,0,0.0%,
13,2017,2017-10-08,5,23.174,CIN,,BUF,W 20-16,,0,0,0,,0,0.0%,
14,2017,2017-10-22,6,23.188,CIN,@,PIT,L 14-29,,2,0,0,,0,0.0%,0.00
15,2017,2017-11-05,8,23.202,CIN,@,JAX,L 7-23,,0,0,0,,0,0.0%,
16,2017,2017-11-12,9,23.209,CIN,@,TEN,L 20-24,,0,0,0,,0,0.0%,
17,2017,2017-11-19,10,23.216,CIN,@,DEN,W 20-17,,0,0,0,,0,0.0%,
18,2017,2017-11-26,11,23.223,CIN,,CLE,W 30-16,,0,0,0,,0,0.0%,
19,2017,2017-12-04,12,23.231,CIN,,PIT,L 20-23,,0,0,0,,0,0.0%,
20,2017,2017-12-10,13,23.237,CIN,,CHI,L 7-33,,0,0,0,,0,0.0%,
21,2017,2017-12-17,14,23.244,CIN,@,MIN,L 7-34,,0,0,0,,0,0.0%,
22,2018,2018-09-23,3,24.159,CIN,@,CAR,L 21-31,,0,0,0,,0,0.0%,
