ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1975,1975-09-21,1,22.041,DAL,,RAM,W 18-7,1,29,29.00,0,1,15,15.00,0,0,0,0
2,1975,1975-09-28,2,22.048,DAL,,STL,W 37-31,4,75,18.75,0,1,7,7.00,0,0,0,0
3,1975,1975-10-26,6,22.076,DAL,@,PHI,W 20-17,3,69,23.00,0,0,0,,0,0,0,0
4,1975,1975-11-02,7,22.083,DAL,@,WAS,L 24-30,4,74,18.50,0,0,0,,0,0,0,0
5,1975,1975-12-13,13,22.124,DAL,,WAS,W 31-10,0,0,,0,2,3,1.50,0,0,0,0
6,1976,1976-09-12,1,23.032,SEA,,STL,L 24-30,0,0,,0,0,0,,0,1,13,0
7,1976,1976-09-19,2,23.039,SEA,@,WAS,L 7-31,0,0,,0,0,0,,0,1,0,0
8,1976,1976-10-03,4,23.053,SEA,,DAL,L 13-28,0,0,,0,0,0,,0,1,0,0
9,1976,1976-10-24,7,23.074,SEA,,DET,L 14-41,0,0,,0,2,5,2.50,0,0,0,0
10,1976,1976-11-07,9,23.088,SEA,,ATL,W 30-13,0,0,,0,0,0,,0,1,6,0
11,1977,1977-09-26,2,24.046,CLE,,NWE,W 30-27,0,0,,0,3,55,18.33,0,0,0,0
12,1977,1977-10-09,4,24.059,CLE,,OAK,L 10-26,0,0,,0,2,12,6.00,0,0,0,0
13,1977,1977-10-16,5,24.066,CLE,@,HOU,W 24-23,0,0,,0,3,26,8.67,0,0,0,0
14,1977,1977-10-23,6,24.073,CLE,@,BUF,W 27-16,0,0,,0,2,7,3.50,0,0,0,0
15,1977,1977-10-30,7,24.080,CLE,,KAN,W 44-7,0,0,,0,2,14,7.00,0,0,0,0
16,1977,1977-11-06,8,24.087,CLE,,CIN,L 7-10,0,0,,0,3,29,9.67,0,0,0,0
17,1977,1977-11-13,9,24.094,CLE,@,PIT,L 31-35,0,0,,0,2,12,6.00,0,0,0,0
18,1977,1977-11-20,10,24.101,CLE,@,NYG,W 21-7,0,0,,0,5,65,13.00,0,0,0,0
19,1977,1977-11-27,11,24.108,CLE,,RAM,L 0-9,0,0,,0,2,6,3.00,0,0,0,0
20,1977,1977-12-11,13,24.122,CLE,,HOU,L 15-19,1,2,2.00,0,6,53,8.83,0,1,0,0
21,1977,1977-12-18,14,24.129,CLE,@,SEA,L 19-20,0,0,,0,2,11,5.50,0,0,0,0
22,1978,1978-12-17,16,25.128,STL,,ATL,W 42-21,1,25,25.00,0,1,4,4.00,0,0,0,0
