ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1966,1966-11-20,10,22.085,PIT,,DAL,L 7-20,,3,6,50.00,35,0,0,68.1,0,0,5.83,5.83,0,0,,0
2,1966,1966-11-27,11,22.092,PIT,@,STL,L 3-6,,1,5,20.00,-6,0,1,0.0,0,0,-1.20,-10.20,1,-2,-2.00,0
3,1966,1966-12-11,13,22.106,PIT,@,NYG,W 47-28,,1,3,33.33,5,0,0,42.4,0,0,1.67,1.67,0,0,,0
4,1966,1966-12-18,14,22.113,PIT,@,ATL,W 57-33,,2,5,40.00,25,0,0,56.2,0,0,5.00,5.00,0,0,,0
