ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1968,1968-09-06,1,21.191,CIN,@,SDG,L 13-29,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
2,1968,1968-09-15,2,21.200,CIN,,DEN,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,3,0
3,1968,1968-09-22,3,21.207,CIN,,BUF,W 34-23,0,0,,0,0,0,,0,0,0,,0,1,11,11.00,0,0,0,0,0,0
4,1968,1968-10-13,6,21.228,CIN,@,KAN,L 3-13,0,0,,0,0,0,,0,1,23,23.00,0,0,0,,0,0,0,0,0,0
5,1968,1968-10-20,7,21.235,CIN,,MIA,L 22-24,0,0,,0,0,0,,0,0,0,,0,1,5,5.00,0,0,0,0,0,0
6,1968,1968-11-10,10,21.256,CIN,,KAN,L 9-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,23,0
7,1968,1968-12-01,13,21.277,CIN,@,BOS,L 14-33,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
8,1969,1969-09-14,1,22.198,CIN,,MIA,W 27-21,11,62,5.64,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
9,1969,1969-09-21,2,22.205,CIN,,SDG,W 34-20,12,59,4.92,0,1,3,3.00,0,0,0,,0,0,0,,0,0,0,0,0,0
10,1969,1969-09-28,3,22.212,CIN,,KAN,W 24-19,11,58,5.27,1,2,11,5.50,0,0,0,,0,0,0,,0,1,6,0,0,0
11,1969,1969-10-04,4,22.218,CIN,@,SDG,L 14-21,13,103,7.92,0,1,0,0.00,0,0,0,,0,0,0,,0,0,0,0,0,0
12,1969,1969-10-12,5,22.226,CIN,,NYJ,L 7-21,9,39,4.33,0,1,13,13.00,0,0,0,,0,0,0,,0,0,0,0,0,0
13,1969,1969-10-19,6,22.233,CIN,,DEN,L 23-30,5,18,3.60,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
14,1969,1969-10-26,7,22.240,CIN,@,KAN,L 22-42,8,31,3.88,0,2,22,11.00,0,0,0,,0,0,0,,0,0,0,0,0,0
15,1969,1969-11-02,8,22.247,CIN,,OAK,W 31-17,15,120,8.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0
16,1969,1969-11-09,9,22.254,CIN,@,HOU,T 31-31,10,28,2.80,0,1,7,7.00,0,0,0,,0,0,0,,0,0,0,0,0,0
17,1969,1969-11-16,10,22.261,CIN,,BOS,L 14-25,5,18,3.60,1,3,34,11.33,0,0,0,,0,0,0,,0,1,6,0,0,0
18,1969,1969-11-23,11,22.268,CIN,@,NYJ,L 7-40,8,16,2.00,0,1,31,31.00,0,0,0,,0,0,0,,0,0,0,0,0,0
19,1969,1969-11-30,12,22.275,CIN,@,BUF,L 13-16,1,6,6.00,0,0,0,,0,2,29,14.50,0,0,0,,0,0,0,0,0,0
20,1969,1969-12-07,13,22.282,CIN,@,OAK,L 17-37,7,19,2.71,0,0,0,,0,1,23,23.00,0,0,0,,0,0,0,0,0,0
21,1969,1969-12-14,14,22.289,CIN,@,DEN,L 16-27,3,1,0.33,0,1,7,7.00,0,0,0,,0,0,0,,0,0,0,0,0,0
22,1970,1970-09-20,1,23.204,CIN,,OAK,W 31-21,15,130,8.67,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0
23,1970,1970-09-27,2,23.211,CIN,@,DET,L 3-38,11,31,2.82,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
24,1970,1970-10-04,3,23.218,CIN,,HOU,L 13-20,9,27,3.00,0,2,32,16.00,0,0,0,,0,0,0,,0,0,0,0,0,0
25,1970,1970-10-11,4,23.225,CIN,@,CLE,L 27-30,13,33,2.54,1,4,12,3.00,0,0,0,,0,0,0,,0,1,6,0,0,0
26,1970,1970-10-18,5,23.232,CIN,,KAN,L 19-27,12,37,3.08,0,6,8,1.33,0,0,0,,0,0,0,,0,0,0,0,0,0
27,1970,1970-10-25,6,23.239,CIN,@,WAS,L 0-20,9,59,6.56,0,1,-1,-1.00,0,0,0,,0,0,0,,0,0,0,0,0,0
28,1970,1970-11-02,7,23.247,CIN,@,PIT,L 10-21,15,76,5.07,0,5,28,5.60,0,0,0,,0,0,0,,0,0,0,0,0,0
29,1970,1970-11-08,8,23.253,CIN,@,BUF,W 43-14,13,35,2.69,1,2,23,11.50,0,0,0,,0,0,0,,0,1,6,0,0,0
30,1970,1970-11-15,9,23.260,CIN,,CLE,W 14-10,9,34,3.78,0,2,17,8.50,1,0,0,,0,0,0,,0,1,6,0,0,0
