ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1974,1974-10-06,4,23.068,DAL,,MIN,L 21-23,0,0,,0,3,3,100.0,,,,0,3,,,,
2,1974,1974-10-13,5,23.075,DAL,@,STL,L 28-31,0,0,,0,4,4,100.0,,,,0,4,,,,
3,1974,1974-10-20,6,23.082,DAL,,PHI,W 31-24,0,0,,0,4,4,100.0,1,2,50.0,0,7,0,0,,0
4,1974,1974-10-27,7,23.089,DAL,@,NYG,W 21-7,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,,0
5,1974,1974-11-03,8,23.096,DAL,,STL,W 17-14,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
6,1974,1974-11-10,9,23.103,DAL,,SFO,W 20-14,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
7,1974,1974-11-17,10,23.110,DAL,@,WAS,L 21-28,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,,0
8,1974,1974-11-24,11,23.117,DAL,@,HOU,W 10-0,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
9,1974,1974-11-28,12,23.121,DAL,,WAS,W 24-23,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
10,1974,1974-12-07,13,23.130,DAL,,CLE,W 41-17,0,0,,0,5,5,100.0,2,3,66.7,0,11,0,0,,0
11,1974,1974-12-14,14,23.137,DAL,@,OAK,L 23-27,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,,0
12,1976,1976-09-12,1,25.044,DAL,,PHI,W 27-7,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
13,1976,1976-09-19,2,25.051,DAL,@,NOR,W 24-6,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
14,1976,1976-09-26,3,25.058,DAL,,BAL,W 30-27,0,0,,0,3,3,100.0,3,3,100.0,0,12,0,0,,0
15,1976,1976-10-03,4,25.065,DAL,@,SEA,W 28-13,0,0,,0,4,4,100.0,,2,0.0,0,4,0,0,,0
16,1976,1976-10-10,5,25.072,DAL,@,NYG,W 24-14,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
17,1976,1976-10-17,6,25.079,DAL,@,STL,L 17-21,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
18,1976,1976-10-24,7,25.086,DAL,,CHI,W 31-21,0,0,,0,4,4,100.0,1,1,100.0,0,7,0,0,,0
19,1976,1976-10-31,8,25.093,DAL,@,WAS,W 20-7,0,0,,0,2,2,100.0,2,2,100.0,0,8,1,22,22.00,0
20,1976,1976-11-07,9,25.100,DAL,,NYG,W 9-3,0,0,,0,,,,3,3,100.0,0,9,0,0,,0
21,1976,1976-11-15,10,25.108,DAL,,BUF,W 17-10,0,0,,0,2,2,100.0,1,2,50.0,0,5,1,27,27.00,0
