ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2014,2014-09-08,1,23.064,NYG,@,DET,L 14-35,,0,0,,0,0.0,1,1
2,2014,2014-09-14,2,23.070,NYG,,ARI,L 14-25,,,,,,,,
3,2014,2014-09-21,3,23.077,NYG,,HOU,W 30-17,,0,0,,0,0.0,1,1
4,2014,2014-09-25,4,23.081,NYG,@,WAS,W 45-14,,,,,,,,
5,2014,2014-10-05,5,23.091,NYG,,ATL,W 30-20,,,,,,,,
6,2014,2014-10-12,6,23.098,NYG,@,PHI,L 0-27,,,,,,,,
7,2014,2014-10-19,7,23.105,NYG,@,DAL,L 21-31,,,,,,,,
8,2014,2014-11-03,8,23.120,NYG,,IND,L 24-40,,0,0,,0,0.0,2,0
9,2014,2014-11-09,9,23.126,NYG,@,SEA,L 17-38,,,,,,,,
10,2014,2014-11-16,10,23.133,NYG,,SFO,L 10-16,,0,0,,0,0.0,1,0
11,2014,2014-11-23,11,23.140,NYG,,DAL,L 28-31,,0,0,,0,0.0,1,0
12,2014,2014-11-30,12,23.147,NYG,@,JAX,L 24-25,,0,0,,0,0.0,2,0
13,2014,2014-12-07,13,23.154,NYG,@,TEN,W 36-7,,0,0,,0,0.0,2,1
14,2014,2014-12-14,14,23.161,NYG,,WAS,W 24-13,,,,,,,,
15,2014,2014-12-21,15,23.168,NYG,@,STL,W 37-27,,0,0,,0,0.0,1,1
16,2014,2014-12-28,16,23.175,NYG,,PHI,L 26-34,,,,,,,,
17,2016,2016-09-11,1,25.067,NYG,@,DAL,W 20-19,*,0,0,,0,0.0,3,2
18,2016,2016-09-18,2,25.074,NYG,,NOR,W 16-13,,0,0,,0,0.0,1,0
19,2016,2016-09-25,3,25.081,NYG,,WAS,L 27-29,*,0,0,,0,0.0,5,1
20,2016,2016-11-06,8,25.123,NYG,,PHI,W 28-23,,0,0,,0,0.0,2,0
21,2016,2016-11-14,9,25.131,NYG,,CIN,W 21-20,,0,0,,0,0.0,0,0
22,2016,2016-11-20,10,25.137,NYG,,CHI,W 22-16,,0,0,,0,0.0,2,1
23,2016,2016-11-27,11,25.144,NYG,@,CLE,W 27-13,,0,0,,0,0.0,1,0
24,2017,2017-09-10,1,26.066,NYG,@,DAL,L 3-19,,0,0,,0,0.0,0,0
25,2017,2017-09-18,2,26.074,NYG,,DET,L 10-24,,0,0,,0,0.0,0,0
26,2017,2017-09-24,3,26.080,NYG,@,PHI,L 24-27,,0,0,,0,0.0,0,0
27,2017,2017-10-01,4,26.087,NYG,@,TAM,L 23-25,,0,0,,0,0.0,0,0
28,2017,2017-10-08,5,26.094,NYG,,LAC,L 22-27,,0,0,,0,0.0,0,0
29,2017,2017-10-15,6,26.101,NYG,@,DEN,W 23-10,,0,0,,0,0.0,0,1
30,2017,2017-10-22,7,26.108,NYG,,SEA,L 7-24,,0,0,,0,1.0,1,0
31,2017,2017-11-05,8,26.122,NYG,,LAR,L 17-51,,0,0,,0,0.0,0,0
32,2017,2017-11-12,9,26.129,NYG,@,SFO,L 21-31,,0,0,,0,0.0,0,0
33,2017,2017-11-19,10,26.136,NYG,,KAN,W 12-9,,1,2,2.00,0,0.0,0,0
34,2017,2017-11-23,11,26.140,NYG,@,WAS,L 10-20,,0,0,,0,0.0,0,0
35,2017,2017-12-03,12,26.150,NYG,@,OAK,L 17-24,,0,0,,0,0.0,0,0
36,2017,2017-12-10,13,26.157,NYG,,DAL,L 10-30,,0,0,,0,0.0,0,0
37,2017,2017-12-24,15,26.171,NYG,@,ARI,L 0-23,,0,0,,0,0.0,0,0
38,2017,2017-12-31,16,26.178,NYG,,WAS,W 18-10,,0,0,,0,0.0,0,0
39,2018,2018-09-09,1,27.065,PIT,@,CLE,T 21-21,,0,0,,0,0.0,0,0
40,2018,2018-09-16,2,27.072,PIT,,KAN,L 37-42,,0,0,,0,0.0,0,0
41,2018,2018-09-24,3,27.080,PIT,@,TAM,W 30-27,,0,0,,0,0.0,1,0
