ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1961,1961-09-17,1,23.273,WAS,@,SFO,L 3-35,0,0,,0,1,2,0
2,1961,1961-10-29,7,23.315,WAS,,PHI,L 24-27,0,0,,0,1,0,0
3,1961,1961-11-05,8,23.322,WAS,@,NYG,L 0-53,0,0,,0,2,11,0
4,1963,1963-09-07,1,25.263,OAK,@,HOU,W 24-13,0,0,,0,1,30,0
5,1963,1963-09-28,4,25.284,OAK,@,NYJ,L 7-10,0,0,,0,2,6,0
6,1963,1963-10-05,5,25.291,OAK,@,BUF,L 0-12,1,3,3.00,0,0,0,0
7,1963,1963-10-27,8,25.313,OAK,@,SDG,W 34-33,0,0,,0,1,3,0
8,1963,1963-11-28,11,25.345,OAK,@,DEN,W 26-10,1,4,4.00,0,0,0,0
9,1963,1963-12-15,13,25.362,OAK,,DEN,W 35-31,1,3,3.00,0,0,0,0
10,1963,1963-12-22,14,26.004,OAK,,HOU,W 52-49,1,0,0.00,0,0,0,0
11,1964,1964-09-27,3,26.284,OAK,,KAN,L 9-21,1,8,8.00,0,0,0,0
12,1965,1965-09-12,1,27.268,OAK,,KAN,W 37-10,1,5,5.00,0,0,0,0
13,1965,1965-09-19,2,27.275,OAK,,SDG,L 6-17,1,0,0.00,0,0,0,0
14,1966,1966-09-02,1,28.258,OAK,@,MIA,W 23-14,1,15,15.00,0,0,0,0
15,1966,1966-11-20,11,28.337,OAK,@,DEN,W 17-3,1,4,4.00,0,0,0,0
